电话 呃我我想问一下为什么这个手机的流量不能用 
唉你好那个我想叠加一下那个流量 嗯六百多是多少 
哎你好我想从今天开始开通那个我的这个手机开通那个国际漫游 零六一零那唉啊 
哎你好我想开通一下那个马来西亚的国际漫游 那嗯嗯我意思我试一下我忘记了天天提醒催一下您稍等开 
哎你好我想因为我要出国去嘛我想开通一个国际的嗯漫游然后密码知道吗 啊不什么什么服务密码号输入密码手机号知道的幺三九 
唉先生麻烦你帮我一个号码给一个套餐幺五零喂 幺五零二幺六幺三零五幺三零五幺 
唉你好我要开一下国际长途 呃全国漫游 
好的谢谢喂 唉你好我要那个十二号去欧洲旅游我想开通吗开国际漫游对对对国际漫游好像办的开通那个还有流量还有流量 
唉你好我想开通一下漫游 密码不知道呀 
唉你好是这样的就是说嗯嗯如果我嗯我要开通那个就是说什么就是卫视的那个瑞士和希腊的那个十一一我这边有开通过你们那个天数是怎么样来的就是有七天的十天的还是怎么样的我忘记了 呃我要都要 
工号多少 行呃帮我开通了国际漫游 
您好那个我想问一下我现在这边的话我早上加了二十块钱的一个流加流量包咱们转过去 加就早上确实没加进去啊它是二十块钱二十兆那就给我加上吧因为我这边帮您加的话 
喂你好我想办理一下那个资金转移我不知道时候怎么办理呀 对对对我帮您开通一下请问您服务密码知道吗 
唉你好就是我想添加一个附件副号码 就就 
很高兴为您服务唉你好帮我开一下那个国际漫游吧噢好的 好像没有密码 
你好我想给这个号码开一下那个国际漫游 知道 
唉你好小姐麻烦帮我开帮我开通一下台湾日本和欧洲的国际漫游 不过他打台湾 
再见 你好我想问一下我想办下一个月就是现在不是有一个活动吗叫随你翻还是这样 
嗯小姐你好麻烦你我想开通那个三十天的国际漫游ok好的 嗯知道 
高兴为您服务喂你好嗯您好请说唉你好我我想那个办一下那个移动宽带的 
唉你好麻烦帮我现在开通国际漫游好吧 呃日本 
喂你好请问一下流量可选包现在七十块钱两个g的一下要不 哎呃部分 
啊你好我想开通一个那个流量分享 是吧 
我这个号码想开通一下那个国际漫游 呃去那个日本 
那麻烦你帮我开通一下国际漫游 对一个月啊 
喂呃就是我想我想办一个宽带套餐吗 呃一百零八那个家庭组合的 
呃麻烦你就是我这个号码那个我看挺不知道你开通一下那个付就是我我打电话通过那种从同一个人打电话我现在看不到那个就那个那个号码那个那个来电的号码 怎么回事啊 
唉你好那个我想我想开通一下国际漫游 呃日本 
对喂 哎我想问一下就是说现在我在网上看到你们有什么承诺一百每月消费一百零八的到签一零八的套餐有送宽带服务的二十兆宽带 
唉你好就是我想添加一个附件副号码 就就 
哎你好我想开通一个国际漫游 好的 
没有 我我要办一个业务手机号码幺三五二四零零八八五八嗯呃我要办一个流量停止使用 
哎你好我想这个号码有些不是有几块钱能不能转走那个就是主号码就是支付号码的主号码两笔 您说是主号码 
唉你好嗯麻烦帮我开通一下就是那个呃电话的一个漫游吗 对对对 
你好能帮我开通一下那个到香港香港澳门的那个电话漫游了 还有那个流去那边香港澳门的那个流量怎么算的 
唉小姐你你帮我开通这个漫游国际漫游吗对到日本 手机服务的密码我忘了 
哎你好我想办那个话费返还 一五八吗一三八因为我原来是用的那七月份之前用的是八十八的现在是用的是幺三八的这个不能办的你要先马上将到一三八一下 
唉小姐我想问一下就是我要呼叫等待功能你要等待功能吗就是在呼叫的时候有电话进来就看不出的是吧在打电话的时候那这边麻烦您手机号码报一下我已经幺三六幺 幺九零七九二幺 
喂你好 我想办理一个一个就是大概现在会有那个一块钱一块钱一天呢三百兆那个什么流量吗 
唉你好帮我开通一下国际漫游 八六呃还有一个号码呀他说本机号码开通过 
唉你好帮我开通一下那个港澳台漫游好吗 三十天的但是现在帮我看吧好不好 
喂 哎呦我要充一点流量 
喂你好帮我开通一下那个国际漫游 呃不知道我最近是吧 
喂你好那个那你帮我开通一下那个短号的电话好吧 对的 
嗯哼 喂你好这个那个过来办那个那个那个流量加油包的那个然后说我那个余额不知然后我这个打电话过来直接可以办理的 
就是你你好请我这个手机那个流量没有了你帮我叠加使用十块钱的多少兆 就是四十块钱多少兆多 
你好麻烦帮我开一下那个国际漫游 啊 
唉你好麻烦你帮我开通gps 上海优 
哎你好我想开通一个国际漫游 好的 
啊你好我想绑定一张银行卡然后他刚才提示我都绑定失败了你可以帮我挺好睡觉我对吧 对对对对对 
唉你好那个是呃我我我要就是想办理一个国外的那种完了的那个套餐 呃我现在要有东方的几个国家 
噢我要办个二十兆的宽带 喂 
那我要这个开通一个呼叫转移 对的 
噢幺零零八六我这个手机要出国开通那个国际漫游是打幺零零八六吧 是的我去德国和英国 
你要什么加流量 对对对对我现在一点都没了我需要问了 
喂你好那个我我手机开通一下那个上网 额不是就是想加流量加个五百兆 
那个我要办那个就是那个流量去日本的流量套餐 对 
你好我要开通国际漫游 呃幺三九 
唉帮我开通那个港澳 已经有啦 
哎你好我想开通一个电子发票 发到我的邮箱呃我自己邮箱vipa区 
喂你好我我想要就是我的就幺三九的邮箱里把那个是的每个月的电子发票就是发过来 三幺八二 
嗯嗯 那个我要g就是说 
喂喂一千积分兑话费 这个积分兑话费什么的不是 
唉你好小姐你好我呃所以麻烦你把那个上个月的账单发到我邮箱吗 做一下 
本机六月份的电子发票 不是幺三九的啊 
唉你好 就开通漫游 
你好麻烦你帮我开通嗯嗯澳门的国际漫游 知道的 
唉你帮我冲点流量看一下我现在哦嗯孩子谢谢一天我基本上要用一百兆左右就看看 对 
您好很高兴服务喂你好帮我开一个长期的国际漫游国际漫游对吧密码知道吗女士我把身份证报给你 三二零四零四一九六三一零二四零二一零嗯 
唉你好我的手机好像短信有号码需要您帮我确认一下好吗 
这个唉你好那个我想装一下流量包 呃多了太多了那个有没有再少一点的 
手机号码 号码是幺三五幺三五二七 
唉你好麻烦帮我这个手机开通一下那个国际漫游 那个鲁汇源 
嗯 唉你好我现在从上海是香港我要开通国际漫游然后再再定流量包三天大概我去四天香港 
哎麻烦你帮我开一个那个流量的那个什么多少钱g的呗 呃不是就是我g的有一个是每个月是多少钱两个g然后你要么说的是那个 
唉你好麻烦帮我开通一下国际漫游是吗加拿大的 应该知道的 
喂你好我想帮呃就是帮把其他开通那个国际漫游 它不行它在国外 
喂你好我想 办过一个的他说你只要开通了国际长途就可以一天有封顶三十块钱 
你好小姐你好我这个手机号我要先加流量因为我刚才加了一个十块的流量好像它不能用是吧 套餐费用的我可以取消吗 
哎 唉你好那个这边有国际漫游要开通一下 
唉你好先生我想想兑换一下那个积分你帮我换一个那个是算积分的那个信息吧 对积分 
哦你好帮我这个手机的这个流量重新打开订送的话呢 结束的时候联系了 
唉你好我想要电子 嗯嗯 
很高兴服务您好是这样的我想开通一下就是能够打香港澳门的一下 打澳门电话 
喂你好我们那个公司想安装的那个宽带然后这个嗯 那个 
这活动 我想增加个流量包流量多少那个尽快去一点时间内生效的流量我都还没办完呀 
你好我想办一个流量包好的 流量包下月取消了就是多少兆的 
唉你好帮我开那个两个g的国国内通用流量 什么是 
请问一下我想流量 现在有没有什么呃什么意思套餐呢 
对 嗯嗯 
你好我想咨询一下我是本机机主就是我要出去旅游的话我要开通那个漫游国际漫游 我的手机密码 
我的手机是那个全球通然后我是那个家庭畅享的然后我想办一个号码加到那个 呃知道 
你好请帮我开通一下数据流量 噢然后今天 
喂你好你现在帮我手机流量给我开通现在 手机密码知道的 
哎你好我有两个号码麻烦你帮我开通一下那个港澳台的那个上网功能的号码他对对不起说错了港澳台的那个漫游通话漫游关闭上网的 就是本机 
高兴为您服务唉你好帮我开通一下那个港澳台的国际漫游 噢应该知道的 
我想问一下啊是移动啊有没有一个就是呃我这个手机可以生成一个零人在号码的手机的这个业务啊 啊 
你把我那个手机停机停了给我给我开一下好吧 就是幺三幺三九零五七四五六二八的 
唉你好 我要帮我的嗯有就是恢复一下它的漫游他人在国外然后停机了 
我想办理一下那个短号也就是我的手机号码 嗯公司的 
唉请你给我加点流量吗就是那个三十块钱五百兆按天算的吧 可不可以五幺零七二二一九六九零二幺二零幺七六 
喂您好先生我这边有一个号码是幺五二二幺九零幺六零幺 密码不知道 
嗯小姐我想这个副号码资金转移 知道 
喂您好我这边想就是咨询一下四零零的业务 对的 
你好我想开一下流量加油包 呃 
很高兴服务你好我想开通一下国际漫游 密码 
唉你好问一下那个我有一个号码要办一下那个国际漫游 那个号码不在我手 
您好很高兴为您服务喂你好我要开通一下国际漫游 嗯不知道 
嗯先生您好麻烦帮我这个刚刚输入这个号码开通呃短期就是一个月的临时国际漫游 呃一定要自己本手机打过来那它如果发短消息的话发哪个过来 
知道您好很高兴为您服务唉先生你好我想那个就是开通一下那个就是港澳台漫游 呃零五零五二一 

得先交一下话费的接好之后然后再致电过来办理好吧号好不好意思噢没关系好那祝您生活愉快再见 
你好我我给我开通一下那个国际漫游 对对对 
您好很高兴为您服务喂你好那个请帮我这个手机号开一个流量套餐 啊对我在上海的 
哎你好我想这个号码开通一下去日本的国际漫游 呃密码我是看 
您好很高兴为您服务唉你好麻烦帮我看一下开通一下国际漫游 发短信 
然后上网功能恢复姓名报一下吧 好谢谢您稍等 
唉先生你好我本机号码要办理十八元的飞享套餐密码我知道了下个月生效 七幺嗯嗯套餐老街影响营业厅在里面的移动谢谢啊 
喂你好我我的家庭群组里面要多加一个号码 噢那个添加成员号码是幺三六幺幺七七二五幺零 
您好很高兴为您服务嗯嗯现在帮我本机加点流量 一百块钱多少兆您这边的话需要再加那个流量包的话 
你好你帮我把那个我这个手机号码先帮我办一个星期 幺三六幺三六四幺六四 
我这个手机请帮我开通国际漫游 国际漫游现在不是一个月就自动取消的呃这边的话呃 
高兴为您服务唉你好我想问一下我这就是我想问一下就是那个电账单了然后我现在有就是呃对对对对对叫什么呃发到我那边能对对对对电子发票 啊这个你帮我办 
现在不是我交完费以后我要报销我要那个发票啊 你们这个发票怎么短的在哪里打的现在也没有账单呢 
麻烦就是我想那个在日本那个三天六十八元都是漫游 知道 
唉小姐我想开通就是到英国的那个流量包就是 嗯嗯一共十二天 
喂你好这个手机能帮我看看嗯能帮我看一下s吗 对 
唉喂你好 我我这个手机上开通一下你们是有一个欧洲有一个一天的一个套餐的是吧 
喂你好 呃麻烦你帮我手机开一下那个呼叫等待功能好吧 
那个流量再加给我加点流量那边 噢好一般预计多少钱 
唉你好我刚才有一个就是呃活动是什么五块钱五百兆日流量包 那我刚才是不是有没有帮我开呀我刚才稍等我帮您看一下 
你好 啊我那个紧急打都要充国噢发一个我想开通一下那个国际漫游 
您好很高兴为您服务帮我充一下那个呼叫转移 知道 
你好帮我开一个电话号码的发票 对对对 
你好我现在这个流量包没了帮我加一个流量包吧 对现在流量目前就是这个月换的还有是什么样的套餐 
呃你好我想这个开通那个就是港澳 唉对对对是错恩恩没号好吧 
唉喂你好那个我想申请一下紧急复机然后充值话费 我在你这边复机过的呀以前 
您好很高兴为您服务喂你好我要激活我我的一张卡 的怎么开 
你好这样你把那个我那个叫什么帮我那个发票就先给我 对对对 
国唉你好麻烦你帮我开通一下那个备用金呃那个国际漫游 知道 
啊我一周之前关闭了这个上网那个在国外你帮我先开通一下好吧 呃昨天五早上晨 
高兴服务唉你好我现在就是要那个幺三九邮箱那个电子发票 啊 
喂你好呃请你嗯帮我开通一下就是我的那个国际漫游业务 知道的 
你好那个我的流量没有了我想买掉了没有你好怎么没 我至少还是今天二十那那买成买东西了是吧 
哎你好 看帮我买的流量 
您好很高兴为您服务 呃我大概要开通一下那个去泰国的那个漫游好的开通了然后零您的流量也开通一下对泰国是吧 
喂那个帮我开通一下一个是开通一下国际漫游 欧洲 
啊是这样的我有一个幺三五八五六二九二幺你帮我开通下国际那个漫游 二幺二九二幺二九二幺对 
再见啊嗯对对嗯哼嗯嗯哦看哼哼啊嗯 
你好嗯是这样我想加一些那个流量呃我想请问一下我这个积分是不是可以兑流量的 这个我稍后把它这个流量 
唉你好麻烦你帮我短信开通一下好吧 不 
我我要把那个纳税人识别号登登记一下 对给 
您好很高兴为您服务喂 喂我要去那个就是那个开通一下国际漫游 
唉你好 帮我开通一下那个泰国的漫游 
唉你好麻烦帮我回复我什么功能好的请报一下登记的姓名上网功能帮您恢复好立即生效的稍后您要上网的话手机上不客气帮您重启一下 
然后呢他要开一下国际漫游 现在就开国内我是说 
唉我想充那个到月底没几天了是吧我想加个大概五十兆左右的差不多因为我我我晚上还要加那个就是加油包那种好的唉我反应一下我我为什么一点钟到两点钟 这个一百多兆用完就没有了啊 
喂你好你什么方面呃我流量没了小改再见这个当月用的是吧 只有十十块一百了 
你好我想开通本机的国际漫游 还有日本 
很高兴服务唉你好你好请讲嗯我是有个我儿子吗今天要飞澳大利亚去什么书了然后他一个手机吗就是幺五八的手机帮我帮他办一下那个嗯一般它报您 那身份证是我的呀那不行然后是吗需要他号码打过来叫他自己的号码段还是把身份证报我都没关系了 
唉我早上因为收到骚扰的那个验证码短信关闭了我的那个收验证码的你现在帮我打开一下 对的 
四g就是那个vip四g高清语音通话是吧这个手机服务密码知道吧 
哎你好我想开通手机漫游 对的 
啊呃我我这个手机呀你给我下个月还是开通到那个一百三十八的 唉对对对 
噢那我就想办理一下那个宽带 噢那个徐呃上海市 
您好很高兴为您服务您好啊我想办理一下那个呃到美国的那个电话有手机漫游对的服务密码知道吗二恩你好我这边信号可能办号码知道吗密码密码好像不知道 身份证号码姓名噢呃三二零幺零六嗯嗯哎哎稍等一下幺九七五幺二幺幺六二八四零 
唉你好小姐是这样我因为刚刚我前面把我数据关掉因为我在国外我现在又回上海来了你能不能帮我开一下然后加流量我要是两g加二十块三十块我也不知道 我不是已经 
您好很高兴服务你好帮我延迟一下那个授信额度了 到什么时候啊 
麻烦我那个我就这个手机号开通啥区的这个漫游 其他查询 
哎你好我想给这个手机开通国际漫游 对对对 
喂你好你帮我把本机号开那个十八块钱套餐当月生效的 知道 
唉你好那个我想申请那个电子发票 从去年十二月份到呃五月份十兆接听 
你帮我开通一个那个港澳台漫游 嗯 
呃我这边手机需要开通一个就是拨打国际长途的一个功能 嗯 
唉你好 嗯对是这样就是我那个五号到二十五号去去那个加拿大和美国今天想办一个那个 
喂你好我想那个就呃我手机里面现在有流量比较高一点 呃就是呃我手机上面不要 
唉你好帮我把本机叠加点流量好嘛 十元一百四十元的就行了 
这个功能 幺 
啊你好帮我出就五十块流量好吧 啊送五十块钱流量 
噢你好嗯是这样的我的流量不够用了现在给我加一下流量你们有是二十块钱什么一千块的流量了对吧每个月 啊动感地带套餐不能办 
哎你好我想办一个国际漫游 好我知道的 
唉你好帮我开通一下那个去欧洲的国际漫游 德国荷兰比利时 
你帮我开通一下网络吧 喂你好 
这种哎你好我要开通一个手机号的国际漫游 不是本机 
喂你好我要把一个嗯这个号 有一个号码加到我的家庭号码套餐 

您好很高兴服务哎你好我要开通国际漫游 呃知道 
唉你好唉我想开通国际漫游 噢行 
诶你好我想订一下流量包 对的对的 
喂唉你好我呃我的手机流量没有了但我想那个我用我的积分那个换流量 
喂您好我想开通一下嗯那个就是 我那个港澳游我要开通一下那个 
高 我不太服务 
唉你好那个我想加一下那个流量加油包 对我现在流量是不是又没了 
七九二 你好我想要办理一下就是呃我作为一个主号码去另外一个号码付电话费的那种它就是挂在我的这个费用上我怎么样可以开通这个呀 
请请问帮我搞一下套餐流量吧我这个不知道怎么回事一直有用流量太快了 不够用的 
好啊行啊在嗯哼吧七三零三好谢谢好的谢谢好嗯王嗯嗯 好好的 
唉小姐我这个手机要开通明天香港的漫游 嗯嗯嗯嗯一百八十天的吧就 
喂你好是这样的我想添加一个号码到副号码应该怎么样加呀 呃知道 
你好帮我开通一下国际漫游好吗 对的 
唉你好我那个办理一下那个国际长途 啊去 
哎你好我想搞搞一个那个业务就是在通话中是有来电嘛就是什么什么那个呼叫等待对吧我帮您开通密码知道吗啊您已经开通啦这个呼叫等待不不是没有啊我没有 噢就是你现在发给我办过用那个余额一个忙是吧 
哎呀 喂你好感谢先生是这样子哎你帮我两个号码开通一下国际漫游 
您手机服务密码知道吗 好现在这边帮您开通呢是立即生效的拨打方式您记一下噢 
现在这个我现在打的这个电话号码是登记在王睡眠的名字地方 呃我我我现在打的这个电话我要去实名登记 
喂你好请问一下我增加一下流量 对 
喂你好我这个手机号就是说七月份的七月份的话要开通一下那个国际漫游 密码 
喂你好 那最近给我这个手机开通流量好嘛 
我要开通国际漫游业务不是不是漫游我要打国际电我要打国外的电话 对对对他哪个地方澳洲 
很高兴为您服务唉你好我想要开通长国五天的呢对限流量的 给我已经十二月份都用过了 
你好就是我有一个号码吗然后我想把那个号码绑定在我这个号码上然后扣那个电话费 对 
啊喂你好麻烦帮我开开通一下那个日本的那个漫游 日本嗯嗯 
你好帮我开通十块钱流量 呃知道 
您好很高兴服务您好帮我开一下漫游 密码八三三四幺九根据提示输入请稍等 
唉你好你好呃我想把我那个前段时间开通的全球通再延一个月 对对对密码知道吗呃不是特别清楚 
唉你好你好呃我想把我那个前段时间开通的全球通再延一个月 对对对密码知道吗呃不是特别清楚 
我我流量没有了我买十元流量 呃十块钱包一百兆吗 
你好帮我这个手机号开通一下那个东南亚的 二六四三八九 
喂你好你我们公司都不是帮我们开通了短号码但是我没有我没有注意到那条短消息然后刚才刚刚看到但是我在确认的时候大概已经试过了时间吧现在没办法确认开通我想让你你能不能帮我手动开通一下 噢这样的是吧 
呃我想我想那个我要开通一个就是呃呃就是那个日本的漫游日本的漫游 哦哦我记得了 
喂你好那个麻烦帮忙开通国际漫游 新加坡 
唉小姐你好我要开通一个国际漫游 喂唉唉那个泰国噢好泰国 
你好是这样子的我想给我们公司的同事就是全都开通就手机的彩铃功能然后那个彩铃呢因为我这边统一我该怎么操作 没有是那个个人进行一个个人手机彩铃 
呃我想把我我想我想把那个套现在的套餐改成十八块钱最低的月租 等到活动结束一下将定 
你好小姐我打电话来是让你帮我开通一下漫游 幺三六八幺九四七五四 
喂你好 呃帮我加个流量这小孩子应该对 
喂你好帮我开通一下国际漫游 这个流量不能恢复 
那个你好我想开通那个国际漫游 呃荷兰和比利时 
唉喂你好我想开通一下漫游 什么 
吧唉你好我给这个号码开一个国际漫游 呃日本 
幺八八 好您先输一下密码好吗 
您好很高兴服务唉你好你好你好唉帮我开通一下那个泰国的 港澳台的 
喂你好小姐麻烦你帮我开通五十八的飞享套餐当月生效 知道 
唉喂你好你帮我开通了国际漫游他服务密码知道吗流量知道的 
哎你好我想我这个手机号码然后开通一下那个流量包 呃告诉我一下 
啊我要积分换话费 喂 
喂你好我想那个看一下我这个国际漫游开着呢 那你帮我开一下开长途都是这样的 
嗯唉小姐你帮我这个手机开通国际漫游去日本 啊对是的 
唉你好先生你帮我开通一下那个日本的国际漫游 密码知道 
哎我想开通国际漫游今天的 噢手机服务密码多少不知道呀光行不知道 
唉你好我办理一下那个呼叫转移 幺三六七幺七二五七幺九 
唉你好那个我要开通一下那个港澳游的那个 额不知道 
唉你好唉你好我想要那个这个手机上加点流量嗯嗯 呃咱们现在就是说有什么优惠活动吗或者是 
喂你好我我那个流量快没了我续点流量 唉有多少的 
五十分钟七百兆是喂你好 唉你好是这样我想给这个手机开通那个国际漫游 
唉你好麻烦你清楚的加个十块钱的那个那个流量 拜拜 
你好 嗯 
我您好很高兴为您服务您好你好你好你好那个我要加那个叠加包加流量 元流量的话哦好没有几天还 
啊在我家那个流量包 这个不行那个五十块的是多少啊 
喂 呃我就今天一天用最低的 
唉小姐你好我想办理那个就是我明天去那个澳大利亚了然后就是我办那个流量套餐 就是五加七八聪明啊它是怎么开始的是从打到我后天到我从昨天只要开机了它就开始算是吧 
喂我想问一下我想办一个那个我要到港澳我在台湾去旅游嘛我想办一个台湾的这个 啊 
唉小姐你这个积分号我这里面的 就就这个月 
呃幺三六幺幺七零五五九 啊这个五月份呢那个开通国际漫游好吧 
唉先生你好你能帮我开通一下本机的那个国际漫游 啊王雪七三幺零幺零二幺九八幺幺二零五幺六六零 
您好很高兴为您服务唉喂你好我想呃我诶都是集团的那个用户就是我的那个集团的那个朋友在那个日本然后他想那个呃他想开通那个漫游呃全国漫游国际漫游 这个呃手机号我报一下幺五九零零 
你好我想开通一下国际漫游 呃知道 
唉你好我这个号码是那个副号码我想通话给我授权一下就是网上办一下活动是吗好像 我 
哎你好我要开通那个国际长途 对 
唉你好因为刚我打过电话他说让我电话接入信我是激活了激活以后它我要办理就是这个号码给我这个号码捆绑在一块给我付费还有户打是免费的 好的 
呃那行这个信息帮我开一下那个网络 啊对 
唉你给我们那个国际漫游好吧 对本机号码 
唉我我办了一个一个号码开通一下国际漫游什么 他本机现在在国外他已经已经把他断掉了他不能打的 
您好很高兴为您服务喂你好我需要申请那个宽带办理 对的嗯嗯 
您好很高兴为您服务唉你好我想开通一下国际漫游我是韩国 啊 
噢你好你这边是宽带业务的对吧 噢我这边那个手机上有一个套餐我想续费 
呃你帮我再加一g一g的流量好吧 唉临时用的多少钱 
喂您好 噢好的 
喂你好我想开通流量 还在上海对呀我在外地用 
喂 喂 
喂你找哎我想办一下那个用超房催装完换的那个就行 它是它是就是今天推送对吧今天每个月是不是啊 
啊现在这个水院申请额度就没到期了是吧 先生 
我我的手机的幺 您要上网功能打开是吗唉对对对我好像是功能要打开行请问下登记的名字叫什么呃登记的名字叫长宁海而已接通过上网功能帮您开好了稍后您手机关机重新启动一下就可以了还是办理的 
喂你好我想 就是那个是不是赠送那个宽带然后又收到一个短信就是一个什么新的宽带我也不懂这个记录 
您好很高兴为您服务 麻烦你帮我开一个港澳台免费接听好吧公司名 
我这这个月先加些流量 啊对对 
你好我是本机的机主啊 就是帮我开通一下那个国际漫游给我把那个数据关掉 
唉您好我想那个装你们移动的宽带 啊闵行区大连路两千两百六十六弄 
哎你好我想开通一下国际漫游 啊应该是知道的好的您输入一下谢谢 
您好很高兴服务喂你好我帮我开一下港澳套餐国际漫游对吧服务密码还有其他 密码知道吗 
就 你好我想申请一下那个流量加油包 
哎你好我要开通一下那个港澳漫游 呃不用就就去就是两三天 
您好很高兴为您服务噢你好你好 这个这个样子的我这两天是吧再再旅游就是你帮我办一个嗯十块的那个流量 
你好我想加一点流量 我这个差不多三四五百兆吧 
唉我那个开通那个赶往搞过买漫游 机邮箱也使用啊好的好的谢谢啊好好 
喂你好 那个这个月的话我现在今天二十九号今天二十八号是吧恩那个你给我开通的什么流量包流量超出 
噢就是反正声音肯定没问题唉你好我想开通一下国际漫游 呃英国 
喂很高兴为您服务喂 唉我要开通那个国际漫游还有韩国的那个流量包 
唉你好我这个手机帮我开通一下漫游到澳门一周 知道 
你好麻烦帮我开通一下那个国际漫游把 呃知道 
唉小姐你好我想开通那个港澳然后不是三日吗有个套餐的 我看一下对对对对对 
你好麻烦你查呃要麻烦你帮我开通一下短期的国际漫游 密码 
嗯哼 唉你帮我流量加一点 
你好请说 你好麻烦你加一个号码进来那个从当月开始互打免费三个人自己 
喂唉你好 嗯我这个想想想想办个什么套餐有什么都有优惠一点的套餐了我这个这个月生效一个套餐对吗呃想办个套餐对的 
唉你好我我这个手机现在刚回到国内三零没办法的啊 噢我可以试一下另外你帮我开通那个呃就是唉移动营业厅一下上网全部开好不好 
噢先生你能帮我开通一下那个港港澳那个漫游吧 噢我知道的 
嗯 开那个叫什么那个本月的就是那个流量就是那个 
喂你好我想那个充呃我我那个是呃我的号是上海的然后现在老家我想充值那个流量我的流量不足了 那种 
唉你好先生我想开通一下那个国际漫游到美国去 呃知道嗯 
一千您好很高兴服务你好我想开通一下国际国际漫游打电话 嗯嗯身份证登记的 
喂您好您好很高兴为您服务唉你好帮我开一下国际漫游功能然后把您这个资费发给我 啊充值的 
喂你好 对我申请那个我家那个嗯二十块钱的流量当月申请当月有效的二十块钱一点五g的 
唉喂你好我那个宽带要到期了麻烦你帮我续一下吧 对对 
喂你好那个我要办你们那个宽带 浦东明耀路二百六十八弄 
唉你好行我现在的流量加油包你帮我加一次 一个g 
唉你好那个我有个号码本来是空号现在我重新申请了然后你帮我开通一下 幺三六 
您好很高兴为您服务麻烦你帮我看看十块钱流量包 他就有那个 
唉你好 唉我想办办宽带 
唉你好嗯然后是这样子就是呃我刚刚已经跟你们沟通过了就是我下个月会换套餐然后这个月呢流量不够的我现在想加那个就是一个g是六六十块钱的那个流量包然后因为这个月不满不满一个月嘛对吧就半个月那个女同事跟我说有六百多兆然后现在帮我开通一下吧 开十块一千兆对吧天 
你好帮我加一下短号集团短号 
我想办理一下办理那个港澳台的漫游 不知道密码 
这样哎麻烦你帮我开通那个数据上网功能 漫游密码 
唉你好呃我要那个叠加流量麻烦你帮我看一下呃截止到那个月底之前用的那个套餐 呃我不要那么多二十块钱多了 
喂现在移动是不是应该把这个流量分享是别人啊 可以啊我想加那我自己的手机号一下幺三九幺八六 
哎你好我想那个办一个流量加油包 三十块钱一千兆但我噢呃是现在是实收一千兆是吗 
那个开通这个就是那个流量就是那个上网弄呢在上网功能的 就这个月开通 
喂你好你帮我开通一下国际漫游吗 噢好嗯 
唉你好我现在用的是八块钱的套餐就是打电话接听显示啊今天呃呃先点那个打两分两毛钱一分钟直接是联系的我想通过一个新的号码怎么开通 哎就说呃我现在那我要不好加一等一天这个号码就是我呃今天扣十块钱然后有我家的那个号码然后他给我打电话是免费 
诶不要你那个这个流量啊老是然后您到月底完去外地的话流量就够了我想加点流量 有没有这个五十块七个g我那个呃晚上我现在我在外面两三天要不对 
喂你好呃我想开通一下国际漫游 呃我试试看我不知道对不对 
喂你帮我开通一下那个我有那个别人电话二一兆啊 不知道 
您好 开国际漫游对吧 
唉你好呃我想开通一下国际漫游 呃知道 
喂你好那我这个手机本来是开通的国际漫游业务我后来七月份好像是欠费以后就没有开通你能不能现在再帮我开通一下 可以看我但是我前两天在韩国的话开不起来吗 
你好是这样的我想那个因为那个明天国外旅游然后开通一下手机 密码应该知道我 
唉应该是这样我一个流量到月底够了我订这个四g的流量 手机密码我的密码 
噢哎你好我想开哎你好我想开通一下我的国际漫游包的业务费 一次电话是多少 
呃你好麻烦帮我后台帮我关掉然后那个开通国际漫游 呃知道的 
发送密码 按现在不是卡上不了 
喂你好麻烦你给我问一个手机办个套餐好了 那个五十八的那个幺五零二幺零六四幺九几个电话号码还是 
唉你帮我开一下那个五块钱那个发给我三十兆还是多少那个流量 就这个手机号码 
服务 呃呃我想开通国际漫游啊好听到哪个国家美国 
喂你好我开通十十月份的国际漫游 对下个月 
哎你好我想给我一个号码办国际漫游 不能 
那 唉你好帮我开通一下一个手机号码的一个国际漫游 
呃没有通知我的流量已经不行了那我要加流量 优惠吗 
哎你好给我叠加点流量吧 对唉对 
喂你好呃麻烦帮忙开通一下去香港的漫游 还有忘记了 
嗯嗯你好这样子的我不是那个想办理什么呃半年流量包吗就是十二g六十块钱是吧 有的问题是我现在我想人工是不能办的流量 
哎你好我想那个叠加流量 对 
呃麻烦开通一下那个短期的国际漫游 呃有 
公司的手机号码你刚才开通国际长途 它不是另外我我不是人在国内停机过来 
幺四八密码知道吗 没有对吧没有的话您现在那个号码打过来办的 
啊你好我这边是想开通一下国际漫游 呃幺八八幺七 
是国内打国外要出国漫游啊 漫游是吧那这边到哪个国家使用呢 
喂你好还有什么帮您我这个流量日提醒我呢还有最后一天那边少买一点 对 
号码您好很高兴为您服务呃小姐的时候我要开通国际漫游好的 呃知道 
您好请讲喂唉你好我想加一下流量 我只要加到三号就好了 
唉你好把我这个号码加五百兆流量呢 对 
唉我要给我的这个七号办那个香港漫游 不知道 
呃你好是这样啊我有一个手机号码幺三七是王了在家里人我想把这个七号转到我现在用的这个时间打给你的手机号码 幺三九零幺八五六恩拜拜 
你好帮我本机号码开通那个大众卡 知道的 
唉帮我把我的手机充一下那个买个流量包呃买个漫游国际 漫游的话费 
