你好我想把那个卡里面那些那个呃他我要转户然后我想把那个卡里面看看全部都取消掉消掉 家庭户主那个我想取消掉 
呀唉喂你好我就是帮我处理一下那个帮我取消一下那个我不是差价了一下那个八十八十兆的那个业务吗 这样 
您好很高兴服务 喂你帮我这个号啊国际漫游了 
你好帮我把那个国际长途那个关掉好吗 对的对的 
我那个这个这个手机的那个号码就就那个库有什么视频二十多块钱帮我取消掉呢 二 
你好喂你好我要把我那个套餐那个把它取消掉我重新换别的套餐 对 
喂你好我就是手机上面有一个集团的那个短号的那个服务吗呃我这边想要那个就是把它取消掉 噢对的 
唉那个你要帮我把这个号码上面上网功能给我关掉 就不用流量了这个啥用的 
哦喂 喂你好唉麻烦你帮我帮我取消下个月的那个流量包流量包好吧先生开通一下 
喂你好密码再见 您好我那个手机里面绑了一个宽带给我把单子撤掉嗯嗯 
哎你好我想把我的那个流量包给取消掉 嗯对 
呃你帮我这个套餐取消掉 什么套餐都不要 
可以唉你好那个麻烦你帮我把我的套餐给取消掉 对都要取消掉 
帮我看一下 对 
喂 哎你好我想把我这个集团短号取消掉 
你好你好我下个月啊我下个月就是那个送话费活动已经结束了我下个月把那个一百块钱那个移动数据那个套餐取消掉 呃我现在换那个十八块的那个吧 
唉那个你好我就是我刚刚打过电话来那个改过套餐然后这个刚那个工员跟我说里面有什么彩铃包还有一个什么有四十五块的什么那个你帮我看一下是吧 那个那个彩铃和那个游戏包给我那个取消掉那个留下来电提醒留着 
取消它不应该转这里的我这边是做活动的您是在哪里办的呢就是又是您啊您不是上个月您不是今天早上刚刚在我们家的客户经理 
喂你好 然后那个我有一个校讯通那个然后我想把先取消了 
喂 你好唉是这样的前面你们这边的那个客服打电话给我说我下个月我换了一个套餐然后原来的套餐没有行你这边能帮我取消一下 
喂你好你帮我查一下我那个那个呃现在都你们资费那个副号码它把它取消掉吗 对那我就我叫他自己付费我不给他说了 
唉你好是这样的我想把这个号码本月的那个gps标准套餐给取消掉 gps标准 
嗯先生你好我想问一下因为我今天去国外吗因为我我开通一个服务的话是每天扣两块五 呃三幺零幺零八一九七五零六零六二零二四幺零 
啊 喂你好帮我发一下可以正常用不起了 
你好你帮我查一下那个任重新因为我看那个我订了二十四元的那个套餐嗯 任我看那个套餐 
唉你好唉你帮我关于关于两个什么东西开的什么手机电视帮我帮我关掉 唉对对对就是有一个十块二是吗啊 
唉你好我我有一个那个什么校园的那个有开十块钱的费用我想这个用不到了吗想把那个取消掉 我密码不知道 
唉你好我想先取消掉我一个集团号已经那个 等一下等一下我还有一个我七月份的话费能发一个电子发票到我的邮箱吗 
唉你好是这样子的是上个月我买了一个优惠的视频包然后我就买了一个月的但是我看到这个月好像就是有时候停的流量 多少呀 
那个你帮我那个二十块钱的一个流量流量包都取消掉吧 对你八零八你好 
好好好好您好很高兴为您服务喂你好我想问一下我之前办了一个十块钱的流量 对对为什么呃办完之后我不知道信息不是他五月份用户都有了 
唉你好你好你帮我查个号码 幺八幺八三 
对唉你好帮我你说帮我这个手机但我听行谢谢好好唉你帮我查 你帮我这个流量国际流量然后不是不是不是不是你这个国内的移动数据关掉 
喂你好哦报修电话转移回来呼叫转移功能关闭取消掉 
够 喂你好 
小姐我想把我呃这个捆绑手机的另一个号把他那个单独处理一下 幺三六零幺六三二九二七的不要捆绑了 
嗯这样我要出国帮我把那个上网流量然后就是移动蜂窝那个关掉了就是上网流量 过十分钟十分钟以后 
唉你好 把我那个什么什么赠送的那个什么套餐给取消掉 
哎那个不想你帮我把那个语音信箱取消那为什么帮我设定了我更新的那个手机变成零信箱你帮我取消 不需要取消取消 
唉喂你好 呃我那个就是我这个月加了一个那个五十元的那个流量套餐下载在你下个月帮我帮我取消掉吧 
唉你好呃我昨天那个开通了一个呼叫转移呀你能帮我取消 知道 
你好 喂你好是这样的全那个我我办过一个集团短号业务然后我现在不在家过来把这个短号业务消掉 
喂 我刚才又订那个那个有有一个什么流量加油包那我不要了给我去掉了 
您好很高兴为您服务喂你好我想把美哎帮我把那个流量包去掉 宽带嗯嗯你说密码 
呃是这样的这个手机是老年用的你们那个上面发过来块钱啥手机上报答你把它那个取消掉不要不要吗不要发过来 对对对不要不要好吧好好好是怎么每天三每天三小时都不要吧 
唉你帮我本机号码那个家庭畅享那个群帮我给他了好吧 对对对 
唉你好 那个没有我这手机号反正有个东西的企业彩铃我现在想把它取消掉 
喂你好是这样的我对不是家庭套餐里面的我想确实在您套餐怎么弄 都退出来就是他现在家庭套餐是什么就是主机付付账单就是我们是这个号绑在 
哎你好 就是我诶上个月是改那个 
哎你好请帮我取消一下有一个叫psm的一个集团服务 对你看一下平安银行之前你帮我办一个十块钱的好像叫语音服务 
唉你好麻烦我这个集团网的短号取消掉一下 现在取消下个月不收费这个月还收费是吧 
把我那个查询取消一下 感谢 
你好帮我输入手机的那个呼叫转移取消掉吧 知道 
你好我的套餐不是一百三十八那如果什么其他的项目全部帮我取消啊 呢根据你们那边给我发一个还有个什么已经 
为您服务唉你好就是我之前那个前两天打的那个一百零八的套餐我想看一下有没有帮我取消掉了 可以的 
喂你好 昨天郑州告诉你兆 
唉先生你好我是就是办理了一个呃就是六十八元那个套餐的那个然后呃我是想因为我我就是在那个app上看到有一个那个流量十元可选可选包的月基本费就十块钱含一百兆的我要把这个取消掉可以吗因为现在不是那个升级到五十八的话是两个g的吗 因为我在这边上就是说之前选的时候那个零兆是不能选必须让我选一百兆的 
哎你好我想关闭我那个有一个四g流量共享啊 对对对不要 
你好我想取消一下集团彩铃 对吧哎徐按一 
啊喂你好我想那个解除就是解绑那个的长号短号 对的对的对的我想解绑那个短号六六五九兆的一个功能 
先生您好是这样的我原先的话呢是那个因为工作的关系所以有有那个被那个公司呢是选择了有一个那个呃那个那个手机的有一个什么集团的那个通话的那个功能然后现在因为我离职了所以说我想退出这个功能 呃可以应该没有什么太大问题 
唉先生你我我是本机啊 对啊你给我把这个伴游取消掉吧 
您好很 唉你好那个手机号码上面有一个副号码我想把它那个解绑 
喂你好那个我想把那个我我有个副号码取消关联 是那个幺三九幺七六八幺八八六那个 
哎你好我想把本机号码银行卡绑定取消 不知道 
您好已经喂现在还是刷可以我这手机里面有一个畅享包里面有一个绑定的有一个愉电话号码能帮我算一下吧恩好的请问您密码知道吗呃知道 对吧喂 
为您服务唉你好我刚才打电话反映就是那个取消呼叫转移吗就查不了你现在可不可以查的 嗯对 
您好我想把短号取消掉 所以我现在就取消 
打电话给我说的是啊但它取消了一个那个三十块钱流量包那个 那个我的意思是把这个流量就这个全部关掉它 
唉小姐我要取消一个就是二十元两g的那个业务 知道的 
唉你好我刚才打电话我说像当月流量不够买一点儿然后那个人什么时候搞的每个月我是说我有个一百二十八套餐里有流量我不需要买每个月五十元的那个那个什么一g啊 噢我看到短信里边下个月有有有五十也没有这个东西 
喂 呃帮我单位其他电话关于不要了好吧取消 
很高兴服务唉你好 我不是是在退款吗 
您好很高兴为您服务呃喂 下个月的话是退订那个早晚高峰的那个流量 
唉你好帮我那个取消那个多我的那个跟银行卡那个q跟那个 唉我这试一下看吧我我不清楚 
唉你好本机它那个上午办过一个呼叫转移的帮我取消好了啊 知道的 
呃帮我取消一下那个呼叫转移 知道 
我想问一下因为我八月份那个宽带我到期了 对我不需要了 
为您服务就是说我取消了个任我翻那个套餐 恩好的我知道了 
喂你好哎我想就是要要麻烦你帮我一个我这个套餐当中的一个融合通讯手机互拨优惠功能包出那个包月租费十块钱把它取消掉 噢我知道原本就不要的我们说的是那个五十八的怎么帮我们做上去做六十八的啊 
喂 啊去年的这个去年我有个宽带业务预约我要取消是吧 
唉小姐我想把那个我下个月好像办了一个就是短消息的那个套餐好像是嗯三十块钱六呃六百条的然后帮我把那个业务取消掉好吗 这个 
唉小姐帮我这个来电的号码账号你帮我提下线 啊辽源四村四十号 
您好很高兴为您服务喂 还有其他有没有 
喂你好你帮忙看我的手机上面下载一个大礼包的什么之类的东西你帮我删掉就可以吗 给关闭掉 
唉你好哎我想呃跟你说一下那个我昨天晚上大概睡觉前你们和这点了一下那个什么玩游戏啊那个开心消消乐恩那我好像按错了一个g里面上了一个什么魔法办业务啊 我现在想把它取消可以吗 
我看是怎么回事 呃是比就像流量什么时候返还 
喂你好刚才我打你们那个移动他说有个集团返或者取消要你自己取消的 唉你帮我取消掉好吧 
你好 嗯嗯 
你看一下帮我里面你也不要下午就取消还是游戏的取消 多多多少用完了 
你好听得到吗 啊刚刚打北京的好像到时候我这里面有一个亲情号码帮我那个关掉一个好吗 
我这个手机今天呃那个收到短信 开始手机啊什么东西 
呃我那个叫什么下个月的那个套餐签的是那个一年的三十八的什么短信上就是四十七月呢 会减免 
喂 就是说取消掉嗯取消掉之后呃就是是这个月立即没有的啊马上没有的哎好可以了啊那我帮您马上停掉了啊哎好哎打扰您了 
你好小姐是这样的你这个办理集团的是吧集团短号呢我这个手机上有个集团短号你帮我取消掉 你是什么意思呢就是说这个短号取消了就是短号就取消了 
你好那个我这个手机啊要出国几天把流量关掉 报什么 
喂你好 就是我想取消一下我套餐里面那个每个月二十元的那是就是说视频流量免费 
呃我那个呃你可以帮我把那个九元那个优酷的那个任我看的那个流量改成二十四个了 知道 
喂你好呃我想把一个账号给取消掉呃 噢噢好的 
唉你好我这个本机号码我想把二十块钱的那个流量套餐取消掉 呃张日中 
噢 我想把本机的那个就是嗯国际漫游给关掉 
对 
喂你好 查一下我现在手机是什么路 
喂你好唉我这个准备突然多了一个什么集团业务那个什么语音服务我要把它取消掉 不要了 
喂你好我想把这个手机手机号码那个呃那个是什么移动就可以取消不了再见 你帮我取消一下先生 
谢谢能帮我那个手机里面一个公司内部的一个联络那个取消掉吧 对的 
你好是这样子的呃原先是我用我这个手机号国家里申申请的是中国移动的宽带吗之后因为我们小区那个宽带升级现在两百兆时侯用我家老公的手机有办那个两百兆的那我这个手机呢这个号原先二十兆的我就停掉 
唉你好我要查和家庭嗯 我要从和家庭里面一定要一个号码 
唉你好我想要把我那个申请取消这个是不是 唉对没错 
您好很高兴为您服务唉你好是这样的我那个办了一个短期的国际漫游这个现在可以关闭了因为人已经回复了一下服务密码知道吗呃知道的啊您输入一下谢谢哎好谢谢 谢谢 
您好很高兴为您服务哎你好请帮我那个套餐取消一下 就是我想改成一个十八元的套餐 
喂你好 呃就是麻烦你帮我把那个九十八元的套餐取消好吧嗯 
唉您好刚才打电话咨询了就是五十八元套餐之外还有二十元那个什么每个月生效的那个呃他当时我刚才让他帮我取消他说我那个话费不是欠费了嘛然后充值但充值吗你帮我取消一下吧 哪个那个业务服务的对吧 
呃我想取消一下现在那个呃那个和包付那个吗我翻活动还有没有啊十月份以后和包对 那几个月一直用 
呃我是幺三八幺八六四幺七七八手机号就是你帮我那个那个集团的那个套餐帮我取消掉 没有了呀手机号码幺三八幺八六幺幺七七八 
很高兴为您服务唉你好你看我这个有一个套餐就是对吧 有两天是捆绑的一个资费服务是三个手机充值捆绑的现在没有提前一个月可以直接 
喂你好我就是办那个宽带销户的 嗯嗯对的因为我是在上海办的然后现在人不在上海然后就是八月底的话就到期了现在回去身份证就是在这个手机上面办一下销户呃宽带销户我们 
喂你好我有个号码要呃您帮我取消一下那个有个二二十四块钱的什么流量啊视频套餐 呃我报给你好嘛 
你好唉 唉它是呃就是我刚刚跟那个另外一个工作人员说了我说这个前两天我接到一个那个什么古北营业厅的他说他说送我什么一百兆的呃那个宽带然后我们家里装了一个什么二十块的什么魔呃怎么买三百多 
噢 哎你好我想就是这种一下就是昨天我不小心有一个链接办了之后 
呃小姐帮我那个套餐里边取消个什么费用 什么咪咕特级会员费和给我这个没法用验证码 
您好很高兴为您服务唉你好我上次啊上次订了一个什么什么那个爱情一个什么免费看的那个什么二十元那个那个我不需要 服务密码我没有我不知道一下 
噢你好我想关一个那个关两个手机号的那个流量因为需要哪个要要出国今天下午飞机一个电话是幺三九幺三九幺八五六 幺三零四 
您好您说你你就是我想咨询一下就是我现在不是以前就是我现在就是订购了一个呃就是三十元的那个流量包呀嗯系统现在呃现在呢我想给他取消掉 呃呃就是我的用户密码不知道的呀 
唉你好小姐呃你帮我把那个国际漫游给关闭好吧嗯可是那应该是开通的对方 别的不需要了我说你们关关闭啊好的 
唉你好四嗯我有那个呃十块钱因为现在哈我是上海的卡我但是我跟我换工作然后再 在湖州浙江湖州在那上班吗然后再见我之前包了一个十块钱我以为是当月到月底就结束了吗我没有联卡他们也没说就我想把这个业务给取消还有一个其他网一个取消 
唉你好呃这样就是我现在的那个手机号要把那个漫游和那个什么什么数据的那个流量什么时候停掉因为他现在在那个 呃做那个游轮他把那个所有都停掉好 
没有办法很高兴服务 唉你好帮我这个那个手机那个小小机关一下 
哎你好我们那个要到美国去你能不能帮我那个叫什么gprs 我我这个好像没有密码吧 
就是我不是那个一个套餐吗现在到期了吗可以给我关掉吧 这个套餐关掉 
喂你好哎 帮帮我帮我那个把他那个外外地电话关掉可以吧 
你好帮我本机那个那他一个副号码 三七车特幺三七零幺六零八五幺二退掉 
喂你好 我九月一号装那个宽带我现在想退掉 
您好很高兴为您服务你好我是那个幺八八幺七八幺七六八七的手机用户二八八幺七八幺八多少幺八八幺八幺七六八七 幺八八幺九幺七八 
平台嘛 七幺 
你帮我看下我就是这个收费业务帮我全部取消掉好吗 呃赠送吧 
嗯 哦你帮我这个手机的套餐全部取消掉吧 
您好很高兴为为您服务呃是这样子我我那是参加这个套餐我手机套餐是五十八元的这个套餐我想把它给退掉 就是必须要有个 
呃你好我要关闭那个gps流量然后要开通国际漫游 有 
哦你好唉是这样的就是嗯我昨天不是加了二十块钱的流量吗诶唉就是呃从下下个月开始你帮我先取消了二十块钱 我这个月 
你好就是我之前办了一个那个换那个套餐嘛五十八的套餐就是它提醒我说每次上下个月初要扣七次 你帮我查一下谢谢 
噢您好很高兴为您服务喂你好我我想把我这个上面那叫什么爱奇艺那个呀取消 对的 
唉你好 这个手机是我北京的我我我本来要小号的是公司先生啊你给我取消掉下个月给我太太贵了 
喂你好我我想询问一下我把这个我那个手机报的就是说流量给我关住 呃流量包没有取消就是说 
喂你好我想把那个彩铃也取消掉好吧我 对呀 
哎我想把那个我的这个什么ip什么视频流量给取消掉 呃什么密码 
哎你好我想唉暂时先把我的流量关一下开有时候长沙覆盖吗不好吗 时间隆鑫就介绍我还有别的其他的 
肯定是您报一下 好的那现在帮您恢复那这个关掉 
你好我想把那个就是那个集团号取消掉 好 
呃你好我想把那个你就从下个月开始把那个取消了就是现在那个套餐 呃什么意思啊 
多一个月月租套餐喂 现在让他工作人什么嗯 
唉你好是这样的我就说我现在这个捆绑的家庭套餐里边有一个电话号码幺三五零幺七八三八的这个电话号码我要取消掉的催促我要解绑套餐里边问一下 有的 
唉我那个移动宽带当初就是那个送的 哎宽带就是我这个手机不是送的嘛它那个消费满多少喂现在我又喂 
唉你好好的我有绑定三个号码我想把两个号码去掉 我手机密码 
唉你好你帮我那个之前那个宽带应该能看看不到一送的一年宽带那个功能评价因为我要把家里有线给退掉 这个时间还没有到不是你就是说我还是月租费什么都不变呀只是我不使用了 
您好很高兴您服务喂你好就是我手机上面不是有一个主机吗我手机号是一个副机然后我能不能取消掉啊对对 再见 
喂我我不是办了一个那个那个那个什么爱奇艺的那个三月什么那个叫什么 对你先帮我取消掉我就能取消掉 
嗯 唉你好刚刚呃我之前订了一个就是什么四g的那种什么升级手机的那个套餐你帮我给取消掉吧 
喂我有个集团业务十块钱的集团业务帮我取消吧 嗯就是你现在取消就不能用了是吧 
多少唉你能帮我查一查我就是那个宽带的这个业务要退订的 唉对的对的 
是您好很高兴为您服务然后两个也可以对吧 打电话那个哎你好你好呃帮我把本机的那个七十块钱两个g的流量取消掉就可以了 
唉你好麻烦你帮我流量关掉好吧三二五下个月的流量 那个 
哎你好我想把我手机这个集团短号注销掉 啊噢我知道我我我就不使用了 
你好 我想把那个呃漫游一款和那个五块的那个漫游费给取消掉噢好 
你好我有一个集团的一个什么互通电话十块钱减免五块那个业务啊噢就我现在不需要这个 好的可以没问题 
唉你好我就是想把这个幺三九这个号码的捆绑家庭套餐取消掉 我密码不知道呀 
喂你好我想取消一个套餐 呃亲子呃好像就是那个多人呼叫打电话不要才能八块钱加家庭畅打包对吧对吧好的谢谢 
嗯嗯 唉你好我这边有个其他业务要取消一下 
