请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 很 高兴 为您服务   喂 你好 我 发现 我 的 流量 用 完 了 我 怎么 可以 再 加一点 流量 啊   恩像 您 本 机号码 可以 加个 二十块 钱 可以 多 两个 g 的 流量 二十元 两个 g   昂有 两个 g 就是 下个月 还有 吗 还是 说 这个 月 呃 只有 这个 月 如果 下个月 想要 的话 下个月 再 开通   都 可以 啊 您 可以 继续 保留 也 可以 只开 这个 月 都 可以 的   那 我 就 只 开 这个 月 吧 如果 下个月 我 再 需要的话 我 再 打电话
您好 很 高兴 为您服务   唉 小姐 我 那个 积分换 那个 充值 怎么 换   呃 积分换 话费 对 吧 呃 您 知道 之前 有 多少 积分 吗   好像 买 了   嗯 那 噢 对 您 可以 用 两千五百 分换 三十元 那 我 把 兑换 方法 发给您 啊 还是 要 您 自己 发短信 发送 hf 五零 hf 三零到 幺 零 六五 一个 八 三个 九 呃 具体内容 我 都 发给您 了 啊   什么 意思 啊
服务   唉 你好   恩 您 说   我 想 我 想 咨询 一下 就是说 我 公司 上面 买 一张 呃 电话卡 需要 什么 手续 吗   公司 的话 要 买 电话卡 是 吗 首先 的话 你们 的话 需要 那个 公司 的话 营业执照 副本 原件   不 本身 原件
为您服务 唉 你好 我 叫 我   今   今天 发 那个 这种 东西 而 我   短信   他 那个 积分 怎么 通话 呢   这边 的话 您 发送 您 现在 兑换 多少 钱 话费 的 呀
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 那个 公司 用 的 手机 和 电话 怎么 说 你们 这里 怎么办   是 办 固定 电话 吗   呃 呃 手机 加 打 这个 号码   就 申请 新 的 上海 移动 号码 以 公司 名义 登记   呃 对 而且 还要 这个 手机 有 绑定 在 一起 的 那种
服务   唉 你好   恩 您 说   我 想 我 想 咨询 一下 就是说 我 公司 上面 买 一张 呃 电话卡 需要 什么 手续 吗   公司 的话 要 买 电话卡 是 吗 首先 的话 你们 的话 需要 那个 公司 的话 营业执照 副本 原件   不 本身 原件
对   您好 请 讲   我 想 问 一下 现在 有 那个 亲情 号码 要 怎么 申请号   证件号码 呃 适合 上海 本地 之间 吗   那 我们 这边 有 一个 八块钱 的 一个 和 家庭 业务   噢 有 一个 和 家庭 业务 的 功能 不 收费 但是 要 互打 免费 的话 是 要 收 八块钱
您好 很 高兴 服务   喂 你好   你好   我 问 一下 就是 我 这个 卡是 两 g 的 呀   嗯   然后 我 我 申请 到 四 g 的 卡 问 一下 怎么 激活
您好 很 高兴 为您服务 哎 我 想 问 一下 这个   现在 装 宽带 怎么 装 呢   是 移动 的 宽带 对 吧 那 你 把 地址 报 一下 我查 一下 有没有 线路 有没有 东西   这 这 叫 啥 的 五号 刚   上海 什么 区 请问 一下   呃
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是 关于 我 移动 手机 上 的 手机 给 我 绑定 下 我 要 解绑 再解 绑 的 话费 我 可以 电话 对 吧 还是 需要 人去 营业厅 去 了   是 家庭 绑定 打电话 过来 也 能 加包 的 您 方便 的话 但是 您 到 营业厅 都 加 都 可以   呃 是 可以 那个 通过 电话 转过 去   就是 那个 家庭 绑定 可以 电话   就是 我 是 发 起来 就是 我 把 就是 绑定 到 我 跟 我 绑定 单 然后 把 那个 号码 解除 掉
您好 很 高兴 为您服务   哎 我 想 问 一下 我 想 那个 我 这里 那个 wifi 能 不能 呃 那个 就是 网络 怎么 关掉 我 开通 一个 日本 的 漫游 啊   您 要 开通 国际漫游 关闭 上网 功能 是 吧   唉 对 的   好 的 手机 服务 密码 知道 吗   知道 的
兴 为您服务   喂 唉 你好 所以 我 想 问 你 一下 我们 单位 不是 从 那个 下个月 开始 就要 给 每个 员工 那个 那个 发 那个 充值卡 吗   嗯   嗯 这样的话 就是说 我 充值卡 我 在 哪里 买 然后 发票 怎么 给 我 提供 的   充值卡 你 说 的 是 上海 移动 的 充值卡 吗   对 对 对 上海 移动 的 充值卡
服务 喂 你好 我 这个 一月份 的 账单 怎么 打印   一月份 的 账单 就是 打印   这个 发票 打印发票 发票 的话 一月份 他 没有   现在 已经 超过 六个月 了 打 不 出来 的   对   而且 更改 套餐 二月份 才 有 的 今天
您好 很 高兴 服务   唉 你好 我 问 一下 就是 那个 移动 账单 的话 是 通过 那个 幺 三九 邮箱 发送 吗   对 是 的   那 那个 发票 那个 账单 和 发票 是 一样 的 吗   就 电子 发票 吗 幺 三九 消费 发给您   那 那 这个 的话 你 看 一下 我 这个 呃 手机号 的话 有没有 开通 那个 自动 发送 的 这个 这个 功能 因为 我 去 登陆 那个 幺 三九 的话 没有 收到
您好 很 高兴 服务   唉 小姐 我 现在 我 想 我 想 把 积分换 流量 你 把 这个 呃 呃 网址 发给 我行 吗   嗯 好 的 稍后 我 给 您 转接   到 您 手机 里面 啊 那 还有 什么   可以 帮 您 呢   我 就是 把 积分换 呃 流量 这个 网上 给 我
您好 很 高兴 为您服务   喂 你好 我 这个 移动 号码 就是说 那个 漕宝路 那个 钱能 不能 谁 过来 啊   这个 抱歉 这个 手机   这个 移动 号码 我 不想 再放 那个 那个 用 那个 系统 手机 用 完 了 我 感觉   一下子 也 能 接 打电话 来 反正 是 指 话费 推出 来 还是 指 什么   把 那个 提供 来 把 那个 和 和 钱包 里面 那个 和 支付 不是 有 一个 交通卡 吗 就是 我 你 帮 我 交通卡 那个 钱 提出 来
为您服务   唉 你好 呀 我 就是 公司 的 我 要付 就是 网银 支付 那个 就 移动 的 费用 吗 知道 唉 我 那个 叫 什么 上面 就是 我 的 帐号 应该 填 哪个 是 你们 的 序列号 还是 就是 那个 时间 下面 的 什么 一 零零 九 那个 是不是 一 零零 九 的   公司 要 支付 集团 账号 的 账单 对 吗   对 对 对   目前 它 是 只能 通过 银行 转账 另外 一个 是 您 可以 收到 的 对 账单 去 上海 营业厅 自助 终端 缴费 付款   没有 我 网银 支付
那 反应   的 喂 你好 唉 我 的 那个 手机 我要 电子 那个 账单 怎么回事 啊 电子 发票   不 客气 感谢 你 啊   呃 你 看 是 这 样子 吧 对 对 对 对 对 我 要 四月份 五月份 的   好 那 这样 我 发给您 一下 因为 五月份 的 账单 还 没有 结 五月份 的 没有 发票 的 报销 账单 还 没接 那个 四月份 的话 我 发给您   我 我 五月份 没 付费 吗
高兴 为您服务   喂 你好 什么 可以 帮 您 唉 我 停 这个 那个 呃 办 的 是 是 在 哪里 去 啊 宽带 是 吧 嗯   我 帮 您 转到 宽带 部门 问 一下 请 不要 挂 我 帮 您 转过 去 为了 更好 解决问题 我 将 电话 转 专席 处理 最高 的
您好 很 高兴 为您服务 唉 唉 先生 我 我 想 问 一下 因为 我 这里 这个 紧急 进去 啊 我 是 流量 银行 银行 我 想 办 一个 流量 套餐 的话 我 怎么办 办 一个 流量 套餐 是 吧 对 呀 我 看到 有个 叫 四 g 流量 卡 后付费 五十元 一个月 有 两 g 国内 流量 的 这个 怎么弄 因为 我 本来 就 有 个 套餐 的 我 说 我 以前 的 五零 套餐   噢 那 这边 的话 就是 您 能 把 那个 手机号码 报 一下 我 帮 您 看 一下 啊 幺 三 六 幺 三 六四 幺 六七 幺 六二 二 四九 三三二二 四九 三好 手机 密码 知道 吗 知道 好 麻烦 您 根据 语音 提示 输 一下 密码 噢 好好 的 密码 验证 成功   嗯 嗯   噢 我 看 您 这个 手机号码 的话 是 一个 那个 就 全球通 五零 套餐   对   噢 然后 还有 还有 就是 那个 十元 的 来电显示 嗯 嗯 然后 还有 六块钱 的 畅 听 优惠 包
您好 很 高兴 为您服务   唉 是 这样 的 我 看到 你们 那个 网上 不是 有 合约 机 吗 是 华为 那个 畅玩查 的 那个   畅玩 没有 插 嗯 然后 呢   我想 问下 怎么 办理   办理 的话 您 直接 在 网上 去 问 一下 就是   他 那个
您好 很 高兴 服务   喂 你好   你好 请 讲   呃 我 想 请问 一下 我们 那个 办 那个 在 在 移动 的 办 了 宽带 怎么办   好 为了 更好 为 您 解决问题 我 将 您 的 电话 转 专席 处理 请稍等 啊
您好 很 高兴 为您服务 喂 您好 有 什么 可以 帮 您   啊 是 这样 的 我 这 我 的 那个 你们 现在 移动 的 那个 那个 宽带 怎么 装   我 帮 您 接到 我们 宽带 服务 热线 问 一下 好 吗   噢 噢 好   请 不要 挂机 办法 解决问题 我 将 电话 转接 专席 处理 请稍等
您好 很 高兴 服务 喂 你好   您好 请 讲   哎 就是 我 想 问 一下 我 一个 手机 嘛 然后 你们 幺 零零 八 六发 了 一个 信息 说 我 在 这个 月 截止 到 十四号 之前 还 没有 用 这个 手机   使用 过 因为 我 这边 需要 您 必须 要 机卡 匹配 产生 四 g 网络流量 他 才 会 返还 话费 就 您 这个 号码 跟 您 您 这个 号码 跟 您 参加 活动 的 时候 这个 手机 要 放在 一些 就 iphone 七要 放在 一起 产生 四 g 网络流量   嗯 嗯 呃 然后 我 跟 你 说 一下 因为 我 这个 手机 呢 就 不 小心 摔坏 了   嗯 嗯
您好 很 高兴 为您服务   你好 那个 我 想 问 一下 我 这个 电话 办理 出国 漫游 那个 不是 开通 数据 漫游 的话 它 怎么 操作 啊   短期 的 国际漫游 有效期 是 三十天 的   呃 不是 不是 短信 就是 那个   我 是 说 短期 的 国际漫游 有效期 是 三十天 的   噢 那 就是 打电话 开通 还是 去年 一批 上 开通 还是 怎么样
您好 请 讲   唉 喂 你好   你好   呃 就是 因为 我 手机 呃 变成 一个 叫 就 想 停机 一下 怎么弄 啊   停机 对 吧   嗯
喂 您好 很 高兴 为您服务   唉 你们 帮 我查 一下 我 如果 要 办多 张卡 然后 公司 名称 需要 带 什么 东西 证件 到 今天 吗 这   单位 的 名称 办理 移动 手机号码 对 对 那 公司 这边 需要 提供 营业执照 副本 原件 单位 授权 加盖 公章   噢 单位 授权书 加盖 公章 是 吧 对 公章 带 然后 每个 月 知道 是 什么   营业执照 的 副本 原件 公章 还有 单位 对 授权书 然后 的话   单位 授权书 是 吧
您好 很 高兴 为您服务   喂 你好 你 中 呃 问 你 一下 就是 改 密码 是 发送信息 发送 多少 是   查 什么 险   就是 改 宽带 密码   改 宽带 密码 对 吧 那 你 是 哪个 手机号码 办理 的 宽带   幺 八
您好 兴 为您服务   喂 你好 这 样子 我 因为 这边 如果 需要 我 这个 号码 的 发票 的话 怎么办 呢   宽带 的话 可以 发 您 邮箱 里面 的   刚刚   那 是 对 幺 三九 邮箱 您 需要 麻烦 就是说   你 帮 我发 一下 好 吧 这些
您好 很 高兴 为您服务 唉 你好 就是 我 想 问 一下 呃 川沙 这里 的 那个 换购 手机 的 活动 我 应该 去 哪里 参加   您 就 去 穿 上 营业厅 吧 我 把 地址 发给您 嘛 您 带 好 身份证 过去 看 一下   噢 要 带 身份证 是 吧   对 那 当然 有 一个 川沙 有 一个 长阳路 华夏 东路 哪个 键 啊   怎么弄   华夏 东路 城 阳路 哪个 近
您好 很 高兴 为您服务   我 想 咨询 一下 就是 就是说 有 那个 自选 套餐 怎么 升 流量 申请 什么 意思 呢   就是 您 之前 流量 比方说 是 两个 g 吗 呃 五十元 一个 g 的 对 吧 现在 改到 新 的 业务 五十元 就是 两个 g 了 还是 五十块 钱 的 费用 不 增加 七点   七点 多 了 就是 这样 的 我 是 每个 月 消费 一百零八 块 哦 我 两个 g 都 不够 用恩 你 看 我 现在 怎么 怎么 怎么 操作 比较 好 那 您 可以 往 上 提高 一档   其他 的话 五十元 的 七十 元 七十 元 现在 是 三个 g 再 送 您 三个 g 的 国内 流量 送到 明年 六月   三个 g 加 三个 g 六个 g 啊
您好 很 高兴 为您服务   唉 你好 我 想 帮 我 看到 收到 你们 幺 零零 八六 的 那个 短消息 说 什么 呃 流量 升级 什么 的 这个 怎么 办理   你 要 流量 升级 修   他 不是 说 什么 免费 升级 他 说 我 叫 什么 五 什么 的 什么 密 什么 东西   对 先生 这个 的话 就是说 如果 他 升级 的话 是 这个 样子 就是说 它 送 的 流量 的话 是 全国 通用 流量 五个 g 五个 g 全球通 用 的 但是 的话 如果 就是说 呃 他 这个 的话 套餐 是 这个 样子 的 如果 你 一旦 升级 完成 以后 那么 就是说 他 这个 的话 只 送到 一 八年 的 六月份 就 结束 了 不是 每个 月 都 正常 赠送 的 呃 就 是不是 一直 赠送 的 如果 到 一 八年 六月份 以后 那么 它 就 不再 赠送 了 就   啊 就是 看 就是说 赠送 到 明年 六月份 对 吧
您好 兴 为您服务 唉 你好 就是   手机 那个 流量 没有 了 然后 办 那个 发 六六 零六 那个 加油 包 吗 它 好像 一直 回复 过来 短信   短信 我 看 一下 您 之前 今天 加 过 一次 一 百兆 进来 了 已经   好 已经 加进来   加进来 了 可以 用 了 对 的 噢 好 吧 那 我 知道 还有 什么 可以 帮 您 的 吗 嗯 没有 了 谢谢 啊 那 不 客气 祝您 生活 愉快 再见
您好 很 高兴 为您服务   喂 你好 唉 那个 我 这个 手机号 想 打 那个 发票 是 是 是 需要 向 你们 申请 吗   呃 它 是 电子 发票 现在 对 方面 的话 每月 发到 邮箱 幺 三九 邮箱 这个 要 开通 一下 的 我 帮 您 开通 是 吧   对 对   ok 了 手机卡 的 服务 密码 知道 吗   不 知道
您好 很 高兴 为您服务   哎 你好 我 想 我 想 问 一下 你们 那个 集团 那个 什么 那个 业务 怎么 取消   情况 您 呃 是 取消 哪个 集团 服务 给 的 是 手机号码 套餐 还是 集团 产品 服务   说 只能 查询 到   集团 产品 要 取消 的话 你 要 联系 我们 当时 办 的 移动 客户   这个 卡号 多少 好 那 以前 的 事情 呢
您好 很 高兴 为您服务   喂 你好   嗯 您好 请 说   我 就要 换成 零找 谁 啊   关彩铃 是 吧 电话 您 是 拨打 幺 二五 三零 或者 直接 登陆 幺 二五 三零官 网 进行 设置 语音   的
您好 高兴 服务   呃 我 我 需要 查 一下 我 的 前两天 的 通话记录 呃 现在 应该 怎么 查   正在 通话记录 的话 呢 需要 登录 上海 移动 网上 营业厅 在 网上 营业厅 里面 查   那 网上 营业厅 我 现在 已经 进去 了 那 我 现在 不 知道 新买 一张   登陆 网上 营业厅 在 我 的 移动 详单 查询 里面 有 一个 通话 详单   可以 查 查看 我 的 移动 我 的 移动 二 的 详单 查询 是 吧
您好 预处理 专席 代表 很 高兴 为您服务   哎 怎么 老是 再说 取消 啊 怎么   改帮 您 转到 后台 有 在 排队 那 现在 已经 转通 了 有 什么 可以 帮 您 的 吗   就是 我 这个 这个 手机 是 你们 那个 嘉定 平路 买 了 一个 华为 一次 然后 就 目前 的 时候 二百多 他 给 我 换 这个 多少 一年 不能 用 了 就 说 我 按 一个 幺 零零 八六 套餐 或者 还有 一个 一 再见 啊 就 大约 在 半个 小时 好 嘞 然后 再 他 可以 按   零   就 这 这 这 还 能 用 你 说
您好 很 高兴 为您服务   唉 你好 呃 我 想 问 一下 就是 怎么 把 手机 开通 一下 高清 高速 就是 手机 上面 有 一个   a 区 ap 功能 要 我们 这边 帮 您 打开 打开 之后 您 才能 使用 手机 上 的 高清 语音 通话 您 那个 是 您 是 要 打开 高清 视频 通话 这个 功能 吗   对 啊 因为 这边 在 又 在 这 房间 里面 信号 不好   嗯 嗯 那 您 这边 手机 密码 知道 吗 嗯 对 机主 名字 报 一下 就 可以 了   机主 姓名 早 包条
高兴 为您服务   喂   您好 请 讲   而且 交易 我 现在 这个 手机 我 想 我 这个 手机 说 下个月 下个月 给 我 说 终端 办理 啊   停机 保号 对 吧 你 包含 了 立刻 就 停掉 了 您 上 月 停 的话 就 当月 来电 办理 就 可以 了   在 哪里 啊
您好 很 高兴 服务   呃 您好 我 想 问 一下 就是说 我 我 有 一个 家庭 套餐 的 一个 呃 号码 然后 面 里面 有 一个 号码 是 幺 三 六 幺 幺 九 零七 零零 五   原来 是 我 外婆 的 然后 后来 外婆 去世 了 然后 后 后来 我妈 在 用 然后 现在 就是说 呃 被 停掉 了 吗 那么 有没有 什么 方法 可以 把 他 这个 号码 转到 我 妈妈 的 那个 实名制 验证 呢 因为 应该 走 的 应该 是 一个 过户 过户 的话 必须 要 带 好 上加 的 死亡 证明 下家 要 带 好 机主 身份证 原件 到 上海 移动 营业厅 过户 嗯 上加 的 是 吧 证明 然后 那 如果 如果 觉得 这个 麻烦 哎 麻烦 的话   我 如果 我 把 这个 号码 信息 的   呃 就是说   家庭 套餐 之外 不用 了 然后 我 再 让 他 重新 再办 一个 号码
您 服务 喂 你好 先生   我 就 现在 流量 用 完 了 我 想 充点 流量 怎么 充 啊   嗯 这边 有 一个 活动 流量 的 二十元 两个 g 可以 吧   二十元 多少 啊   两个 g   二十元 那个 什么 便宜 啊
您好 很 高兴 为您服务 喂 你好   请 说   啊 我 想 把 那个 我 的 副 号 也 解绑 了 怎么 写 啊   呃 就是 那个 不帮 他们 付钱 了 是 吧   对   好 的 我 可以 帮 您 解绑 掉 的 解绑 的话 下个月 开始 生效 要 帮 您 解决 掉 是 吧
您好 很 高兴 为您服务   唉 你好 小姐 但是 我要 开通 那个 国际 国际漫游 怎么 开通 啊   到 哪个 地方   呃 到 英国 意大利 法国 你 是 我   我 帮 您 开通 一下 密码 知道 吗   呃 噢
您好 很 高兴 为您服务   唉 你好 我 问 一下 我 这个 这个 话费 我 怎么 那个 套餐 一百二十八 的 感觉 最低 的 怎么 改   您 说 一百二十八 改成 多少 的 最低 的 最低 的 您 现在 改不了 现在 有 活动 呀 活动 还 没有 结束 这个 您 要 等 活动 结束 之后 才能 改 的 活动 到 一 八年 的 一月 一号 结束   八 零零   啊 对   哦 哦
您好 很 高兴 为您服务   唉 喂 你好 是 这样 的 呃 我 记得 我 之前 的 套餐 里面 应该 是 有 一个 就是 亲口 电话 就是 互相 打电话 是 免费 的 然后 如果 我 现在 要 更改 电话 的话 是 怎么 更改 的话   这个 号码 这个 号码 可以 改 您 可以 自己 网上 改 也 可以 发短信 的   都 可以 网上 的话 是 在 哪里 改呀   呃 在 群组 业务 里面 群组 业务 你 能 办 的 零   四五一 五
您好 高兴 为您服务   喂 唉 你好 我 刚刚 收到 一个 短信 说 什么 买 一次 充值 然后 有 一个 呃 流量 流量 的 什么 网 银包 一零二 四七 二一零 二四 送 的 这 就是 对 我 这个 号码   兑换 它 有 的 就是 送到 一 八年 六月份   啊 就是 我 那 我 我 要 怎么 开通 呢 要 要 要 什么 其他 的 需求 吗 我 这个   套餐 对 现在 套餐 已经 申请 好 了 就是 每个 月 套餐 保持 两个 g 或 以上 的 就 送 这个 的 一个 g 或 以上 的 重新 两个   噢 那 我
没有   您好 很 高兴 为您服务 唉 你好   你好 哎 我 想 问 一下 那个 网上 打 那个 发票 怎么 打   我 帮 您 打 吧 您 需要 几月份 的 啊 你 帮 我 打 怎么 打 不是 我 把 网上 打 不 需要 验证码 的 吗 我 把 验证码 发到 您 手机 上 你 凭 验证码 才能 打 的 或者 我 直接 发给您 幺 三九 邮箱 里面 您 登陆 邮箱 也 可以 打 了 我 我   我 我 就 想 没用 那个 我 我 要 打 我 要 打 那个 就是 上个月 的 就 行江辉   就是 四月份 的 对 不 对
很 高兴 为您服务 唉 你好 是 这样 我 想 问 一下 就是 我 现在 打 进来 这个 号码 我 然后 就是 准备 想 呃 停停 掉 就是 不用 的话 呃 你 这边 可以 办 吧   呃 停机 保号 我们 可以 的 就是 如果说 您 要 销户 的话 只能 去 营业厅 销户   呃 停机 保号 是 怎么 概念   就是 停机 号码 还是 保留 着 每月 从 下个月 开始 停满 一 整个 自然 月 会 扣除 五块 钱 的 停机 保号费   噢 我 明白 就 停机 保号 就是 一个月 五块 钱 就是 这个 意思 然后 到 营业厅 销掉 了 就 就 不用 不用   嗯
为您服务   帮 我 咨询 一下 小孩子 办 呃 手机卡 的话 是 需要 提供 什么 资料   嗯 它 是 没有 身份证 的 是 吧   啊 没有 身份证   那 这边 的话 只能 要 大人 去 办 了 但是 办个 号码 给 他 用 就 可以 了   办 了 一个 身份证 下面 不 超过 我们 我们 账单 已经 有 移动 的 那个 号 可以 冲 什么 超过 五个 不 超过 五个 号码 欠 多少 吗 ok 好
吧 您好 很 高兴 为您服务   你好 那个 就是 我 那个 手机 我 的 手机 有 一个 套餐 但是 到期 了 昨天 到期 因为 我 这边 在 外地 出差 就是 我 原来 续办 一下 怎么办   地址 什么 宽带 吗   呃 对 我 手机 有 一种 呃 送 宽带 的   宽带 我 帮 您 转到 宽带 部门 问 一下   噢 好 的
您好 很 高兴 为您服务   唉 你好 我 在 网上 营业厅 上面 想要 了 九十 月份 的 一个 通话 详单 之前 的话 他 这边 是 有 一个 要 不要 可以 导出 的 吗 现在 的话 我 不 知道 是 在 哪里 你 能 告诉 我   嗯 您 要 打 那个 通话 详单 是 吧 呃 通话 详单 的话 他 是 在 网上 营业厅 我 的 移动 然后 详单 查询 里面 有个 通话 详单   对 我 知道 但是 我 今 在 这个 界面 上 也 能 看 得到 但是 它 之前 是 可以 有个 一个 不要 表 直接 导出 的 应该 是 没有 的   现在 上面 没有 这个 选项 了 吗   嗯 没有 勒 界面 也 付 过来 跟 上个月 是 不 一样 的 我 不 知道 你们 是 怎么 打
对 您好 很 高兴 为您服务 零六 这个 手机 抱 清楚 在线 记录 地址 是 哪里 呢 没有 四 春节 经理 加 六百 二十四 套餐 哎 去 好 的 目前 显示 不 在线 状态 这边 现在 清楚 了 好 的 好 的   嗯 嗯 好好
您好 兴 为您服务   哎 我 想 问 一下 这个 语音信箱 怎么 关掉   呃 通过 手机 上 设置 您 手机 是 什么 牌子   苹果   我 这边 帮 您 转到 iphone 客服 我们 专席 人员 会 将 您 的 我 先 帮 您 转接 好 吗   噢 好
您好 很 高兴 为您服务   你好 所以 我 我 想 问 一下 我 那个 积分 怎么 流量   嗯 别的 话 流量 可以 的 有 那个 八百 四 十分 换 一 百兆 的 当月 使用   噢 你们 怎么 怎么 搞 呢 我 有 多少 积分 知道 吗   我 帮 您 查询 一下 请问 密码 知道 吗   知道
您好 请 讲 你好   你好   今天 就   现在 家庭装 宽带 怎么 装 呢   家里 装 宽带 是 吗 您 的 什么 地址 帮 您 看 一下 资源 情况   二 五一 四 啊 航 中路 航 中路
您好 很 高兴 为您服务   呃 你 你们 现在 这个 发票 怎么弄 啊 这个 电子 发票 我 现在 在 网上 查不到 怎么 我 想 让 你 官网 我 登录 完 了 以后   他 要 验证码 对 吧   什么 随机码   对 我 把 随机码 发到 您 手机 上 您 自己 看 就 能 打印 了 您 要 几月份 的   我要 从 二月份 到 现在 的 吧
您好 很 高兴 为您服务   办理 好 了 我 这边 有 一个 就是 送 的 一个 什么 宽带 然后 我 现在 不 需要 了 就是 他 今天 到期 了 嘛 然后 我 想 问 一下 怎么 退   那 您 直接 带 好 身份证 设备 去 虹口区 这边 的 移动 营业厅 办理 注销 就 好 了   虹口 要   的 虹口区 的 都 可以 办 的   对 一定 要 到 虹口区 的 大 嗯
您好 请 讲   哎 你好 我 想 问 一下 呃 呃 移动 的 这个 号码 天数 校 讯通 啊 需要 办理 什么 手续 啊   我们 这里 直接 帮 您 操作 取消 就 可以 了 您 要 现在 不要 了 是 吧   对 我 女儿 毕业 了   噢 好行 那 机主 姓名 您 报 给 我 一下   啊 什么 东西
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 宽带 要 移机 的话 要 怎么 办理 呀 关   是 家里 用 的 宽带 移机 吗 小姐   唉 对 的   是 哪个 手机号码 办 的 移动 宽带   就是 这个 手机
哦 您好 很 高兴 为您服务   唉 你好 我 手机 丢 了 手机 丢 了 这个 号 怎么 冻结 了 好 吧 停电   这个 号码 的话 先 挂失 了 手机号 多少   唉 等 一下 啊   对   嗯 就是
您好 很 高兴 为您服务   唉 你好   嗯   我想 改个 套餐   好 的 您 要 改 什么 套餐 呢   呃 现在 不是 五百 分钟 通话 嘛 然后 能 帮 我 改成 一千 吗
您好 很 高兴 为您服务 你 小姐 你好   我 想 咨询 一下 呃 现在 我 假如 我报 一个 手机卡 升级 为 四 g 卡 嗯 应该 可以 到 营业厅 去 办理 的 呀   对 带 好 身份证 原件 到 移动 营业厅 办   呃 到 就近 的 营业厅 那么 我 问 一下 呃 如果 我 本人 没空 我 委托 他人 去 办理 可不可以 啊   那要 把 您 的 身份证 原件 给 到 就 机主 的 身份证 原件 给 到 经办人 委托书 然后 经办人 身份证 原件 都 要 带 好 到 移动 厅 办理   啊 这个 代号 就
您好 很 高兴 服务   那 移动 伐   你好   哎 我 想 问 一下 我们 就是 公司 一下 想 申请 一个 电话号码 的话 如果 退   公司 要 办 一个 号码 是 吗 要 新办 号码 的话 带 好 营业执照 副本 原件 公司 开机 的 军   不 本身 原件 都 要 改 吗
您好 很 高兴 为您服务   唉 你好 那个 我 想 换 基础 套餐   关 基础 套餐   对 就是 我 现在 是 一百 哎 八十八 的   对 现在 八十八 的   对 然后 我 想 换 就是 那个 流量 比较 多 的 然后 通话 通话时间 可以 少
您好 很 高兴 服务   喂 你好 你好 我 想 问 我 这个 手机 想 开通 一下 国际 国际漫游 对 吗 对   服务 密码 知道 吗 帮 您 办   知道 的   好 麻烦 根据 语音 提示 输入 请稍等   嗯 五行 噢 对 看
您好 很 高兴 为您服务 你好 我 想 那个 宽带 我要 续签   可以 吗 好 的 嗯 好 请 您 稍 等 不要 挂机 为了 更好 的 为 您 解决问题 我 将 您 电话 转 至 专席 处理 由 专人 为 您 解答 请 您 稍 等 好 的
您好 很 高兴 服务 但 你好 我 想 把 那个 手机 开通 一下 港澳台 漫游   本 机号码 吗   对 对 对 对   好 密码 知道 吗 先生   知道 知道   根据 语音 提示 输入 请稍等
您好 很 高兴 服务 哎 你好 我 想 开通 一下 国际漫游   好 服务 密码 知道 吗 女士   恩 不 知道   不 知道 身份证 号码 姓名 报 一下   恩 五二 零 幺 零零 三 一九八 一一 零二一七四 二五 好 那 也 没 办法   好 国际漫游 即刻 生效 不 收 功能 费去 的 是 哪个 国家 呢 您 这边
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 你们 那个 幺 零零 八六 就是 移动 公司 装 那个 魔盒 怎么 装 呢   魔百盒 需要 装 五十 兆 或者 以上 的 宽带 才能 装 的   是 装 宽带 呀   说装 宽带 才能 装 的 呀 您 宽带 装 了 吗   没有 啊
您好 很 高兴 为您服务   呃 我 我 的 呃 我 的 我 的 我 的 流量 已经 用 完 了 都 不儿 没有 什么 前 几天 发给 我 说 积分 可以 换 流量 的 什么   嗯 对 的 呃 您 这个 号码 哎 积分换 流量 您 知道 自己 有 多少 积分 吗   六百六十 几分   噢 那 最少 要 八百 四 十分 才能 换 一 百兆 啊 您 这边 六百多分 换 不了 的   这 这 上面 写 的 六六 六百多分 可以 换 一百 到 五百 吗
对 嗯 嗯   恩   您好 很 高兴 为您服务 你好 我 想 一个 继续 付 一条 宽带 这个 这个 手机号码 申请 的 宽带 吗 可以 好 的 对   呃 是 说 宽带 吗   对   宽带 到期 时间 是 吗
您好 很 高兴 为您服务   唉 你好 先生 我 那个 之前 有 一个 移动 的 一个 宽带 啊 到 十一月份 应该 是 那个 到期 去 你们 这个 移动 送给 我 的 那个 有个 什么 续用 啊   噢 是 一个 承诺 消费 一百零八 送 宽带 话   对 对 对 就是 我 到 十一月份 时候 我要 把 它 取消 掉   查 一下 协议 是 到 十一月 一号 到期 吗 如果 你 不想 用 了 就是 十月底 你 机主 本人 就 十月份 七月 一号 到 十月 三十 号 这 段时间 机主 本人 带 好 身份证 原件 和 宽带 设备 去 浦东新区 任何 家 营业厅 办 注销 手续 就 可以   这个 要 带 身份证 到 网点 办理 的
