你好 请 讲 其他   先生 嗯 请 讲
很 高兴 为您服务   您 这 是 后 扣 的
再见 您好 很 高兴 服务   流量 对 吧 对 您 现在 流量 功能 暂停状态
您好 很 高兴 为您服务   到期 日期 的话 你 办 的 是 我们 上海 移动 的 企业 宽带 吗
您好 很 高兴 为您服务   您 套餐 套餐 的话 是 一个 十六块 钱 的 畅 听 卡 然后 一个 来电 提醒 打 市话 是 第一分钟 两毛 第二 免费 地方 开始 是 一毛钱 一分钟 肯定 还是 每分钟 一毛 本地 接听 免费 就 这个 套餐 然后 来电 提醒 是 帮 您 减免 掉 送给 您 的 那 就 就是 六块钱 一个月 这个 套餐 现在 没有 了 改 出去 改不 回来 的
请稍等 我 给 您 看 一下 那 感谢您 耐心 等待 您 这个 是 到 九月底 到期 的 还有 一个月 到 九月底 到期   唉 对 的
您好 很 高兴 为您服务   呃 现在 是 十八块 的 四 g 飞享 套餐 其他 的话 还有 个 三十块 流量 总共 是 四十八 块 一个月
您好 很 高兴 为您服务   一百块 钱
您好 很 高兴 为您服务   稍 等 本机 没有 开 通过 国际漫游 需要 帮 您 办理 一下 吗
很 高兴 为您服务   这个 套餐 的 家庭 畅 打包
您好 很 高兴 为您服务   你好 的
您好 很 高兴 为您服务   对 的 六十块 六个 g 可以 使用 了
很 高兴 为您服务   这个 套餐 的 家庭 畅 打包
为您服务   请 说
您好 很 高兴 为您服务   关闭 掉 了 女士
您好 很 高兴 服务   你 现在 属于 全球通 套餐 一百一十 八 一个月 对 全球通 呢
啊 去 您好   上网 功能 现在 关着 的
您好 很 高兴 为您服务   那 我 看 一下 自选 套餐 稍等一下 好像 您 改现 目前 的 套餐 是 自选 的 四十八 的 语音 包 两百 二十分钟 还有 流量 包 七十 元 两 g 的 的
您好   安心 包
您好 兴 为您服务   办理 这个
您好 很 高兴 服务   卡 号码 报 一下 谢谢 啊
您好 很 高兴 为您服务   有 啊 您 是 一个 八块钱 的 基础 套餐 然后 订 了 一个 叠加 一个 三十块 钱 五百 兆 的 流量 包 其他 都 没有
嗯 嗯 您好 很 高兴 为您服务   呃 您 现在 这个 卡 目前 是 那个 五十八 的 一个 四 g 飞享 套餐 呃 其他 有个 三块 钱 的 一个 养生 指南 应该 是 手机 报 的 业务 别的 就 没有 了
单位 订 的 套餐 是 哪个 手机号码 先 请问 一下   因为 您 现在 是 有 一种 协议 是 跟 单位 签署 的 你 需要 查 一下 这个 集团 活动 内容 的 协议 内容 对 吗
您好 很 高兴 为您服务 噢 你好 我 想 查询 一下   恩 您 目前 这个 套餐 是 十八块 的 四 g 飞享 套餐 还有 三块 钱 的 来电 提醒 总共 就是 二十 一块 其他 收费 服务 没有
您好 很 高兴 为您服务   你好 有 什么 可以 帮 您
很 高兴 为您服务   嗯 现在 目前 是 八十八 的 四 g 飞享 套餐 两百 二十分钟 通话 流量 七百 兆 八十 八块钱 另外 有 一个 五块 钱 的 随意 聊 每月 九月份
您好 很 高兴 为您服务   他 哪个 那个 显示 来电显示 啊 来电显示 没有 了 要 帮 您 去 开通 是 吧 我 看看
噢   刚才 的话 目前 是 八十八 的 每月 是 三百 分钟 通话 流量 五百 兆
宽带 什么 时候 到期 啊   唉 对 的
您好 很 高兴 为您服务   恩好 的 我 看 一下
话费 套餐 是 多少 吗 套餐 对 吧 套餐 您 是 八十八 块 一个月 有 额外 加 了 一个 五十块 一个 g 的 流量 包 还有 一个 是 腾讯 视频 vip 二十五 一个月 还有 一块钱 的 一个 生活 百科 短信 包 一块钱 一个月 行 使用   已经 去 了 没有 睡觉 还 在 呢
您好 很 高兴 为您服务   您 这个 手机 套餐 的话 现在 是 一个 四 g 自选 套餐 一百二十八 块钱 一个月 的 就是 三百 分钟 的 一个 全国 通话 超出 之后 一毛 九 一分钟 来算 全国 接听 免费 流量 是 两个 g 流量 然后 可以
您好 很 高兴 为您服务   嗯
套餐 就 一百三十八 套餐 呀 其他 收费 业务 没有 你 套餐 没有 换 过 还是 幺 三八   想换 套餐 呢
您好 很 高兴 为您服务   漫漫 游包 您 是 要 开通 国际漫游 还是 什么 国内 啊 就是 国内 国内 没有 漫游 包办 了 现在 就是 开 上海 接 就 四 毛钱 一分钟 打 就 六 毛钱 一分钟 除非 您 改 套餐 我们 现在 套餐 的话 最低 是 十八块 钱 的 飞享 就是 一 百兆 流量 国内 主叫 都 是 一毛 九 一分钟 全国 接听 免费 要 不 您 改 套餐 我 漫游 包都 已经 下线 了
您好 很 高兴 为您服务   恩对
您好 很 高兴 为您服务   对 的 六十块 六个 g 可以 使用 了
再见 您好 很 高兴 服务   流量 对 吧 对 您 现在 流量 功能 暂停状态
您好 很 高兴 为您服务   唉 你好
您好 兴 为您服务   您好 有 什么 可以 帮 您 的 吗
您好 很 高兴 服务   要 的话 就 五 十八块 一个月 套餐 还有 十块钱 的 流量 分享 包 另外 还有 二十元 任 我 翻 流量 包 还有 三块 钱 的 新闻 早晚 报 其他 收费 业务 没有
为您服务   请 说
您好 很 高兴 为您服务   关闭 掉 了 女士
啊 去 您好   上网 功能 现在 关着 的
您好 很 高兴 为您服务   那 我 看 一下 自选 套餐 稍等一下 好像 您 改现 目前 的 套餐 是 自选 的 四十八 的 语音 包 两百 二十分钟 还有 流量 包 七十 元 两 g 的 的
您好 很 高兴 为您服务   好 您 是 二十八 的 一 百兆 流量 五 十分 通话 超出 打电话 一毛 九 一分钟 全国 接听 免费 的
您好 很 高兴 为您服务   恩是 的
您好 很 高兴 为您服务   绑定 这个 没有 时间 的 呀 只要 您 主 号码 不 主动 退订 这个 绑定 的 这个 家庭
我 帮 您 看 之前 流量 吗 你 你 你 去 哪个 国家   去 哪个 国家 七天 流量
哦   您好 请 讲
您好 很 高兴 为您服务   可以 的 您 手机号码 报给 我
您好 很 高兴 服务   也 是 五十块 的 套餐 然后 有 额外 加 了 一个 七十块 两个 g 的 流量 包
您好 很 高兴 为您服务   噢 这个 暂时 不能 办 因为 它 只有 低 的 套餐 往上升 才能 参加 您 是 一百八十 八转 到 一百五十 八 所以 说 拨 不 上去
您好 很 高兴 为您服务   对 啊 五十 八块钱 一百 分钟 通话 五百 兆 流量 的
那么 下个月 您 改成 四 g 飞享 嗯 还是 五十八 的 四 g 飞享 套餐 就是 另外 又 加 了 二十元 的 还 加 了 二十元 一点 五个 g 的 流量 另外 还有 个 是 才 加 了 十元 一 百兆 流量 您 这 十元 一 百兆 可以 取消 掉   啊 帮 您 取消 请问 您 密码 知道 吗 六位数 的
高兴 为您服务   嗯 现在 目前 的话 是 四 g 飞享 套餐 一百三十八 的 五百 分钟 通话 一 g 流量 还有 一个 三块 钱 来电 提醒 还有 一个 十块钱 的 早晚 高峰 的 流量
为您服务   您好 国际漫游 没开 要 帮 您 开通 吗
很 高兴 为您服务 您好 你好   三十 八块钱 套餐 五十分钟 通话 三百 兆 流量 噢 送 了 一个 g 已经 没有 了 是 吧 您 是 说 送 那个 一个 g 的 上海 本地 流量 吗
您好 很 高兴 服务   我 想 谢谢 啊
您好 很 高兴 为 您   号码 先 报 一下
您好 很 高兴 为您服务 喂 嗯   满意 请 稍后 还 在 的
您好 很 高兴 为您服务   你好
那么 下个月 您 改成 四 g 飞享 嗯 还是 五十八 的 四 g 飞享 套餐 就是 另外 又 加 了 二十元 的 还 加 了 二十元 一点 五个 g 的 流量 另外 还有 个 是 才 加 了 十元 一 百兆 流量 您 这 十元 一 百兆 可以 取消 掉   啊 帮 您 取消 请问 您 密码 知道 吗 六位数 的
您好 很 高兴 为您服务   您 要 换 四 g 套餐 吗
您好 很 高兴 为您服务   嗯 嗯 对 有 的
您好 很 高兴 为您服务   您 这个 手机 的话 我 看到 是 一个五十 八块钱 的 四 g 飞享 套餐 然后 再 加上 了 一个 二十块 钱任 我 翻 流量 包 一点 五个 g 的
您好 很 高兴 为您服务   你好 什么 问题 需要 咨询 请谅解
您好 很 高兴 为您服务   套餐 您 是 之前 的话 是 九十八 的 您 现在 每个 月 是 一 g 流量 两百 二十分 通话 超出 打电话 是 一毛 九 一分钟 全国 接听 免费 的
您好 很 高兴 为您服务   流量 的话 每个 月 是 您 现在 是 这个 月 是 五 三百 兆 对 下个月 换 了 一百三十八 的 流量 拨打 的 是 五佰
您好 很 高兴 为您服务   吧
为您服务 你好 我 想 问 一下 这 张卡 是 什么样 的 一个   您 当前 这个 卡 的话 套餐 选 的 是 个 自选 套餐 然后 的话 二十八 元 的 套餐 里面 还有 一 百兆 流量 五十分钟 通话 超出 之后 打电话 全国 各地 一毛 九 一分钟 全国 各地 接听 都 是 免费 的
您好 很 高兴 为您服务   您 稍 等 我 看 一下 您 这 是 九块 钱 的 一个 套餐 稍 等
您好 很 高兴 为您服务   呃 下个月 开始 的话 一下 您 下个月 开始 扣费 还是 六十 八块钱 套餐 嗯 下个月 是 六十 八块钱 套餐 然后 六十八 元 套餐 是 五十分钟 通话 两个 g 流量 再 额外 赠送 两个 g 的 国内 通用 流量 还有 三个 g 的 咪 咕 视频 本地 流量 还有 一个 三块 钱 的 来电 提醒
很 高兴 为您服务   嗯
为您服务   就是 有 的 有 的 送到 明年 六月份
对 您好 很 高兴 服务   能
您好 很 高兴 为您服务   对
您好 很 高兴 为您服务   好
您好 请 讲   呃 签约 一百二十八 返还 六十四 块钱 的 活动 到 七月 底 到期 还有 一个月
您好 很 高兴 服务   嗯 嗯
您好 很 高兴 服务   行
您好 很 高兴 为您服务   噢
您好 很 高兴 为您服务   对 有 的 六十块 钱 六个 g 半年 流量 包
您好 很 高兴 为您服务   这边 的话 目前 是 八十八 的 四 g 飞享 套餐 两百 二十分钟 通话 流量 七百 兆 没有 还有 一个 彩铃 五块 钱 来电 提醒 三块 钱
您好 很 高兴 服务   套餐 您 目前 使用 的 是 五 十八块 一个月 套餐 除此之外 有 一个 七十块 两个 g 的 流量 包 还有 个 上网 办理 多少 恩
您好 很 高兴 服务   这个 再有 的
您好 很 高兴 为您服务   预
您好 很 高兴 为您服务   唉 好 的 我 身份证 我 看到 还是 有 的 您 可以 发送 幺 零 九 幺 到 幺 零零 八六 查询 一下 还是 有 的
您好 很 高兴 为您服务   国际漫游 吗
哦 请 说   对 是 的
您好 很 高兴 为您服务   噢 对
您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   哪个 号码 报 一下
您好 很 高兴 为您服务 吧   可以 那 您 稍 等 吗 为了 更好 解决问题 我 帮 您 电话 转 到 宽带 专席 会 有 专人 浦东新区 稍 等 不要 挂 您 稍 等
您好 很 高兴 为您服务   和 彩印 基础 包
嗯 嗯   六个 g 的 流量 用 的 比较 快 对 吧 那 我们 建议您 升级 一下 现在 的话 升级 上去 的话 呃 我 看 一下 啊 升级 上去 之后 是 一百块 是 五个 g 就是 就 套餐 资费 不变 它 是 有 五个 g 的 全国 流量 另外 再 送 您 五个 g 的 那个 全国 流量 总共 有 十个 g 本月 办理 下个月 生效
您好 很 高兴 为您服务   您 现在 这 手机 的话 就是 一个 四 g 飞享 套餐 五十 八块钱 一个月 然后 再 加上 一个 二十块 钱 一点 五个 g 的 流量
您好 很 高兴 服务 喂 你好 你好 请 讲 呃   看 得到 嗯 对 有 宽带 现在 什么 问题 先生
很 高兴 为您服务   是 别人 帮 他 办 的 但是 他 现在
您好 很 高兴 为您服务   国际漫游 开着 的 长期有效
呃 目前 您 套餐 就是 那个 呃 看到 是 办 的 四 g 自选 套餐   你 说 另外 有 绑定 什么 业务 我 看到 有个 三块 钱 来电 提醒 其他 的话 都 是 免费 赠送 的 因为 呃 现在 的话 因为 您 参加 了 一个 资费 签约 活动 还是 免费 为 您 开通 了 什么 和 彩印 啊 彩铃 啊 无线 音乐 俱乐部 会员 这些 业务 它会 在 十号 之前 呃江 费用 退还给 你 是 不 收费 的
喂 您好 高兴 为您服务   噢 就 帮 您 转到 宽带 部门 给 您 问 一下 是 我们 移动 的 宽带 吗
您好 很 高兴 为您服务   您 您 现在 这个 号码 是 五十块 的 包含 两 g 流量 的 套餐
您好 很 高兴 服务   嗯 还有 什么 问题
您好 很 高兴 服务 嗯   套餐 是 五十八 的 四 g 上网 套餐 再 加 一个 五十块 一个 g 的 流量 包
您好 请 讲   周
您好 很 高兴 为您服务   它 上面 显示 只能 收 不能 发 然后 原因 是 根据 广大 用户 不变 办法 垃圾 短信 问题 为了 避免 回来 以后 生效 了 我 公司 跟 密码 部门 要求 加大 了 对 垃圾 的 那种 目前 主要 是 通过 用户 举报 发现 处理 垃圾 短信 这 号码 显示 有 问题 帮 您 报上去 申请 的 广告 信息 我 这边 帮 您 恢复 可以 使用 了 还有 什么 帮 您 的 吗
您好 兴 为您服务   有 的
您好 很 高兴 服务 您好 很 高兴 服务 您好   在 不 在 您 群组 里面 是 吗
您好 高兴 为您服务   噢 您 可能 改错 了 它 是 要 在 那个 自选 套餐 里面 吗 之前 包改 到 一百八 的 然后 您 不是 改了 自选 包 您 要 另外 叠加 可选包
嗯 先 目前 套餐 的话 是 一个 四 g 上网 套餐 八十八 的 四百 二十分钟 通话 然后 一 g 流量   一百 十八 的 三个 g 五十分钟 通话
您好 很 高兴 为您服务   这边 是 呃 十块钱 的 一个 动感地带 的 套餐
所以 我 的 您好 很 高兴 为您服务   对 您 这边 是 一个 三十三 块钱 的 神州行 的 大众卡 其他 的 收费 都 没有 就 一个 神州行
您好 很 高兴 为您服务   二十 八块钱 套餐 其他 还有 一个 华为 支付 普通 会员 包 这个 要 取消 了
您好 很 高兴 为您服务   稍等一下 我 看 一下
您好 很 高兴 为您服务   留言 我 看 一下 流量 功能 并且 让 我们 这边 开通 但是 手机 上面 有些 手机 可以 自己 设置 的 这边 系统 里面 开
您好 很 高兴 为您服务   六十八 还是 二百 二十八 的 二百三十八 的 二百三十八
哎 您好 很 高兴 为您服务 请 讲   你 的 套餐 是 呃 六十八 有 什么 问题
很 高兴 为您服务   您好 有 什么 可以 帮 您
如果   您好 很 高兴 为您服务
对 您好 很 高兴 为您服务   呃 您 要 系统 还是 可以 的 现在 还有
高兴 服务   对 是 的
您好 很 高兴 为您服务   恩 您 这个 是 长市 通话 套餐 十八块 钱 的
很 高兴 为您服务   呃 你 说 绑定 在 一起 的 号码 我 看 一下 啊 有 的
您好 兴 为您服务   先生
您好 很 高兴 为您服务   请 讲
您好 请 讲   喂 你好
您好 很 高兴 为您服务   您 现在 套餐 您 现在 套餐 的话 是 一个 一百五十 八 的 噢 对 五百 分钟 通话 两个 g 的 流量
为您服务   您 现在 不想 订 套餐 是 呃 一个 g 的 然后 另外 加 了 一个 二十块 钱 两个 g 的
您好 很 高兴 为您服务   呃 六十元 六十元 六 g 是 吧 二十块 钱包
您好 很 高兴 为您服务   这个 月 月租 扣掉 了 呀
您好 高兴 服务   我 看 您 下个月 有 一个 二十块 钱 三百 兆 的 一个 流量 可选包
您好 很 高兴 为您服务   呃 您 这个 号码 您 说 您 这个 号码 去 外地 对 吗
啊 您好 有 什么 帮 您   再 就 一个 八十八 套餐 每月 两百 二十分钟 通话 流量 七百 兆 这个
好 很 高兴 为您服务   这个 卡 的 套餐 您 稍 等
零 可以 我 帮 您 关掉 您 密码 知道 吗   机主 名字 身份证 报 一下
您好 很 高兴 为您服务   呃 是 这个 来电 手机 吗 小姐
高兴 为您服务   请 说
您好 很 高兴 为您服务   您 是 个 二百三十八 套餐 加个 彩铃 呀 就是 一千 分钟 通话 两个 g 流量 吗
您好 请 讲   好 密码 知道 吗
您好 很 高兴 为您服务   嗯 对 的
为您服务   七月份 的 出来 了 呀 都 已经 八月 五号 楼 可以 的
您好 很 高兴 为您服务   来电 咨询 请稍等 呃 三块 钱 一个月 来电 看 一下 没有 唉 本机 没有 的
您好 很 高兴 为您服务   嗯 你 要 办 哪 挡 您 说
您好 很 高兴 为您服务   对 是 的
好 很 高兴 为您服务   嗯 您 原先 是 那个 八块钱 套餐 里面 只有 十兆 的 流量 下个月 改为 了 十八块 里面 有 一 百兆 流量
嗯 现在 您 是 五十八 元 四 g 飞享 套餐 其他 收费 噢 我 看到 了 有 个 呃 现在 是 免费 的 一个 六十元 那个 wlan 校园 无限量 的 流 那个 wlan 套餐 这 活动 是 到 嗯 我 看 一下 啊 您 参加 的 先生 活动 就是 周 六十元 是 几点 到 九月底 十月份 要 收费 所以 您 这 九月底 之前 取消 掉   恩对 的
喂 唉 你好 嗯 请 说   哎
很 高兴 为您服务   嗯 嗯 流量 资费 您 是 说 流量 您 这个 月 是 一 百兆 下个月 改 到 五百 兆 了
您好 很 高兴 为您服务   个 什么
您好 兴 为您服务   现在 目前 的话 是 八十八 的 四 g 飞享 套餐 两百 二十分钟 通话 七百 兆
您好 很 高兴 为您服务   对 的
您好 很 高兴 为您服务   嗯 您 是 在 和 教授 上面 的 功能 吗 因为 目前 我 这边 没有 看到 相关 的 一个 免费资源 的 先生
它 是 十八 的 有 一百 分钟 不 可能 的 呀 只有 五十分钟 您 可以 报下 他 号码   唉
您好 很 高兴 为您服务   本机 本机 是 一个 十块钱 的 四 g 随心 卡 打电话 两毛 五一 分钟 全国 接听 免费 的 如果 是 走 流量 的话 上海 每天 有 一块 兆 的 医药 一块钱 的 三百 兆 本地 流量 可以 走 当天 无限 叠加 如果 走 国内 流量 就 零点 二九 元 一兆 哦 请问 还有 什么 可以 帮 您 问好 以后 问题 没 办法 呀
为您服务   套餐 的话 是 一百八十 八 的 然后 下个月 没有 改过 了 改 了 我 看 一下 您 改 的 下 月 套餐 很多 哎 短信 包 二十 通话 包 一千 分钟 一百六十 八 还有 一个 流量 包 七十 的 彩信 包 十块 的 就 开 一个 流量 叠加 包 七十 的 不 可以 用 多少 对 可 选包 七十 兆 套餐 里面 已经 有 了 有 这样 的 一个
很 高兴 为您服务   恩 您 这边 有 一个 流量 叠加 包 五十块 钱 那边 取消 的 我 十分 一点 叠加 包 流量 也 帮 您 关掉 吧
您好 很 高兴 为您服务   呃 现在 用 的 套餐 的话 是 一个 四 g 自选 套餐 然后 呢 一百三十 块钱 加 二十八 就 一百五十 八元 总共 月租 然后 稍等一下 啊
很 高兴 为您服务   还有 哪个 号码 您 报 一下
您好 很 高兴 为您服务   啊 我 看 了 一下 业务 您 是 呃 目前 是 一个 十八元 飞享 套餐 除了 套餐 之外 没有 其他 收费 业务 一共 就是 月租 是 吧
对 您好 很 高兴 为您服务 您好   嗯 是 什么 不好意思 听 不 清楚 您好
您好 很 高兴 服务   套餐 就是 三 十八块 一个月 的 套餐 其它 收费 用 没用
您好 很 高兴 为您服务
您好 很 高兴 服务   套餐 您 现在 是 十八块 一个月 只有 一 百兆 流量
您好 高兴 服务   零 呃 哪个 手机号码 呀
办好 了 是 您 本 机号码 吗   嗯 我 还 没 看到 有 办理 记录 啊
为您服务   应该 是 开通 了
您好 很 高兴 为您服务   嗯 您 说 的 是 本 机号码 吗
您好 很 高兴 为您服务   手机 套餐 吗 对 手机 套餐 您 这用 的 是 一个 集团 比较 优惠 套餐 三十块 钱 的
您好 有 什么 可以 帮 您   刚才 每月 是 五十八 的 一个 四 g 飞享 套餐 要 有 一个 三块 钱 的 来电 提醒 每月 一共 是 六十 一块
您好 高兴 服务   您 现在 是 二十八 的 呀 流量 三百 兆 打电话 一毛 九 一分钟
没有 需要 打开 吗 噢 帮 我 打开 我 的 密码 知道 吗   好 麻烦 报 一下
高兴 为您服务   麻烦 您 是 一百元 三个 g 可以 打 的 另外 加 了 一个 叠加 包 五十块 七天
您好 很 高兴 服务   你好
您好 很 高兴 为您服务   就
恩 你好   您 这 手机 是 绑定 宽带 的 到 月底 到期 的
您好 很 高兴 为您服务   嗯 活动 的话 是 我 看 一下 到 一 八年 六月 底
您好 很 高兴 为您服务   你好
呃 这个 国际 电话 的 功能 并 没有 开通 所以 在 国内 打 国外 打 不通 的   可以 那帮 您 开通 一下 密码 先生
噢   嗯 嗯 你 现在 下个月 换 了 一个 是 八十八 套餐
您好 很 高兴 为您服务   套餐 您 这个 号码 不是 我们 上海 的 我 帮 您 转回 您 归属 地 查询 您 稍 等 不要 挂 您 稍 等 行好 谢谢 啊
您好 很 高兴 服务   然后
您好 很 高兴 为您服务   嗯 对 的
您好 很 高兴 为您服务   已经 取消 了 您 现在 只有 八十八 套餐 然后 一个 夜间 流量 没有 其他 收费 了
活动 对 吧 活动 这个 月 最后 一个月 到期 了   可以 你 要 换 什么 套餐 呢
您好 很 高兴 为您服务   嗯 到 这个 月底 不过 您 的 宽带 是 到期 自动 续约 的 您 后面 要续 的 吗
为您服务   套餐 改 改掉 是 吗 你 现在 套餐 是 上个月 一样 的 呀 一百三十八 的 套餐
您好 请 讲   你好
高兴 为您服务   九块 钱 的 一个 视频 套餐 三个 g 的 那个 流量 可以 用 了 在 优酷 视频 上面 的话 看 视频 还有 一块钱 五百 兆 上海 本地 流量 每天 每天 超出 一块钱 五百 兆 然后 的话 是 另外 算 两 毛九一兆
您好 兴 为您服务   套餐 目前 开 的 是 五十元 的 套餐 您 的 流量 有 两个 g
您好 很 高兴 为您服务   你好 我 想
彩信 啊 彩信 的话 就是 一个 基本功能 只要 您 手机 把 流量 打开 查询 参数设置 正确 可以 直接 发彩信 的   您 把 移动 流量 打开 状态 能 不能 的 流量 关掉 流量 是 打开 了 吗
您好 很 高兴 为您服务   噢 好 的
您好 很 高兴 为您服务 喂 你好 嗯 你好   您 是 八十八 的 飞享 套餐 两百 二十分钟 通话 七百 兆 流量 的 另外 您 叠加 了 一个 十块钱 一 百兆 的 流量 包
吧   先生
为您服务   请 说
服务   这笔 钱 的 套餐 呀 流量 都 是 您 现在 目前 流量 是 五百 兆 这个 套餐 五百 兆 的
您好 兴 为您服务 您好 很 高兴 为您服务   它 上面 显示 的 邮箱 是 幺 二六 邮箱
您好 很 高兴 为您服务   噢 对 有 一个 一 百兆 的 宽带 对
您好 很 高兴 为您服务   呃 您 是 到 哪个 国家 去 了
您好 很 高兴 为您服务   一 开始 国际漫游 香港 澳门 的话 都 可以 您 这个 月 的话 要 去 哪里
为您服务 好 的 平安   嗯 套餐 是 一个 自选 套餐 八十八 的 三百 分钟 通话 流量 五百 兆 对 还有 一个 三块 钱 来电 提醒
高兴 为您服务 您好 很 高兴 为您服务   你好
您好 很 高兴 为您服务   就 像 这个 来电 号码 那个 宽带 对 吧
没有 电话   叫 后市 方式 不变 呢
为您服务   啊 上网 办理 对 取消 了
您好 很 高兴 服务   好 那 您 这边 不要 挂机 啊 为了 更好 一些 问题 我 将 您 的 电话 转 专席 处理 请稍等 嗯 嗯 好
您好 很 高兴 服务   想 问 一下
您好 很 高兴 为您服务   那个 哪个 号码 的 办理 套餐
您好 很 高兴 为您服务   您 现在 全球通 的 五十八 的 一百 分钟 通话 五百 兆 流量 超出 打电话 一毛 九 一分钟 全国 接听 免费 的
您好 很 高兴 为您服务   目前 这个 套餐 是 一个六十 八块钱 套餐 然后 您 这边 还有 一个 东方 手机 电视 十块钱 央视 视频 包月 然后 手机 去年 办
您好 很 高兴 为您服务   十六块 钱 然后 您 下个月 有办 了 一个 三十块 钱 可 选包 总共 的话 就是 四十 六块钱
您好 兴 为您服务   我 想 看 一下 有没有 开通 国际漫游 好 嘛 那 手机号 多少
您好 很 高兴 为您服务   您 现在 是 五十八 元 的 四 g 飞享 套餐 其他 有个 两块钱 的 天气预报 呃 就 这 两个 六十块 一个月
您好 很 高兴 服务 喂   活动 到期 了 对 套餐 没有 限制 了 您 可以 换 套餐 了
您好 很 高兴 为您服务   嗯 对 五十八 的 那个 四 g 飞享 套餐 然后 另外 您 还有 个 二十五元 的 一个 腾讯 超级 会员 二十五块 钱 会员 什么 意思 腾讯 超级 会员 这个 不是 移动 的 业务 啊 还是 qq 的 业务 吧 嗯 嗯
您好 请 讲   这个 共享 流量 功能 要 退掉 是 吗
很 高兴 为您服务   嗯 我 看 一下 啊 一百零八 的 套餐
好 很 高兴 为您服务   嗯 您 是 一个 一百二十八 的 四 g 上网 套餐 这个 里面 呢 每个 月 是 包含 了 四百 二十分钟 国内 主叫 然后 一 g 的 流量 超出 打电话 一毛 九 一分钟 全国 接听 免费 就 这个
您好 高兴 服务   行 现在 这 手机 是 四 g 上网 套餐 一百二十八 块钱
为您服务   嗯 嗯
高兴 为您服务   两百 六十八 的 四 g 飞享 套餐
您好 请 讲   对 您 这边 来电 提醒 没有 取消 呀 来电 提醒 不 一样 在 的 就 六十八 月租 加 三块 来电 提醒 别的 没有
很 高兴 为您服务   呃 稍等一下 幺 五二 二 你 说 是 有没有 前面 那个 家庭 畅享 里面 是 吧
您好 很 高兴 为您服务   恩好 您 这边 稍 等 我 帮 您 看 一下 对 您 手机 的话 呢 当前 这边 是 一个 基本 的 套餐 是 一个 五十八 的 一个 飞享 套餐 那 除此之外 的话 呢 还有 一个 三块 钱 的 一个 幺 二 五八 零 生活 播报 以及 一个 十块钱 的 一个 掌上 故事会 您 是 要 取消 哪个 业务 呢
您好 很 高兴 为您服务   唉 您好 请问
您好 很 高兴 为您服务   流量 它 是 套餐 里 每月 送 七百 兆 的 套餐 以外 没有 叠加 流量 不要 现在 目前 都 还有 啊
您好 很 高兴 服务   好 稍 等 帮 您 核实 一下 好本 机号码 没有 开 需要 帮 您 打开 吗
您好 很 高兴 为您服务   您 本 机号码 不是 上海 的 我们 看不到 的 我 帮 您 转回 当地 幺 零零 八六请 您 稍 等 不要 挂机 如果 转接 失败 请 重新 拨 零 二九 幺 零零 八六 请稍等
您好 很 高兴 服务   刚
您好 很 高兴 为您服务   稍等一下 我 查询 一下 您 活动 的话 到 一 七年 十二月 一号 结束
您好 很 高兴 为您服务   噢 那 这个 我们 这边 看不到 的 这个 什么 端口号
您好 很 高兴 为您服务   套餐 没有 到期 只不过 您 之前 参加 了 一个 买手机 送 话费 的 活动 到期 了 如果 您 要 延续下去 的话 您 要 带 好 设备 去 营业厅 买手机 的
您好 很 高兴 为您服务   你 说 扣 二十四块 稍 等 我查 一下 再见 对 啊 六月 二十 号 是 月租 呀 您 套餐 是 三十八 的 但是 您 开卡 您 才 开 的 卡 对 吧 昨天 开 的 卡 所以 只扣 您 二十 几块钱 啊 噢 月租 是 一次性 的 月租 是 一次性 扣除 的 没错
您好 很 高兴 为您服务   好 我 看 一下 啊 哦 对 我 看到 确实 有个 什么 泡泡 冰 会员 包是 在 上个月 六月份 卡 金额 就是 每个 月 十块钱 的 这边 也 帮 您 退掉 噢
您好 高兴 为您服务   套餐 八十八 的 每月 两百 二十分钟 通话 流量 七百 兆 还有 一个 三块 钱 来电 提醒 业务 其他 收费 没有
您好 很 高兴 为您服务   g 网 您 说 是 公司 的 短号 还是
有 了   诶 我 这边 看 了 一下 你
您好 请 讲   您 是 一个 八块钱 的 飞享 套餐 还有 一个 二十块 钱 的 流量 包 女士 二 二 二十 八块钱 是 吧 对 的
您好 很 高兴 为您服务   就是 那个 关机 占线 不 在 服务区 会 收到 短信 那个
很 高兴 为您服务   您好 请 说
您好 很 高兴 为您服务   您 套餐 现在 改 的 是 一百一十 八 的 现在 开始 您 有 三个 g 的 流量 五十分钟 通话 的 超出 打电话 一毛 九 一分钟 噢 好 的
您好 很 高兴 服务   那 套餐 只有 一个 一百五十 八 套餐 除此之外 有 一个 互打 免费 的 群组 然后 的话 其他 收费 业务 下个月 是 没有 的
您好 很 高兴 为您服务   您 现在 就是 一个 亲情 十六 的 套餐 再 加上 一百块 钱 三个 g 的 流量 包
您好 很 高兴 为您服务   嗯 那个 集团 业务 是 吧
您好 很 高兴 服务   套餐 对 吧
为您服务   对 是 的
您好 很 高兴 为您服务   帮 我查 一下 五佰兆 啊 对 下个月 生效 的
您好 很 高兴 为您服务   现在 不是 不是
您好 很 高兴 为您服务   嗯 有 是 的
您好 很 高兴 为您服务   邮箱 您 现在 是 一百三十八 五百 分钟 一 g 流量 啊
