你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好很高兴为您服务 这边的话目前是八十八的四g飞享套餐两百二十分钟通话流量七百兆没有还有一个彩铃五块钱来电提醒三块钱 来电显示是有的来电提醒要收钱呢 
您好很高兴服务 套餐您目前使用的是五十八块一个月套餐除此之外有一个七十块两个g的流量包还有个上网办理多少恩 上网办理功能是块一个月的吗就是一张数据副卡放在主卡当中通过td网络无线上网的一个功能 
您好很高兴服务 这个再有的 可以的唉你帮我取消掉他说密码知道吗先生 
您好很高兴为您服务 预 一点不给力 
您好很高兴为您服务 唉好的我身份证我看到还是有的您可以发送幺零九幺到幺零零八六查询一下还是有的 噢那您这边可能没有但是我们这边看到肯定是有的然后您也可以发送幺零九幺到幺零零八六查询 
您好很高兴为您服务 国际漫游吗 我这边有开通了三十天 
哦请说 对是的 通话的流量多五十分钟通话流量是两个g您要办理吗 
您好很高兴为您服务 噢对 嗯是什么问题停掉 
您好很高兴为您服务 你好 可以的您说吧 
您好很高兴为您服务 哪个号码报一下 恩 
您好很高兴为您服务吧 可以那您稍等吗为了更好解决问题我帮您电话转到宽带专席会有专人浦东新区稍等不要挂您稍等 
您好很高兴为您服务 和彩印基础包 噢就是那个活动送的您现在不欠一个手机嘉年华活动这活动给到的如果您不需要的话我可以帮您取消它赠送您六个月了需要取消吗还有彩铃也赠送的 
嗯嗯 六个g的流量用的比较快对吧那我们建议您升级一下现在的话升级上去的话呃我看一下啊升级上去之后是一百块是五个g就是就套餐资费不变它是有五个g的全国流量另外再送您五个g的那个全国流量总共有十个g本月办理下个月生效 好的请问您那个本机的机主名字报一下吗机主姓名叫什么 
您好很高兴为您服务 您现在这手机的话就是一个四g飞享套餐五十八块钱一个月然后再加上一个二十块钱一点五个g的流量 您套餐内的五佰兆再加上二十元一点五个g加起来是两个g 
您好很高兴服务喂你好你好请讲呃 看得到嗯对有宽带现在什么问题先生 
很高兴为您服务 是别人帮他办的但是他现在 就是他现在需要退宽带还是什么意思啊 
您好很高兴为您服务 国际漫游开着的长期有效 啊现在是长期有效了对您先开长期有效的只要您不取消就可以使用了 
呃目前您套餐就是那个呃看到是办的四g自选套餐 你说另外有绑定什么业务我看到有个三块钱来电提醒其他的话都是免费赠送的因为呃现在的话因为您参加了一个资费签约活动还是免费为您开通了什么和彩印啊彩铃啊无线音乐俱乐部会员这些业务它会在十号之前呃江费用退还给你是不收费的 恩对的 
喂您好高兴为您服务 噢就帮您转到宽带部门给您问一下是我们移动的宽带吗 好请不要挂机让他解决问题我将电话转专席处理请稍等 
您好很高兴为您服务 您您现在这个号码是五十块的包含两g流量的套餐 月租是十八块包含一百兆流量 
您好很高兴服务 嗯还有什么问题 
您好很高兴服务嗯 套餐是五十八的四g上网套餐再加一个五十块一个g的流量包 对 
您好请讲 周 套餐是五十八块一个月收一百分钟通话五百兆流量的一个基础套餐 
您好很高兴为您服务 它上面显示只能收不能发然后原因是根据广大用户不变办法垃圾短信问题为了避免回来以后生效了我公司跟密码部门要求加大了对垃圾的那种目前主要是通过用户举报发现处理垃圾短信这号码显示有问题帮您报上去申请的广告信息我这边帮您恢复可以使用了还有什么帮您的吗 就是每月消费金额对吧那金额的话可以通过官网查的或者发幺零四到幺零零八六查询 
您好兴为您服务 有的 对它自动按照十元一百兆给您计算流量呢 
您好很高兴服务您好很高兴服务您好 在不在您群组里面是吗 流量分享里面对吗 
您好高兴为您服务 噢您可能改错了它是要在那个自选套餐里面吗之前包改到一百八的然后您不是改了自选包您要另外叠加可选包 行可以叠加一下我 
嗯先目前套餐的话是一个四g上网套餐八十八的四百二十分钟通话然后一g流量 一百十八的三个g五十分钟通话 唉 
您好很高兴为您服务 这边是呃十块钱的一个动感地带的套餐 还有一个三十元五百兆的流量包还有一个十块钱十块钱的一个长途优惠包 
所以我的您好很高兴为您服务 对您这边是一个三十三块钱的神州行的大众卡其他的收费都没有就一个神州行 没有流量 
您好很高兴为您服务 二十八块钱套餐其他还有一个华为支付普通会员包这个要取消了 这个要取消吗噢您好这边听不到您说什么麻烦您走动两步好吧您的信号不好 
您好很高兴为您服务 稍等一下我看一下 国际漫游没有开需要帮您开一下吧 
您好很高兴为您服务 留言我看一下流量功能并且让我们这边开通但是手机上面有些手机可以自己设置的这边系统里面开 没有是的 
您好很高兴为您服务 六十八还是二百二十八的二百三十八的二百三十八 嗯可以啊请问您要改多少流量多少通话呢 
哎您好很高兴为您服务请讲 你的套餐是呃六十八有什么问题 十八的话它就有一百兆的流量没有通话时间送 
很高兴为您服务 您好有什么可以帮您 国际漫游看一下国际漫游开了长期有效的看了 
如果 您好很高兴为您服务 对啊它是不收钱的这个业务 
对您好很高兴为您服务 呃您要系统还是可以的现在还有 收五块钱的费用不用呀您这个畅打包是家庭送宽带里面赠送的业务还是可以继续使用旧内容规则跟之前都一样 
高兴服务 对是的 要到一七年九月底还有两个月九月底就是说八月一个月就一个月是吧这边 
您好很高兴为您服务 恩您这个是长市通话套餐十八块钱的 帮助稍等一下我给您查询一下 
很高兴为您服务 呃你说绑定在一起的号码我看一下啊有的 月租费不能取消呀您可以换月租但是不能取消月租费然后那个家庭绑定互打免费的那个可以帮您这个业务退掉 
您好兴为您服务 先生 您现在目前两g套餐流量加一个三百分钟通话时间的一百二十八块 
您好很高兴为您服务 请讲 嗯 
您好请讲 喂你好 对套餐一百五十八的 
您好很高兴为您服务 您现在套餐您现在套餐的话是一个一百五十八的噢对五百分钟通话两个g的流量 这里面是五百分钟通话两g流量啊 
为您服务 您现在不想订套餐是呃一个g的然后另外加了一个二十块钱两个g的 能够消费了最低消费的话它有有一个宽带活动最低消费的我看一下活动是多少稍等一下 
您好很高兴为您服务 呃六十元六十元六g是吧二十块钱包 浙江视频优酷的啊对二十四元到月底自动取消 
您好很高兴为您服务 这个月月租扣掉了呀 一号二号扣月租呀女士就现在已经八月份了 
您好高兴服务 我看您下个月有一个二十块钱三百兆的一个流量可选包 呃您这边的话就是一个看一下您现在是套餐里面是月租费套餐订购了一个四g流量卡五十块钱一个月套餐 
您好很高兴为您服务 呃您这个号码您说您这个号码去外地对吗 那您这个不用您套餐的话呢是一个全球通套餐的全国各地打电话都是一毛九一分钟接听都是免费的没有漫游费的 
啊您好有什么帮您 再就一个八十八套餐每月两百二十分钟通话流量七百兆这个 幺五零 
好很高兴为您服务 这个卡的套餐您稍等 哪个号码 
零可以我帮您关掉您密码知道吗 机主名字身份证报一下 嗯身份证号码报一下 
您好很高兴为您服务 呃是这个来电手机吗小姐 我看一下集团短号开通是这样的如果你公司帮你上报上去您手机会收到一条短信说你公司邀请您加入回复的您有没有收到过这个短信 
高兴为您服务 请说 按键不变幺幺八六幺二八就是每个月流量增加了之前的两个g七十块钱现在变成了七十块钱三g了再加送三g的国内流量送到明年六月份 
您好很高兴为您服务 您是个二百三十八套餐加个彩铃呀就是一千分钟通话两个g流量吗 合适的套餐您这号码适合您的呀我觉得您是流量不够吗那您改成二六八三个g再送三个g的本地流量 
您好请讲 好密码知道吗 跟您提示输入请稍等好机主姓名麻烦您报一下 
您好很高兴为您服务 嗯对的 那您只能通过其他号码办理因为一个号码只能办一个宽带的 
为您服务 七月份的出来了呀都已经八月五号楼可以的 你说电子发票吗 
您好很高兴为您服务 来电咨询请稍等呃三块钱一个月来电看一下没有唉本机没有的 好的请问本机密码知道吗六位数的 
您好很高兴为您服务 嗯你要办哪挡您说 对一百五十八签约的话是一年每个月送二十三 
您好很高兴为您服务 对是的 恩对是的有十八个月的 
好很高兴为您服务 嗯您原先是那个八块钱套餐里面只有十兆的流量下个月改为了十八块里面有一百兆流量 是的 
嗯现在您是五十八元四g飞享套餐其他收费噢我看到了有个呃现在是免费的一个六十元那个wlan校园无限量的流那个wlan套餐这活动是到嗯我看一下啊您参加的先生活动就是周六十元是几点到九月底十月份要收费所以您这九月底之前取消掉 恩对的 嗯这个我们这边查不到因为只能看到您这这两项业务其他都没有的就一个就是这个五十八套餐一个就是减免的六十块的向阳咱们元包月套餐其他都没有的 
喂唉你好嗯请说 哎 服务我帮您取消一下密码知道吗嗯 
很高兴为您服务 嗯嗯流量资费您是说流量您这个月是一百兆下个月改到五百兆了 三十 
您好很高兴为您服务 个什么 呃您现在是那个也是六十八块的是一百分钟通话和那个七百兆流量请问您现在是流量比较少一点的 
您好兴为您服务 现在目前的话是八十八的四g飞享套餐两百二十分钟通话七百兆 更改的话它有个活动签约的活动期内只能改八十八以上的飞享套餐不能降低这个活动的话是绑定到明年三月底到期的人家三月份以后就可以改了 
您好很高兴为您服务 对的 三十天的在正常使用状态 
您好很高兴为您服务 嗯您是在和教授上面的功能吗因为目前我这边没有看到相关的一个免费资源的先生 哎您当前这边就是一个五十块钱流量卡套餐套餐里面还有五个g的两个g的流量打电话的话呢两毛钱一分钟全国接听免费其他就没有了 
它是十八的有一百分钟不可能的呀只有五十分钟您可以报下他号码 唉 哎 
您好很高兴为您服务 本机本机是一个十块钱的四g随心卡打电话两毛五一分钟全国接听免费的如果是走流量的话上海每天有一块兆的医药一块钱的三百兆本地流量可以走当天无限叠加如果走国内流量就零点二九元一兆哦请问还有什么可以帮您问好以后问题没办法呀 这里面什么 
为您服务 套餐的话是一百八十八的然后下个月没有改过了改了我看一下您改的下月套餐很多哎短信包二十通话包一千分钟一百六十八还有一个流量包七十的彩信包十块的就开一个流量叠加包七十的不可以用多少对可选包七十兆套餐里面已经有了有这样的一个 肯定哪个不要了给您关掉 
很高兴为您服务 恩您这边有一个流量叠加包五十块钱那边取消的我十分一点叠加包流量也帮您关掉吧 帮您关一下密码知道吗 
您好很高兴为您服务 呃现在用的套餐的话是一个四g自选套餐然后呢一百三十块钱加二十八就一百五十八元总共月租然后稍等一下啊 里面的话呢是您好好稍等一下对嗯流量的话是有四个g流量然后呢分钟数的话是有一百分钟数 
很高兴为您服务 还有哪个号码您报一下 幺三七 
您好很高兴为您服务 啊我看了一下业务您是呃目前是一个十八元飞享套餐除了套餐之外没有其他收费业务一共就是月租是吧 发短信会收费但是您为什么会发是另外电视的那您手机什么牌子的知道吗 
对您好很高兴为您服务您好 嗯是什么不好意思听不清楚您好 唉唉现在可以短信重复一下 
您好很高兴服务 套餐就是三十八块一个月的套餐其它收费用没用 三十八里面送五十分钟国内主叫超出一毛九一分钟流量三百兆送呢全国接听免费的一个套餐 
您好很高兴为您服务 
您好很高兴服务 套餐您现在是十八块一个月只有一百兆流量 也是一百兆流量全国接听免费打国内电话一毛九一分钟 
您好高兴服务 零呃哪个手机号码呀 幺三四 
办好了是您本机号码吗 嗯我还没看到有办理记录啊 我 
为您服务 应该是开通了 封顶 
您好很高兴为您服务 嗯您说的是本机号码吗 本机不是上海的啊我帮您转回当地幺零零八六咨询如果转接失败一次重新拨打零五五八幺零零八六 
您好很高兴为您服务 手机套餐吗对手机套餐您这用的是一个集团比较优惠套餐三十块钱的 嗯对的 
您好有什么可以帮您 刚才每月是五十八的一个四g飞享套餐要有一个三块钱的来电提醒每月一共是六十一块 五十八的一百分钟通话流量五百兆然后还有一个三块钱来电提醒就每个月扣六十一套餐以外的账通话流量超出的另外算的啦 
您好高兴服务 您现在是二十八的呀流量三百兆打电话一毛九一分钟 那您要改个最低的十八块的月租呀我给您发过去不是不限不是不是不是 
没有需要打开吗噢帮我打开我的密码知道吗 好麻烦报一下 好国际漫游即刻生效不收功能费去的是哪个国家呢 
高兴为您服务 麻烦您是一百元三个g可以打的另外加了一个叠加包五十块七天 嗯你在上海在外地 
您好很高兴服务 你好 换一个套餐 
您好很高兴为您服务 就 嗯嗯 
恩你好 您这手机是绑定宽带的到月底到期的 我说您来电的号码不是有办宽带吗 
您好很高兴为您服务 嗯活动的话是我看一下到一八年六月底 根 
您好很高兴为您服务 你好 您您套餐月都是五十八块的四g飞享套餐 
呃这个国际电话的功能并没有开通所以在国内打国外打不通的 可以那帮您开通一下密码先生 对 
噢 嗯嗯你现在下个月换了一个是八十八套餐 八十八你加改八十八这个流量没变还是三十的通话五十八一共是八十八块钱三百分钟五百兆的先 
您好很高兴为您服务 套餐您这个号码不是我们上海的我帮您转回您归属地查询您稍等不要挂您稍等行好谢谢啊 
您好很高兴服务 然后 可以增加 
您好很高兴为您服务 嗯对的 一g是吧这个要去营业厅的您带好身份证是家里这边营业厅办的您现在地方也是东方有线资源对吧 
您好很高兴为您服务 已经取消了您现在只有八十八套餐然后一个夜间流量没有其他收费了 不是我们移动电话它说是你们移动公司的不是什么问题 
活动对吧活动这个月最后一个月到期了 可以你要换什么套餐呢 可以服务密码知道吗五十八只有一百分钟通话五百兆流量呢够用吗 
您好很高兴为您服务 嗯到这个月底不过您的宽带是到期自动续约的您后面要续的吗 现在他又两年八百八的或者月消费一百零八送宽带二十兆的 
为您服务 套餐改改掉是吗你现在套餐是上个月一样的呀一百三十八的套餐 之前你之前那个手机上面有活动呢还是免费送了一个g的流量的送到六月底到期了 
您好请讲 你好 套餐对吧您现在套餐是十八块元再加一个三十块的流量包等于说四十八块了 
高兴为您服务 九块钱的一个视频套餐三个g的那个流量可以用了在优酷视频上面的话看视频还有一块钱五百兆上海本地流量每天每天超出一块钱五百兆然后的话是另外算两毛九一兆 就是说那你当天的话一块钱的话那个五百兆流量用完了那么再产生了五块钱的那个额外的流量费用是这个也不可能 
您好兴为您服务 套餐目前开的是五十元的套餐您的流量有两个g 额您是在哪边看到的呀 
您好很高兴为您服务 你好我想 来电号办的这个是吧 
彩信啊彩信的话就是一个基本功能只要您手机把流量打开查询参数设置正确可以直接发彩信的 您把移动流量打开状态能不能的流量关掉流量是打开了吗 不可以要把流量打开wifi关掉 
您好很高兴为您服务 噢好的 噢 
您好很高兴为您服务喂你好嗯你好 您是八十八的飞享套餐两百二十分钟通话七百兆流量的另外您叠加了一个十块钱一百兆的流量包 没有啊您这个长期的不需要的话我现在就帮您取消掉好吧 
吧 先生 您用的话是一个三十八的网聊套餐那个流量版套餐里面有一个五百兆流量打电话一分钟是一毛九的就这样 
为您服务 请说 业务就一个八八套餐三百分钟通话流量五百兆其他收费的没有就八十八块钱一个月 
服务 这笔钱的套餐呀流量都是您现在目前流量是五百兆这个套餐五百兆的 就是说您要超出的话就是按标准算超出的话两毛九一兆来算的 
您好兴为您服务您好很高兴为您服务 它上面显示的邮箱是幺二六邮箱 前面是那个您名字的一个全拼这个月份全拼后面大不了对吧然后艾特幺二六点com是吗 
您好很高兴为您服务 噢对有一个一百兆的宽带对 宽带我查了一下协议一是可以的但是你要确保一个地址上海地区有有这个移动光纤宽带资源覆盖有的话就能移过去 
您好很高兴为您服务 呃您是到哪个国家去了 国际漫游的话有长期有效的一百八十天后三十天有效的 
您好很高兴为您服务 一开始国际漫游香港澳门的话都可以您这个月的话要去哪里 泰国也可以 
为您服务好的平安 嗯套餐是一个自选套餐八十八的三百分钟通话流量五百兆对还有一个三块钱来电提醒 呃八十八加一个三块钱提醒一共是九十一 
高兴为您服务您好很高兴为您服务 你好 噢深一点小您要反映什么问题呢办什么业务吗 
您好很高兴为您服务 就像这个来电号码那个宽带对吧 到期时间是今年年底十二月底 
没有电话 叫后市方式不变呢 恩不客气还有什么帮您呢 
为您服务 啊上网办理对取消了 那边显示她减免了三现在不收的对这个不收 
您好很高兴服务 好那您这边不要挂机啊为了更好一些问题我将您的电话转专席处理请稍等嗯嗯好 
您好很高兴服务 想问一下 您这手机号码是吧 
您好很高兴为您服务 那个哪个号码的办理套餐 这个副号码查他什么套餐什么对对对对嗯这号码的密码您知道吗六位数的密码 
您好很高兴为您服务 您现在全球通的五十八的一百分钟通话五百兆流量超出打电话一毛九一分钟全国接听免费的 好吗来电提醒来电提醒三块钱一个月您已经取消掉了呀 
您好很高兴为您服务 目前这个套餐是一个六十八块钱套餐然后您这边还有一个东方手机电视十块钱央视视频包月然后手机去年办 就是手机手机视频两个去掉然后手机的那个包也要取消是吧如果好的密码知道吗女士 
您好很高兴为您服务 十六块钱然后您下个月有办了一个三十块钱可选包总共的话就是四十六块钱 噢没有六百兆要不就是七十呃四十块钱七百兆 
您好兴为您服务 我想看一下有没有开通国际漫游好嘛那手机号多少 恩这个密码知道吗 
您好很高兴为您服务 您现在是五十八元的四g飞享套餐其他有个两块钱的天气预报呃就这两个六十块一个月 呃流量安心包就是到您流量用超之后嗯十块钱一百兆二十块两百兆这样子算的 
您好很高兴服务喂 活动到期了对套餐没有限制了您可以换套餐了 您的需求是什么需要多少通话时间或者多少流量 
您好很高兴为您服务 嗯对五十八的那个四g飞享套餐然后另外您还有个二十五元的一个腾讯超级会员二十五块钱会员什么意思腾讯超级会员这个不是移动的业务啊还是qq的业务吧嗯嗯 我看一下嗯今年的二月十七号订购订上去的 
您好请讲 这个共享流量功能要退掉是吗 这边看了一下您下个月已经把这个号码取消掉了等于说下个月您没有去没有号码了 
很高兴为您服务 嗯我看一下啊一百零八的套餐 对两g流量通用的是 
好很高兴为您服务 嗯您是一个一百二十八的四g上网套餐这个里面呢每个月是包含了四百二十分钟国内主叫然后一g的流量超出打电话一毛九一分钟全国接听免费就这个 超出之后打电话一毛九一分钟 
您好高兴服务 行现在这手机是四g上网套餐一百二十八块钱 对 
为您服务 嗯嗯 嗯可以啊如果这个群组这个随心聊业务没有了取消不能恢复的要取消的话需要通过短信代码来不取消代码我现在发给您在月末最后一天晚上的九点以前办理嗯感谢您要回复的当月取消下月生效 
高兴为您服务 两百六十八的四g飞享套餐 对这个月也有的下月开始您可以换套餐的如果不换的话还是会这个套餐话费不再返还 
您好请讲 对您这边来电提醒没有取消呀来电提醒不一样在的就六十八月租加三块来电提醒别的没有 它是五块钱五块钱一个月 
很高兴为您服务 呃稍等一下幺五二二你说是有没有前面那个家庭畅享里面是吧 幺五二后面呢 
您好很高兴为您服务 恩好您这边稍等我帮您看一下对您手机的话呢当前这边是一个基本的套餐是一个五十八的一个飞享套餐那除此之外的话呢还有一个三块钱的一个幺二五八零生活播报以及一个十块钱的一个掌上故事会您是要取消哪个业务呢 请不要挂机请根据语音提示输密码 
您好很高兴为您服务 唉您好请问 您是四g流量卡五十块钱一个月的这里面包含了两g的流量打电话是打一个算一个两毛钱一分钟然后全国接听免费的 
您好很高兴为您服务 流量它是套餐里每月送七百兆的套餐以外没有叠加流量不要现在目前都还有啊 是怎么弄的一共就每月就每月八十八元七百兆流量两百二十分钟通话时间接听是免费的 
您好很高兴服务 好稍等帮您核实一下好本机号码没有开需要帮您打开吗 好服务密码知道吗 
您好很高兴为您服务 您本机号码不是上海的我们看不到的我帮您转回当地幺零零八六请您稍等不要挂机如果转接失败请重新拨零二九幺零零八六请稍等 
您好很高兴服务 刚 嗯嗯套餐里面只有五十分钟通话呢 
您好很高兴为您服务 稍等一下我查询一下您活动的话到一七年十二月一号结束 没有您的活动是到十二月一号今年十二月一号 
您好很高兴为您服务 噢那这个我们这边看不到的这个什么端口号 呃恢复啊您这边那个号码有的是吧 
您好很高兴为您服务 套餐没有到期只不过您之前参加了一个买手机送话费的活动到期了如果您要延续下去的话您要带好设备去营业厅买手机的 嗯嗯 
您好很高兴为您服务 你说扣二十四块稍等我查一下再见对啊六月二十号是月租呀您套餐是三十八的但是您开卡您才开的卡对吧昨天开的卡所以只扣您二十几块钱啊噢月租是一次性的月租是一次性扣除的没错 前三天免费三g本地流量可以使用的还有什么可以帮您没有其他费用啊好那祝您生活愉快再见 
您好很高兴为您服务 好我看一下啊哦对我看到确实有个什么泡泡冰会员包是在上个月六月份卡金额就是每个月十块钱的这边也帮您退掉噢 取消掉好的请问您本机密码知道吗六位数的 
您好高兴为您服务 套餐八十八的每月两百二十分钟通话流量七百兆还有一个三块钱来电提醒业务其他收费没有 边的话可以加流量包有一个十块钱一点三g的 
您好很高兴为您服务 g网您说是公司的短号还是 一毛就是一个短号服务如果您要查一下那个你下个月就是套餐做了一下变更就这个手机 
有了 诶我这边看了一下你 已经退订吗对退订吗嗯 
您好请讲 您是一个八块钱的飞享套餐还有一个二十块钱的流量包女士二二二十八块钱是吧对的 可以的呀五十八块钱套餐里面是五百兆流量一百分钟通话的可以的 
您好很高兴为您服务 就是那个关机占线不在服务区会收到短信那个 这个月我看一下这个号码没开要帮您开通一下嘛一个月三块钱 
很高兴为您服务 您好请说 彩铃对吧彩铃的话不是这边问的看不到的打那个幺二五三零问一下幺二五三零那边去问的都是话费 
您好很高兴为您服务 您套餐现在改的是一百一十八的现在开始您有三个g的流量五十分钟通话的超出打电话一毛九一分钟噢好的 在三个g的 
您好很高兴服务 那套餐只有一个一百五十八套餐除此之外有一个互打免费的群组然后的话其他收费业务下个月是没有的 吧 
您好很高兴为您服务 您现在就是一个亲情十六的套餐再加上一百块钱三个g的流量包 还有一个宽带 
您好很高兴为您服务 嗯那个集团业务是吧 这个的话要帮您转接到专席查询请您稍等不要挂 
您好很高兴服务 套餐对吧 您下月客服的一个套餐是一百二十八块一个月 
为您服务 对是的 你就这个月没有扣宽带费是吧 
您好很高兴为您服务 帮我查一下五佰兆啊对下个月生效的 十一点三和三元五百兆都是下个月的八百三年五百兆关了是吧 
您好很高兴为您服务 现在不是不是 不对的上海本地互打免费的话手机服务密码知道吗您好您好请问能听到吗您好您好很抱歉抱歉听不到您声音您走动两步 
您好很高兴为您服务 嗯有是的 嗯没有停啊您现在宽带不能上网吗啊帮您转到宽带 
您好很高兴为您服务 邮箱您现在是一百三十八五百分钟一g流量啊 还还有没有那个活动的活动已经结束没有活动就是套餐还是打算去办 
您好很高兴服务 四g流量对吧他要下载一个咪咕客户端咪咕视频客户端在这个客户端里面使用的一个流量是免费送的三个g 对就是咪咕定向流量是免费送的您要下载一个咪咕视频客户端的在客户端当中进行使用流量 
您好很高兴为您服务 现在是自选套餐七十八块的是那个一百分钟和一g流量另外还有个三块钱来电提醒 这方面有一百分钟通话时间还有一个g的流量 
您好很高兴服务 套餐活动对吧您说的不用是一六年十一月一号开始的到一七年十月底结束 幺七十月底呀刚好十二个月呀 
您好很高兴为您服务 请稍等一下 嗯嗯 
您好很高兴为您服务 那我帮您看一下请稍等 直接查过身份证号呃您好感谢耐心等待再见你说流量包已经取消了流量下个月就没了 
您好很高兴为您服务 对 那个查 
看一下 因为我这边的话帮您看了一下你们的流量共享包功能的话已经办理好了下个月一号生效您这边的话共享给两个号码 是的 
您好兴为您服务您好 我现在目前没有开 没有开通 
您好兴为您服务您好 您好请说 为您这个十八元飞享套餐还有一个十五元的话那肯定包 
您好很高兴为您服务 嗯对 噢我帮您看一下您这办的是承诺消费送宽带的活动这个是有协议时间的这个时间嗯您说 
您好很高兴为您服务 嗯嗯好的我看一下本机号码对吧关于之前开过一次开三十天的 交易时间就可以了它国内 
您好很高兴为您服务 呃四g的乱七八糟的那种那种那种那个消费的有吧上面这边显示有开通一个幺二五八零生活播报这项业务其他倒没别的 那这边就一个正常的五十八元套餐跟出去包业务然后幺五八零这个把它关闭是这意思吗 
您好兴服务 刚刚是一百三十八元飞享套餐再加一个五十块钱一个g流量包 您要怎么改的使用 
好的您好很高兴为您服务 它是不是要 还是再见 
您好很高兴为您服务 嗯我看一下啊 您看了一下您上网功能也都正常的吗 
先生您好很高兴服务 然后 就是免费送给您使用的是您办理这个活动每个月免费送的到时间之后它自动退的不要钱呢 
很高兴服务 您好请讲 三十八块一个月套餐 
您好很高兴为您服务您好 喂您好 两个新的套餐没有呀再加他这个只能加加过一次不能再叠加的呀它没办法叠加的先生 
您好很高兴为您服务 请说 现在目前就一个八元的四g飞享套餐还有一个三十块钱五百兆流量 
您好兴为您服务您好 帮您看一下呃目前的话是一百五十八元套餐然后下个月换了一个八十八元套餐 你先就是下个月还是这个月呢就是下个月两三个月要么你就觉得上个月流量不够用是吗然后不够用的话要不帮您换一个九十八元套餐那它里面呢是有两g流量通话呢按照两百二十分钟好吗 
您好很高兴为您服务 好的您的套餐是一个十八块钱四g飞享套餐一百兆流量国内主叫一毛九一分钟全国接听免费的 对它不分的他没有漫游没有长途是全球通套餐 
您好很高兴为您服务 啊您说 对 
很高兴为您服务 套餐两百一十八的有一g流量然后一千分钟通话时间 上个月消费了多少流量我看一下稍等嗯先生您要改了这边七月份的消费一共是三百七十八块 
您好请讲谢谢哎我想问一下我这个月的就是套餐是什么套餐八十八套餐两个g流量五十分钟通话五十分钟通话是吧对没有了没没有了对啊一个g两个g流量两个g是吧嗯嗯 嗯嗯别别的没有那我那个上面好像应该有赠送的是吧对送的还是会送的就每个月还是还是送的是吧对是的行 那他每个月都送的吗您套餐不换的话流量送到明年六月底后面就不送了 
您好兴为您服务您好 幺七四六 这手机的服务密码有吗 
您好很高兴为您服务 查到下个月我的套餐是什么吗因为我好像改了套餐这个月是十六块畅听卡下个月您改的是五十八的一百分通话五百兆流量的超出打电话呢一毛九一分钟 对 
您好很高兴为您服务 号码报一下 核对一下幺五二零幺九九 
您好很高兴为您服务 嗯目前您是自选套餐是那个一百分钟通话和三百兆流量这个月下个月改为一百分钟和五百兆流量就从七月一号才显示五十八块一个月 其他的您收费服务没有了您噢其他就您的三块钱来电提醒别的没有 
噢您好很高兴为您服务请说嗯嗯 嗯对 呃我们活动是有的不过它这个上面还暂时还没有办法去所以办的话会提示您的会发短信告诉您现在还没办好的明白 
幺您好很高兴为您服务谢谢吗 套餐目前我看一下一百五十八的套餐 现在办一个活动的内大街有的 
您好很高兴服务 我能不能 可以的但是您现在办不了已经更改不要了因为已经办过了您现在再办一个一百二十八的话等于浪费了因为你这个钱已经扣过 
您好很高兴为您服务 宽带连续是吧 上不了网是吧啊 
您好很高兴为您服务 我跟你说出国内的是吧宽带您国际漫游是开着的之前是在嗯之前是在十一月三十s今天刚开的 一些开过之前开过那可能是之前先开过现在关闭吗 
您好很高兴为您服务 是这个本机来电的号码对吧现在绑定的我看一下啊您稍等啊宝山区这个宽带线我查了一下协议是到今年二零一七年十一月一号到期 对也就是十月底 
您好很高兴为您服务 额您现在手机用的是两百三十八元呃两百三十八元飞享套餐然后上个月换成下个月换成新的也是两百三十八流量的话是呃通话时间一千分钟不变的流量是给您三个g流量然后到明年六月底可以再加送您三个g国内流量一个月六个g 下个月一号开始到明年六月底之前 
您好很高兴为您服务 您这个的话就一个小模卡然后有一个赠送的和留言彩铃和和彩印就下月帮您取消吗 现在赠送的送到五月五月一号结束 
下个月套餐我看了一下有过调整过了我看一下 没有没有之前是一百二十八加了一个五十块所以本来应该是一百七十八块下个月改七十八改成一百五十八块但是分钟通话在五个g流量活动再送五个g流量 我懂了嗯您下个月扣费项目这样一个一百五十八的其他的话有一些不收钱的功能收钱的是一百五十八的还有个五块钱彩铃跟三块钱来电提醒这三个要收费啊语音不收费的那个是吧嗯对呃其他一些不收费的功能是有一个签约送话费的活动活动送了半年的一个咪咕音乐会员跟那个和彩印 
您好很高兴为您服务 啊您现在的话八块钱的月租国内主叫是一毛九一分钟的全国接听免费 打电话一毛九一分钟 
您好很高兴为您服务 恩 我看到您下个月套餐跟现在是一样的还是那个 
您好很高兴为您服务 啊套餐您这个月用的是一百二十八加上一百块流量是两百二十八的然后下个月您换了我们换成我们一百五十八的全球通新版的那个飞享套餐自选套餐通话时间那就呃通话时间五百分钟流量是给您三个g国内流量然后从下个月开始还有个活动到明年六月底每个月再多送您三个一个月六个 呃我帮您看一下啊请稍等上个月使用您原来套餐的话流量没有用完然后再上个月的话呃流量也没有用完 
你好您好很高兴为您服务你好工号幺零三幺三 噢好的以后您要查询和办业务的话可以关注我们中国移动幺零零八六微信号帮您转后台的那个专席流量费还有其他方面的话费生效关关键问题我将您电话转接专席处理请稍等 好的 您好很高兴为您服务 现在是三十八元的四g飞享套餐就是五十分钟通话和三百兆流量的 对全国免接听的您看您要多少流量多少通话呢 
