你好请讲其他 先生嗯请讲 
您好很高兴服务 本机号码开过了都正常状态 
很高兴为您服务 我帮您套餐目前对到本月月底最后一个月了算一下就不再返还了套餐可以继续保留使用现在话费不返了 
您好很高兴为您服务 可以呀您现在是一百五十八的四g飞享套餐嗯其他没有就是一百五十八一个月 
您好很高兴服务 您好请讲 
您好很高兴为您服务 恩对是的然后下个月是 
您好很高兴为您服务 喂你好 
您好很高兴服务 业务的话您除了一百三十八套餐之外其他收费业务没有就幺三八月租 
您好很高兴您服务 您现在是八块钱四g飞享套餐就这一个其它没有 
嗯您现在这个号码本月是神州行大众卡每月最低消费三十三的呃下个月已经改成了那个五十八元四g飞享套餐您现在 噢您自己不知情改是吧我看一下啊那就帮您改的我看一下就是今天改的话应该是在营业厅呀在那什么外岗营业厅办理的 
您好很高兴为您服务 啊您稍等我帮您查一下这个是到今年的十一月底 
您好很高兴为您服务 对啊您是要咨询套餐因为您现在是参加过活动不能改变的您不是参加二六八返话费的活动吗 
您好很高兴为您服务 恩 
这个号码对吧没有开通点吧 您现在是自选套餐自选套餐是两选两个g的超出的话两毛九一兆对他这边还有送的流量送到两个g的上海本地的送到一八年六月 
您好很高兴为您服务 唉您好您说 
您好很高兴为您服务 嗯来电的手机号码吗 
您好很高兴为您服务 国际漫游吗 
为您服务 它是按自然月算了到这个月的月底过完这个所以就没了然后套餐兑换的 
什么很高兴为您服务 您好 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 你 
您好很高兴为您服务 先生 
您好很高兴为您服务 什么意思移动宽带对吧哪个手机号码 
为您服务哦 你现在套餐的话五十八的里面是五百兆的呀就当时有的您现在上不了网是吧 
您好很高兴为您服务 你说国际漫游是吧 
高兴为您服务 国际漫游的话就是我们这边开通立即生效的三十天以后取消的也有一百八十天的还有长期的开通都没有功能费的然后使用的话就是另外算 
为您服务 密码开过了 
您好很高兴服务 噢 
您好很高兴为您服务 一ip的四g高清语音通话您不要可以帮您关掉要关闭吗 
您好很高兴为您服务 唉你好 
您好请讲 国际漫游是吗对的 
为您服务 噢行那就是你你们那个互联网机台吗 
您好很高兴为您服务 我我想查一下我就是我帮您看一下您这边套餐五十八元套餐然后又加上一个任我翻的活动二十块钱一点五g的流量那么它套餐加起来的话就是七十八块钱 
五你好 您好 
您好很高兴为您服务 请说 
您好很高兴为您服务 嗯您现在宽带什么问题呢请问 
您好很高兴为您服务 嗯先目前那个一百五十八的四g飞享套餐还有一个集团短号还有一个十块钱的流量共享包还有一个十块钱的校讯通其他没了 
您好很高兴服务 对 
您好很高兴为您服务 呃八月份如果到期的话我看一下啊就是消费的话是属于后付费的就是账单出来之后交费也就是说呃八月份账单出来九月份消费 
您好很高兴为您服务 套餐您是目前是九十八块的一百分钟通话两g的流量 
您好很高兴为您服务 对 
您好很高兴为您服务 开通了从七月份开始生效的 
您好很高兴为您服务 您好有什么可以帮您你好我想 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 您说 
您好很高兴为您服务 嗯嗯我看您这边的话套餐是那个九十八块钱的月租费套餐然后再加上一个随心聊业务三块钱呃三块钱一个号码您总共是有清您 
到上海移动客服代表工号幺零六五九您现在接电话是说唉您好先生不好意思这边之前有一个跟您说错了就是说他这边的话您更换成下个月换成另外一种五十块钱的话它是给您两个g流量但是没有额外赠送两个g因为了 所以他这边 
您好请讲 我这边看到的话是开通的去去开通的二一年的五月十八号开始呢就是一个长期一个国际漫游如果您不取消的话这个功能只是在的 
您好很高兴为您服务 流量对吧流量我看一下上网功能是开着的国内流量是能用啊你现在不能上网 
为您服务 过期啊什么时候过期套餐没有有效期的只要您一直不打电话过来取消它可以去使用一下下去了 
很高兴服务 你现在套餐的话就是一个八十八块一个月套餐除此之外家的有一个三十块五百兆的流量包还有个三块钱来电提醒 
您好很高兴为您服务 恩 
很高兴为您服务喂你好 是哪一项服务不理解的 
为您服务唉你好我想看一下我本机这个手机是不是开通了港澳的国际漫游啊 嗯帮我开一下好的手机服务密码知道吗不知道身份证号码姓名报一下 
但目前就一个套餐五十八块的每月是一百分钟通话五百兆流量五十八块 对是的 
为您服务 呃我看一下这边有个有的有一个和多号的客户 
您好很高兴为您服务 嗯嗯对 
月租费用您这边还是三十八的呃您之前是有参加公司什么活动是吧 套餐不是您自己改的吗 
吧 您好有什么可以帮您 
如果 可以啊您手机密码知道吗 
服务 您好很高兴为您服务 
呃您是说您那个手机报和那个歪卖是要取消是吧先生对对对我有的话如果您手机报噢好的那我这边给您取消以后立马生效服务密码知道吗 报一下姓名和身份证 
很高兴为您服务 您刚才是八十八套餐了呀 
您好很高兴为您服务 您是十八块钱的基础套餐每个月还订了一个十块钱一百兆的流量包总共十八块钱 
您好很高兴为您服务 十八块钱的飞享套餐一百兆流量国内主叫一毛九一分钟全国接听免费就这个 
很高兴为您服务 没有您只有一个十八块钱的套餐费没有其他的收费业务 
为您服务 呃八十八的四g飞享套餐呃七十块两g流量三块钱来电提醒这三个业务 
您好兴为您服务约金 恩 
您好请讲 查什么呢女士 
国 噢我看一下您稍等三元叠加包叠加的 
零三幺五八 您好很高兴服务 
很高兴为您服务 国际漫游开通的对 
高兴为您服务 对您当时是一个十八元套餐一百兆流量打电话的话一毛九一分钟全国各地接听免费 
您好很高兴服务 开过了那正常能开 
您好很高兴为您服务你好的您好能听到吗对不好意思我听不到声音嗯 您好能听到吗您不打声音现在能知道 
您好很高兴为您服务 嗯 
很高兴为您服务嗯好 我之前好像那个关了那个流量到现在还没帮我开通对吧 
机号码能报一下吗我看一下 幺三六八 
很高兴为您服务 请说 
唉您好请问是刚才那位女士是吧唉您好帮您核实过了现在是优惠期里面优惠之内它是统一的十块钱一个月号码 来电提醒没有查到您的手机上没有查到有来电提醒这些功能 
啊好的您好很高兴为您服务 对的 
那很高兴为您服务 国内打国内电话的功能吗 
对 
您好你好 我想问问我我的套餐是十八块 
很高兴为您服务 呃三十八元确定是五百兆那一档的没有通话时间的 
您好很高兴服务 您好 
嗯没错 那流量多少通话多少呢 
嗯 包流量的 
您好兴为您服务 幺三八幺八五四六七七五对吧 
您好很高兴为您服务 对是二十八块钱语音套餐那二十八块钱语音套餐一个月六块钱的套餐加一个五块钱三十兆流量呀没有其他收费啊 
您好很高兴为您服务 推出一个套餐可以流量包一百其他还有其他没有什么业务 
您好很高兴为您服务 发短信扣您三十块钱您稍等我看一下就是您用完的斗地主造成的呀你不要去玩那个游戏啊那种游戏本身就是要收费我说没写呀我就说它关掉它那它怎么就有这个 
您好很高兴服务 这个的话人工看不到您的消费明细要登陆网厅核实一下详单明细我这边可以把链接发给您登录这个链接您可以查到详单明细看前用在哪里 
您好很高兴为您服务我想 唉我想问一下我 
您好很高兴为您服务 好您稍等 
您好很高兴为您服务 啊您说 
您好很高兴为您服务 好您稍等 
您好 安心包 
很高兴为您服务 哎好的稍等啊我看一下 
您好兴为您服务 办理这个 
您好很高兴服务 幺八三 
您好很高兴服务 国际漫游国际漫游对吧国际漫游已经开过了就正常状态 
您好很高兴为您服务 嗯嗯 
您好很高兴为您服务 啊宽带专款然后对吧 
您好很高兴为您服务 对的六十块六个g可以使用了 
很高兴为您服务 您这是后扣的 
再见您好很高兴服务 流量对吧对您现在流量功能暂停状态 
您好很高兴为您服务 到期日期的话你办的是我们上海移动的企业宽带吗 
您好很高兴为您服务 您套餐套餐的话是一个十六块钱的畅听卡然后一个来电提醒打市话是第一分钟两毛第二免费地方开始是一毛钱一分钟肯定还是每分钟一毛本地接听免费就这个套餐然后来电提醒是帮您减免掉送给您的那就就是六块钱一个月这个套餐现在没有了改出去改不回来的 
请稍等我给您看一下那感谢您耐心等待您这个是到九月底到期的还有一个月到九月底到期 唉对的 
您好很高兴为您服务 呃现在是十八块的四g飞享套餐其他的话还有个三十块流量总共是四十八块一个月 
您好很高兴为您服务 一百块钱 
您好很高兴为您服务 稍等本机没有开通过国际漫游需要帮您办理一下吗 
很高兴为您服务 这个套餐的家庭畅打包 
您好很高兴为您服务 你好的 
您好很高兴为您服务 对的六十块六个g可以使用了 
很高兴为您服务 这个套餐的家庭畅打包 
为您服务 请说 
您好很高兴为您服务 关闭掉了女士 
您好很高兴服务 你现在属于全球通套餐一百一十八一个月对全球通呢 
啊去您好 上网功能现在关着的 
您好很高兴为您服务 那我看一下自选套餐稍等一下好像您改现目前的套餐是自选的四十八的语音包两百二十分钟还有流量包七十元两g的的 
您好 安心包 
您好兴为您服务 办理这个 
您好很高兴服务 卡号码报一下谢谢啊 
您好很高兴为您服务 有啊您是一个八块钱的基础套餐然后订了一个叠加一个三十块钱五百兆的流量包其他都没有 
嗯嗯您好很高兴为您服务 呃您现在这个卡目前是那个五十八的一个四g飞享套餐呃其他有个三块钱的一个养生指南应该是手机报的业务别的就没有了 
单位订的套餐是哪个手机号码先请问一下 因为您现在是有一种协议是跟单位签署的你需要查一下这个集团活动内容的协议内容对吗 
您好很高兴为您服务噢你好我想查询一下 恩您目前这个套餐是十八块的四g飞享套餐还有三块钱的来电提醒总共就是二十一块其他收费服务没有 
您好很高兴为您服务 你好有什么可以帮您 
很高兴为您服务 嗯现在目前是八十八的四g飞享套餐两百二十分钟通话流量七百兆八十八块钱另外有一个五块钱的随意聊每月九月份 
您好很高兴为您服务 他哪个那个显示来电显示啊来电显示没有了要帮您去开通是吧我看看 
噢 刚才的话目前是八十八的每月是三百分钟通话流量五百兆 
宽带什么时候到期啊 唉对的 
您好很高兴为您服务 恩好的我看一下 
话费套餐是多少吗套餐对吧套餐您是八十八块一个月有额外加了一个五十块一个g的流量包还有一个是腾讯视频vip二十五一个月还有一块钱的一个生活百科短信包一块钱一个月行使用 已经去了没有睡觉还在呢 
您好很高兴为您服务 您这个手机套餐的话现在是一个四g自选套餐一百二十八块钱一个月的就是三百分钟的一个全国通话超出之后一毛九一分钟来算全国接听免费流量是两个g流量然后可以 
您好很高兴为您服务 嗯 
套餐就一百三十八套餐呀其他收费业务没有你套餐没有换过还是幺三八 想换套餐呢 
您好很高兴为您服务 漫漫游包您是要开通国际漫游还是什么国内啊就是国内国内没有漫游包办了现在就是开上海接就四毛钱一分钟打就六毛钱一分钟除非您改套餐我们现在套餐的话最低是十八块钱的飞享就是一百兆流量国内主叫都是一毛九一分钟全国接听免费要不您改套餐我漫游包都已经下线了 
您好很高兴为您服务 恩对 
您好很高兴为您服务 对的六十块六个g可以使用了 
再见您好很高兴服务 流量对吧对您现在流量功能暂停状态 
您好很高兴为您服务 唉你好 
您好兴为您服务 您好有什么可以帮您的吗 
您好很高兴服务 要的话就五十八块一个月套餐还有十块钱的流量分享包另外还有二十元任我翻流量包还有三块钱的新闻早晚报其他收费业务没有 
为您服务 请说 
您好很高兴为您服务 关闭掉了女士 
啊去您好 上网功能现在关着的 
您好很高兴为您服务 那我看一下自选套餐稍等一下好像您改现目前的套餐是自选的四十八的语音包两百二十分钟还有流量包七十元两g的的 
您好很高兴为您服务 好您是二十八的一百兆流量五十分通话超出打电话一毛九一分钟全国接听免费的 
您好很高兴为您服务 恩是的 
您好很高兴为您服务 绑定这个没有时间的呀只要您主号码不主动退订这个绑定的这个家庭 
我帮您看之前流量吗你你你去哪个国家 去哪个国家七天流量 
哦 您好请讲 
您好很高兴为您服务 可以的您手机号码报给我 
您好很高兴服务 也是五十块的套餐然后有额外加了一个七十块两个g的流量包 
您好很高兴为您服务 噢这个暂时不能办因为它只有低的套餐往上升才能参加您是一百八十八转到一百五十八所以说拨不上去 
您好很高兴为您服务 对啊五十八块钱一百分钟通话五百兆流量的 
那么下个月您改成四g飞享嗯还是五十八的四g飞享套餐就是另外又加了二十元的还加了二十元一点五个g的流量另外还有个是才加了十元一百兆流量您这十元一百兆可以取消掉 啊帮您取消请问您密码知道吗六位数的 
高兴为您服务 嗯现在目前的话是四g飞享套餐一百三十八的五百分钟通话一g流量还有一个三块钱来电提醒还有一个十块钱的早晚高峰的流量 
为您服务 您好国际漫游没开要帮您开通吗 
很高兴为您服务您好你好 三十八块钱套餐五十分钟通话三百兆流量噢送了一个g已经没有了是吧您是说送那个一个g的上海本地流量吗 
您好很高兴服务 我想谢谢啊 
您好很高兴为您 号码先报一下 
您好很高兴为您服务喂嗯 满意请稍后还在的 
您好很高兴为您服务 你好 
那么下个月您改成四g飞享嗯还是五十八的四g飞享套餐就是另外又加了二十元的还加了二十元一点五个g的流量另外还有个是才加了十元一百兆流量您这十元一百兆可以取消掉 啊帮您取消请问您密码知道吗六位数的 
您好很高兴为您服务 您要换四g套餐吗 
您好很高兴为您服务 嗯嗯对有的 
您好很高兴为您服务 您这个手机的话我看到是一个五十八块钱的四g飞享套餐然后再加上了一个二十块钱任我翻流量包一点五个g的 
您好很高兴为您服务 你好什么问题需要咨询请谅解 
您好很高兴为您服务 套餐您是之前的话是九十八的您现在每个月是一g流量两百二十分通话超出打电话是一毛九一分钟全国接听免费的 
您好很高兴为您服务 流量的话每个月是您现在是这个月是五三百兆对下个月换了一百三十八的流量拨打的是五佰 
您好很高兴为您服务 吧 
为您服务你好我想问一下这张卡是什么样的一个 您当前这个卡的话套餐选的是个自选套餐然后的话二十八元的套餐里面还有一百兆流量五十分钟通话超出之后打电话全国各地一毛九一分钟全国各地接听都是免费的 
您好很高兴为您服务 您稍等我看一下您这是九块钱的一个套餐稍等 
您好很高兴为您服务 呃下个月开始的话一下您下个月开始扣费还是六十八块钱套餐嗯下个月是六十八块钱套餐然后六十八元套餐是五十分钟通话两个g流量再额外赠送两个g的国内通用流量还有三个g的咪咕视频本地流量还有一个三块钱的来电提醒 
很高兴为您服务 嗯 
为您服务 就是有的有的送到明年六月份 
对您好很高兴服务 能 
您好很高兴为您服务 对 
您好很高兴为您服务 好 
您好请讲 呃签约一百二十八返还六十四块钱的活动到七月底到期还有一个月 
您好很高兴服务 嗯嗯 
您好很高兴服务 行 
您好很高兴为您服务 噢 
您好很高兴为您服务 对有的六十块钱六个g半年流量包 
您好很高兴为您服务 这边的话目前是八十八的四g飞享套餐两百二十分钟通话流量七百兆没有还有一个彩铃五块钱来电提醒三块钱 
您好很高兴服务 套餐您目前使用的是五十八块一个月套餐除此之外有一个七十块两个g的流量包还有个上网办理多少恩 
您好很高兴服务 这个再有的 
您好很高兴为您服务 预 
您好很高兴为您服务 唉好的我身份证我看到还是有的您可以发送幺零九幺到幺零零八六查询一下还是有的 
您好很高兴为您服务 国际漫游吗 
哦请说 对是的 
您好很高兴为您服务 噢对 
您好很高兴为您服务 你好 
您好很高兴为您服务 哪个号码报一下 
您好很高兴为您服务吧 可以那您稍等吗为了更好解决问题我帮您电话转到宽带专席会有专人浦东新区稍等不要挂您稍等 
您好很高兴为您服务 和彩印基础包 
嗯嗯 六个g的流量用的比较快对吧那我们建议您升级一下现在的话升级上去的话呃我看一下啊升级上去之后是一百块是五个g就是就套餐资费不变它是有五个g的全国流量另外再送您五个g的那个全国流量总共有十个g本月办理下个月生效 
您好很高兴为您服务 您现在这手机的话就是一个四g飞享套餐五十八块钱一个月然后再加上一个二十块钱一点五个g的流量 
您好很高兴服务喂你好你好请讲呃 看得到嗯对有宽带现在什么问题先生 
很高兴为您服务 是别人帮他办的但是他现在 
您好很高兴为您服务 国际漫游开着的长期有效 
呃目前您套餐就是那个呃看到是办的四g自选套餐 你说另外有绑定什么业务我看到有个三块钱来电提醒其他的话都是免费赠送的因为呃现在的话因为您参加了一个资费签约活动还是免费为您开通了什么和彩印啊彩铃啊无线音乐俱乐部会员这些业务它会在十号之前呃江费用退还给你是不收费的 
喂您好高兴为您服务 噢就帮您转到宽带部门给您问一下是我们移动的宽带吗 
您好很高兴为您服务 您您现在这个号码是五十块的包含两g流量的套餐 
您好很高兴服务 嗯还有什么问题 
您好很高兴服务嗯 套餐是五十八的四g上网套餐再加一个五十块一个g的流量包 
您好请讲 周 
您好很高兴为您服务 它上面显示只能收不能发然后原因是根据广大用户不变办法垃圾短信问题为了避免回来以后生效了我公司跟密码部门要求加大了对垃圾的那种目前主要是通过用户举报发现处理垃圾短信这号码显示有问题帮您报上去申请的广告信息我这边帮您恢复可以使用了还有什么帮您的吗 
您好兴为您服务 有的 
您好很高兴服务您好很高兴服务您好 在不在您群组里面是吗 
您好高兴为您服务 噢您可能改错了它是要在那个自选套餐里面吗之前包改到一百八的然后您不是改了自选包您要另外叠加可选包 
嗯先目前套餐的话是一个四g上网套餐八十八的四百二十分钟通话然后一g流量 一百十八的三个g五十分钟通话 
您好很高兴为您服务 这边是呃十块钱的一个动感地带的套餐 
所以我的您好很高兴为您服务 对您这边是一个三十三块钱的神州行的大众卡其他的收费都没有就一个神州行 
您好很高兴为您服务 二十八块钱套餐其他还有一个华为支付普通会员包这个要取消了 
您好很高兴为您服务 稍等一下我看一下 
您好很高兴为您服务 留言我看一下流量功能并且让我们这边开通但是手机上面有些手机可以自己设置的这边系统里面开 
您好很高兴为您服务 六十八还是二百二十八的二百三十八的二百三十八 
哎您好很高兴为您服务请讲 你的套餐是呃六十八有什么问题 
很高兴为您服务 您好有什么可以帮您 
如果 您好很高兴为您服务 
对您好很高兴为您服务 呃您要系统还是可以的现在还有 
高兴服务 对是的 
您好很高兴为您服务 恩您这个是长市通话套餐十八块钱的 
很高兴为您服务 呃你说绑定在一起的号码我看一下啊有的 
您好兴为您服务 先生 
您好很高兴为您服务 请讲 
您好请讲 喂你好 
您好很高兴为您服务 您现在套餐您现在套餐的话是一个一百五十八的噢对五百分钟通话两个g的流量 
为您服务 您现在不想订套餐是呃一个g的然后另外加了一个二十块钱两个g的 
您好很高兴为您服务 呃六十元六十元六g是吧二十块钱包 
您好很高兴为您服务 这个月月租扣掉了呀 
您好高兴服务 我看您下个月有一个二十块钱三百兆的一个流量可选包 
您好很高兴为您服务 呃您这个号码您说您这个号码去外地对吗 
啊您好有什么帮您 再就一个八十八套餐每月两百二十分钟通话流量七百兆这个 
好很高兴为您服务 这个卡的套餐您稍等 
零可以我帮您关掉您密码知道吗 机主名字身份证报一下 
您好很高兴为您服务 呃是这个来电手机吗小姐 
高兴为您服务 请说 
您好很高兴为您服务 您是个二百三十八套餐加个彩铃呀就是一千分钟通话两个g流量吗 
您好请讲 好密码知道吗 
您好很高兴为您服务 嗯对的 
为您服务 七月份的出来了呀都已经八月五号楼可以的 
您好很高兴为您服务 来电咨询请稍等呃三块钱一个月来电看一下没有唉本机没有的 
您好很高兴为您服务 嗯你要办哪挡您说 
您好很高兴为您服务 对是的 
好很高兴为您服务 嗯您原先是那个八块钱套餐里面只有十兆的流量下个月改为了十八块里面有一百兆流量 
嗯现在您是五十八元四g飞享套餐其他收费噢我看到了有个呃现在是免费的一个六十元那个wlan校园无限量的流那个wlan套餐这活动是到嗯我看一下啊您参加的先生活动就是周六十元是几点到九月底十月份要收费所以您这九月底之前取消掉 恩对的 
喂唉你好嗯请说 哎 
很高兴为您服务 嗯嗯流量资费您是说流量您这个月是一百兆下个月改到五百兆了 
您好很高兴为您服务 个什么 
您好兴为您服务 现在目前的话是八十八的四g飞享套餐两百二十分钟通话七百兆 
您好很高兴为您服务 对的 
您好很高兴为您服务 嗯您是在和教授上面的功能吗因为目前我这边没有看到相关的一个免费资源的先生 
它是十八的有一百分钟不可能的呀只有五十分钟您可以报下他号码 唉 
您好很高兴为您服务 本机本机是一个十块钱的四g随心卡打电话两毛五一分钟全国接听免费的如果是走流量的话上海每天有一块兆的医药一块钱的三百兆本地流量可以走当天无限叠加如果走国内流量就零点二九元一兆哦请问还有什么可以帮您问好以后问题没办法呀 
为您服务 套餐的话是一百八十八的然后下个月没有改过了改了我看一下您改的下月套餐很多哎短信包二十通话包一千分钟一百六十八还有一个流量包七十的彩信包十块的就开一个流量叠加包七十的不可以用多少对可选包七十兆套餐里面已经有了有这样的一个 
很高兴为您服务 恩您这边有一个流量叠加包五十块钱那边取消的我十分一点叠加包流量也帮您关掉吧 
您好很高兴为您服务 呃现在用的套餐的话是一个四g自选套餐然后呢一百三十块钱加二十八就一百五十八元总共月租然后稍等一下啊 
很高兴为您服务 还有哪个号码您报一下 
您好很高兴为您服务 啊我看了一下业务您是呃目前是一个十八元飞享套餐除了套餐之外没有其他收费业务一共就是月租是吧 
对您好很高兴为您服务您好 嗯是什么不好意思听不清楚您好 
您好很高兴服务 套餐就是三十八块一个月的套餐其它收费用没用 
您好很高兴为您服务 
您好很高兴服务 套餐您现在是十八块一个月只有一百兆流量 
您好高兴服务 零呃哪个手机号码呀 
办好了是您本机号码吗 嗯我还没看到有办理记录啊 
为您服务 应该是开通了 
您好很高兴为您服务 嗯您说的是本机号码吗 
您好很高兴为您服务 手机套餐吗对手机套餐您这用的是一个集团比较优惠套餐三十块钱的 
您好有什么可以帮您 刚才每月是五十八的一个四g飞享套餐要有一个三块钱的来电提醒每月一共是六十一块 
您好高兴服务 您现在是二十八的呀流量三百兆打电话一毛九一分钟 
没有需要打开吗噢帮我打开我的密码知道吗 好麻烦报一下 
高兴为您服务 麻烦您是一百元三个g可以打的另外加了一个叠加包五十块七天 
您好很高兴服务 你好 
您好很高兴为您服务 就 
恩你好 您这手机是绑定宽带的到月底到期的 
您好很高兴为您服务 嗯活动的话是我看一下到一八年六月底 
您好很高兴为您服务 你好 
呃这个国际电话的功能并没有开通所以在国内打国外打不通的 可以那帮您开通一下密码先生 
噢 嗯嗯你现在下个月换了一个是八十八套餐 
您好很高兴为您服务 套餐您这个号码不是我们上海的我帮您转回您归属地查询您稍等不要挂您稍等行好谢谢啊 
您好很高兴服务 然后 
您好很高兴为您服务 嗯对的 
您好很高兴为您服务 已经取消了您现在只有八十八套餐然后一个夜间流量没有其他收费了 
活动对吧活动这个月最后一个月到期了 可以你要换什么套餐呢 
您好很高兴为您服务 嗯到这个月底不过您的宽带是到期自动续约的您后面要续的吗 
为您服务 套餐改改掉是吗你现在套餐是上个月一样的呀一百三十八的套餐 
您好请讲 你好 
高兴为您服务 九块钱的一个视频套餐三个g的那个流量可以用了在优酷视频上面的话看视频还有一块钱五百兆上海本地流量每天每天超出一块钱五百兆然后的话是另外算两毛九一兆 
您好兴为您服务 套餐目前开的是五十元的套餐您的流量有两个g 
您好很高兴为您服务 你好我想 
彩信啊彩信的话就是一个基本功能只要您手机把流量打开查询参数设置正确可以直接发彩信的 您把移动流量打开状态能不能的流量关掉流量是打开了吗 
您好很高兴为您服务 噢好的 
您好很高兴为您服务喂你好嗯你好 您是八十八的飞享套餐两百二十分钟通话七百兆流量的另外您叠加了一个十块钱一百兆的流量包 
吧 先生 
为您服务 请说 
服务 这笔钱的套餐呀流量都是您现在目前流量是五百兆这个套餐五百兆的 
您好兴为您服务您好很高兴为您服务 它上面显示的邮箱是幺二六邮箱 
您好很高兴为您服务 噢对有一个一百兆的宽带对 
您好很高兴为您服务 呃您是到哪个国家去了 
您好很高兴为您服务 一开始国际漫游香港澳门的话都可以您这个月的话要去哪里 
为您服务好的平安 嗯套餐是一个自选套餐八十八的三百分钟通话流量五百兆对还有一个三块钱来电提醒 
高兴为您服务您好很高兴为您服务 你好 
您好很高兴为您服务 就像这个来电号码那个宽带对吧 
没有电话 叫后市方式不变呢 
为您服务 啊上网办理对取消了 
您好很高兴服务 好那您这边不要挂机啊为了更好一些问题我将您的电话转专席处理请稍等嗯嗯好 
您好很高兴服务 想问一下 
您好很高兴为您服务 那个哪个号码的办理套餐 
您好很高兴为您服务 您现在全球通的五十八的一百分钟通话五百兆流量超出打电话一毛九一分钟全国接听免费的 
您好很高兴为您服务 目前这个套餐是一个六十八块钱套餐然后您这边还有一个东方手机电视十块钱央视视频包月然后手机去年办 
您好很高兴为您服务 十六块钱然后您下个月有办了一个三十块钱可选包总共的话就是四十六块钱 
您好兴为您服务 我想看一下有没有开通国际漫游好嘛那手机号多少 
您好很高兴为您服务 您现在是五十八元的四g飞享套餐其他有个两块钱的天气预报呃就这两个六十块一个月 
您好很高兴服务喂 活动到期了对套餐没有限制了您可以换套餐了 
您好很高兴为您服务 嗯对五十八的那个四g飞享套餐然后另外您还有个二十五元的一个腾讯超级会员二十五块钱会员什么意思腾讯超级会员这个不是移动的业务啊还是qq的业务吧嗯嗯 
您好请讲 这个共享流量功能要退掉是吗 
很高兴为您服务 嗯我看一下啊一百零八的套餐 
好很高兴为您服务 嗯您是一个一百二十八的四g上网套餐这个里面呢每个月是包含了四百二十分钟国内主叫然后一g的流量超出打电话一毛九一分钟全国接听免费就这个 
您好高兴服务 行现在这手机是四g上网套餐一百二十八块钱 
为您服务 嗯嗯 
高兴为您服务 两百六十八的四g飞享套餐 
您好请讲 对您这边来电提醒没有取消呀来电提醒不一样在的就六十八月租加三块来电提醒别的没有 
很高兴为您服务 呃稍等一下幺五二二你说是有没有前面那个家庭畅享里面是吧 
您好很高兴为您服务 恩好您这边稍等我帮您看一下对您手机的话呢当前这边是一个基本的套餐是一个五十八的一个飞享套餐那除此之外的话呢还有一个三块钱的一个幺二五八零生活播报以及一个十块钱的一个掌上故事会您是要取消哪个业务呢 
您好很高兴为您服务 唉您好请问 
您好很高兴为您服务 流量它是套餐里每月送七百兆的套餐以外没有叠加流量不要现在目前都还有啊 
您好很高兴服务 好稍等帮您核实一下好本机号码没有开需要帮您打开吗 
您好很高兴为您服务 您本机号码不是上海的我们看不到的我帮您转回当地幺零零八六请您稍等不要挂机如果转接失败请重新拨零二九幺零零八六请稍等 
您好很高兴服务 刚 
您好很高兴为您服务 稍等一下我查询一下您活动的话到一七年十二月一号结束 
您好很高兴为您服务 噢那这个我们这边看不到的这个什么端口号 
您好很高兴为您服务 套餐没有到期只不过您之前参加了一个买手机送话费的活动到期了如果您要延续下去的话您要带好设备去营业厅买手机的 
您好很高兴为您服务 你说扣二十四块稍等我查一下再见对啊六月二十号是月租呀您套餐是三十八的但是您开卡您才开的卡对吧昨天开的卡所以只扣您二十几块钱啊噢月租是一次性的月租是一次性扣除的没错 
您好很高兴为您服务 好我看一下啊哦对我看到确实有个什么泡泡冰会员包是在上个月六月份卡金额就是每个月十块钱的这边也帮您退掉噢 
您好高兴为您服务 套餐八十八的每月两百二十分钟通话流量七百兆还有一个三块钱来电提醒业务其他收费没有 
您好很高兴为您服务 g网您说是公司的短号还是 
有了 诶我这边看了一下你 
您好请讲 您是一个八块钱的飞享套餐还有一个二十块钱的流量包女士二二二十八块钱是吧对的 
您好很高兴为您服务 就是那个关机占线不在服务区会收到短信那个 
很高兴为您服务 您好请说 
您好很高兴为您服务 您套餐现在改的是一百一十八的现在开始您有三个g的流量五十分钟通话的超出打电话一毛九一分钟噢好的 
您好很高兴服务 那套餐只有一个一百五十八套餐除此之外有一个互打免费的群组然后的话其他收费业务下个月是没有的 
您好很高兴为您服务 您现在就是一个亲情十六的套餐再加上一百块钱三个g的流量包 
您好很高兴为您服务 嗯那个集团业务是吧 
您好很高兴服务 套餐对吧 
为您服务 对是的 
您好很高兴为您服务 帮我查一下五佰兆啊对下个月生效的 
您好很高兴为您服务 现在不是不是 
您好很高兴为您服务 嗯有是的 
您好很高兴为您服务 邮箱您现在是一百三十八五百分钟一g流量啊 
您好很高兴服务 四g流量对吧他要下载一个咪咕客户端咪咕视频客户端在这个客户端里面使用的一个流量是免费送的三个g 
您好很高兴为您服务 现在是自选套餐七十八块的是那个一百分钟和一g流量另外还有个三块钱来电提醒 
您好很高兴服务 套餐活动对吧您说的不用是一六年十一月一号开始的到一七年十月底结束 
您好很高兴为您服务 请稍等一下 
您好很高兴为您服务 那我帮您看一下请稍等 
您好很高兴为您服务 对 
看一下 因为我这边的话帮您看了一下你们的流量共享包功能的话已经办理好了下个月一号生效您这边的话共享给两个号码 
您好兴为您服务您好 我现在目前没有开 
您好兴为您服务您好 您好请说 
您好很高兴为您服务 嗯对 
您好很高兴为您服务 嗯嗯好的我看一下本机号码对吧关于之前开过一次开三十天的 
