一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
很高兴为您服务 呃我帮您转到我们宽带热线请不要挂机不要挂几个问题不客气我将您电话转接专席处理请稍等 
您好很高兴为您服务唉你好好哎我想咨询一下哈哎因为我们单位的还是需要办一些那个电话卡电话卡呢就是说呃我们打电话时间会长一些这样会比你一般要办好一张所以说想咨询一下你们这方面的业务有没有比较优惠的呀 呃基本上是打本地的上海本地 都在搞我们对流量没有什么要求号但现在都在内流量的现在都带着那条要打打电话时间能长期的这种有哪一个两千分钟呃一千分钟 额有一百多那种 
您好很高兴为您服务 你说什么通话呀 高清通话对吧看他现在这个功能在的您现要做什么 吗都在外地的话它也在外地的话跟上海一样呀您参加全球通的呀 
您好高兴为您服务 宽带业务有的我们有个专席我帮您转过去咨询一下宽带人员好吧好的谢谢啊不客气为了更好解决问题我将电话转接专席处理请稍等 
您好很高兴服务 但现在目前下线了目前没有 对那是任我享流量包到六月底结束的 现在额外加流量就是三十块五百兆五十块一个g七十块两个g额外加的流量包 
啊 对有的可以帮您开机电子发票推送到您幺三九邮箱里面一下再打印出来是可以报销用的 但您这个号码的话您是副号您没有电子发票只能主号才能开 啊名字是他的只能开通了对只能开它就是按其他附件呢 
您好很高兴为您服务 嗯我 今天和明天办理套餐 是不是现在我们今天新出的活动啊我不知道您指的是不这个就是现在新聪明天的话先充一个流量超狂欢的活动 
您好很高兴为您服务 宽带呃是什么问题请讲 好可以那先生你把这边的地址能报一下查一下线路能不能装 嗯嗯 
您好请讲 唉你好 新的套餐呃那这个就是四g套餐了您要针对哪方面的呢通话多还是需要安装 大概要多少流量呢 
您好很高兴为您服务 呃您说的是什么是那种上网卡吗 类似于上网卡 就上网址上网卡的话我们到时候的这种无线上网卡 
您好很高兴为您服务 嗯流量用完了您这边的话要加流量包是吗 对啊十块钱一百兆 对其他没有了先生 
这个您好很高兴服务 也就是说您额外加了一个二十块的流量包一直有效的那当月是扣您七块九毛二给您一百一十八点三六兆流量下个月开始二十块三百兆那这个流量包下个月要不要退掉 但您要不要下个月退掉 他那服务密码知道吗 
您好请讲 九十八块钱五个g流量您稍等我帮您查一下 呃有一个是九十八块钱送一百分钟流量包一百分钟通话然后套餐里面是包含呃您稍等一下我帮您看九十八五个g是吗 嗯我明白你什么 
您好高兴为您服务 现目前的话这个套餐对应的是二十块钱两个g的 是二十元两个g 二十元两g可以吗 
您好很高兴为您服务 您目前套餐的话是一个飞享套餐八十八一块钱一个月的 呃您这边的话目前是显示欠费的先生如果您这边需要更改也是下个月生效建议您先充值好话费之后呢看一下我们这边的新套餐有需要的话在月底之前都可以更改的 稍后把新套餐下发到您手机还有什么可帮您 
您好很高兴为您服务 有的女士但是的话这样的话最低也要五十八块钱一个月然后的话没有通话分钟数打电话打一个算一个一毛九一分钟然后的话流量是两个g的全国通用流量再送两个g的全国通用流量送到一八年的六月份但是每个月用不完是要清零的 可以啊女士如果您要签的话我帮您先您手机服务密码知道吗 好的那请您根据语音提示验证一下您的服务密码按井号键结束 
为您服务 您稍等我看一下对有的 这个使用情况我查询不到您可以稍后编辑短信幺零九幺发送到幺零零八六查询一下短信我的确看到 这我看不到您这样 
把这个月用对吧 本月用是吗啊十元有一个二十加二十块钱加一点五g流量月底清零吧就可以吗 再少一点扣您十一块八毛八给您二百零七点一二兆这个可以吗 对 
您好很高兴为您服务 那个是公司的账户优惠套餐这个现在您不用付费的 对您现在不用付费的 幺三八里面是五百分钟一个g 
嗯 没有一个任我翻的流量包就五十块钱就叠加包这个包要退掉的 才能办 可以啊我帮您开通这个流量月底要清零不累积的好吧 
您好很高兴为您服务 然后下午是五点到八点这样 可以啊开通 才能用的是 
您好很高兴服务 您好 它就在您原有套餐基础上额外加个流量包这个流量包名字叫至尊包它里面包含是十个g的本地流量再送三十个g的本地流量您收到了这个是送给您的优惠抵扣券就是每个月可以抵扣五十元功能费的但是您这个 但您这个号码目前办不了的原因是因为您目前参加了一个活动您活动还没过期要等活动过去之后您才能办这边包 
您好很高兴为您服务 泰国的话流量方面对吧 下午好流量当地的标准是三块钱三兆的三十块钱不限量另外有三天的是七十八五天是一百一十八七天是一百五十八的 呃对您什么时候用什么时候订就可以了 
啊您好很高兴为您服务唉 没有什么 嗯现在目前在用的流量安心包的安心包就是按照十元一百兆来计算的按键的 现在目前的话要用多少要查询的话是发四个六到幺零零八六来查询的四个六 
为您服务 这使用费对每个月三块钱这个功能费要收的 嗯这个您现在用吗不用的话也可以退掉了但是那个卡交通卡的话就按照当月办的卡用就不能到账的划算了 就现在先保留是吧 
您好很高兴为您服务 注意下个软件这个软件叫咪咕视频咪咕视频进去看视频可以抵扣的就是上海本地流量 米咪咕就是那些就是口字旁一个女只要上面的免然后那个呃姑姑就是口字旁一个古代的古啊 不客气的还有什么可以帮您吗噢不需要了先生帮您看了三块钱 
来电提醒对没有啊这个功能我这个开通了没有开通了 是不是太久啦发给您它时间有他什么时候给您打的因为您是如果出去的话 那您怎么回事啊您国内飞机是吧 噢这个的话是那应该能收到呀就是说再停关机状态没有信号状态下别人给您打电话会有短信通知的这个您到时候再重新设置一下这个功能 
为您服务 请说 然后是另外的本来就有的换套餐不影响您短号的 对 
我帮您现在每个月返还您十三块钱您手机密码知道吗 那您名字身份证报一下 嗯身份证报一下 嗯嗯 
嗯嗯车票怎么办理 流量什么套餐 子轩套餐您说的是流量自选套餐吗 流量次生套餐至尊至尊套餐上噢这个套餐的话您要办理的话呢是这样子的您这边的话要选择一个月租您要更改您的月租费您的月租费的话至少要是四g飞享套餐一百三十八或者说是四g自选套餐自选套餐的话他就是看一下如果是四g自选套餐的话呃他是要一百一十八块钱才能满足这个要求您才能订购 
流量包吧 现在是哪个国家 是去哪个国家 噢这个是七天三天七十八五天一百二十八七天一百六十八块上网畅用的 
您好很高兴为您服务 五十八上网套餐五十八那么呃四g飞享套餐要么是一百分钟通话加五百兆流量打电话把你 上网套餐已经下线了以前那个全球通上网套餐五十八档的话是五十分钟通话加五百兆流量那我不知道您说的是不是这个现在这边办不了按内容比较少 五十分钟通话加五百兆流量打电话一毛九全国接听免费 
您好兴为您服务您好 恩对 电信办一张卡片然后呢卡片办好之后有效期为二十四个月二十四个月到期之后会自己转成四g飞享十八元套餐 八块钱 
您好很高兴为您服务 装宽带您什么地方装呢 对那我知道您把具体地址哪个区 嗯我知道您说 
您好很高兴为您服务 嗯我看一下啊您现在套餐呃对改到了下个月就改成了四g自选套餐选择是那个三百分钟和两g流量的 全球通的呃全全国的全国的是不是情况 对全国的 
唉 二零对的有个五块钱的彩铃记录 关掉 今天我想他有一个反映这个电话你好你帮我转入可能好谢谢再见啊再见对对嗯好的诶喂你好我问一下还有什么彩铃 
您好很高兴服务 套餐是全球通套餐啊自选套餐呢 两百一十八块一个月一千分钟通话一个g的流量 有二百三十八一个月通话有限制每个月五百分钟国内主叫的流量没有限制但是当月流量当月达到十个g的时候那么网速会降下来 
对吧您好很高兴为您服务 语音包那你要打几分钟呢 我们就这样标价上去八十八五百分钟一百六十八一千分钟两百三十八两千分钟就这样的呀 那就两百三十八那流量需要多少呢 
你好请讲 八十八块钱 两百二十分钟七百兆流量 对的 
很高兴为您服务 对可以 对可以啊 它流量能不能他信号是不稳定呢我搞不清楚啊我想功能开着的吧有没有设置一下设置为四g网游先生有的地方可能是四g网信号弱的话就回到二g三g可能会这样子 
您好很高兴为您服务 噢对宽带我们就是承诺消费送宽带活动对吧短信 宽带的话你可以把这边的地址报一下查下线路能不能安装钱 浦东新区永耀华路八号幺三零幺对吧 
高兴为您服务 噢对因为这个漫游包已经停止办理的先生 全国漫游包这个服务因为已经下线了我这边查一下他是今年四月二十一号经验 呃接听要收漫游费的接听四毛打电话六毛 
您好很高兴为您服务 换那个流量的新的套餐有没有没有显示老的呀十块钱一百兆二十块三百兆三十块五百兆都有的 三百兆 对 
为您服务 您好请说 套餐费取消了 改一个什么套餐 
您好很高兴为您服务 嗯嗯您说 套餐是一个六十八块钱四g嗯自选套餐套餐里面的话是包含五十分钟全国通话超出之后按照一毛九一分钟来算全国接听免费给您是一个g的流量流量超出按照两毛九一兆来计算 对六十八块钱 
您好很高兴为您服务 对是的 就原来那个流量包您价值七十元两g的现在扣不到七十元三个g 对另外送三个g的国内的还送三个g的咪咕视频的本地的 
您好很高兴为您服务 您可以选一个五十块的月租流量两个g打电话两毛一分钟 对明天就可以用了 五十八就是你现在这个呀五百兆加一百分钟 
您好很高兴为您服务 嗯对的像您现在是呃七十元两g吗然后另外送本地流量夜间流量下个月噢您把您确实没有的就反正就您现在就是两g的全国流量现在升级一下套餐资费不变可以有三个g全国流量另外再送您三个g全国流量送到明年六月底 嗯只不过就是改过去之后本月剩余流量到这个月底会自动清零 恩好那您本机那个机主名字报一下 
唉先生你说我再跟您说 你从这个月的一百块钱三个g换成一百块钱五个g的全国通用流量 唉对这个星级是免费的就是说是平均然后通话是给你们增加流量包再送你三个再送您五个g的全国通用流量送到一八年的六月份结束 好的那请您姓名报我一下我帮您那个改流量套餐 
为您服务 噢那是一个任我看的一个视频流量包抵扣券 啊对他是在那个先把这个券领出来连上之后再办那个业务然后它就会给您帮您下月开始的这个几个月的那个优惠券的一个费用咱们因为现在抵完之后的话后面就要收费了 呃嗯他到期之后的话不会给您通知但您自己可以打过来问问他用了几个月了 
您好很高兴为您服务 你好 费用宽带二十兆啊噢七百六一年 办一年送两百的话费 
正规的 三个g开通一个是三个g的国内流量不是一点半 到时候他给您改好之后您会收到短信呢今天确实有给您打过电话这个不需要担心 
您好很高兴为您服务 您是一个十块钱的四g随心卡还有需要其他 听得到吗听得到吗行了我说您说是四g随心卡然后呢是打打电话的话我看一下稍等打电话的话您是国内主叫每分钟是零点二五元每分钟的然后每天有一块钱三百兆的本地流量可以使用如果走国内流量就是零点二九元一兆来收取费用全部营业厅的 用的话对吧先生一块 
您是十八块钱的飞享套餐打电话是一毛九一分钟的有一百兆流量全国接听免费 没有打电话都一样的现在都全球通套餐呀都一样的国内都一个价 都这样还有什么可以帮您 就一毛九一分钟这个都没有呀现在没有什么如果您对这个通话您有一您可以登陆网上营业厅看一下您的详单的稍后我把网址发给您的好吗有链接您可以上去看一下 
很高兴为您服务 请说 请稍等为您查询一下嗯先生您要改这边的话就是有那个一百九十七兆的然后是两百七十六两百七十六兆可以吗 十五块八毛四 
您好很高兴为您服务 关 两年一千二百八 一千两百八两年的那个是五十兆的 
您好很高兴为您服务 您是在您您都是三十八套餐每个月都是啊我一直都是三十八的是吧嗯对但是他只是收的话其实是扣了十块钱二十八我们这个三十八的话到时候应该也会减免的您到时候看一下噢 扣二十八对这个月您留意下应该也会不好是吧您到时候看一下是三十八套餐 好嘛 
您好很高兴服务 你好 但是现在呢 最少的对吧最少是十八块一个月只有一百兆流量超出两毛九一兆全国接听免费打国内电话一毛九一分钟的一个套餐 
您好很高兴服务 本月用用完 这个结转不了 嗯嗯还有什么帮您呢 
为您服务 就是他说一百零八对吧三百分钟一个g一百零八这个是吗 啊就比原来之前多了十块钱多了一点流量分钟数还是三百分钟如果您现在办的话有活动的就是套餐里面的一个g它另外会送一g的本地流量一个g的国内夜间流量还送三个g的咪咕视频的本地流量 送到一八年六月底到期 
您好很高兴为您服务 呃如果要不买变套餐那只能单方面改流量包的你现在是七十元两个g吗上面一档就是一百元三个g 套餐没有办法小姐你你升级其它个人的自选套餐你这个集团套餐要全部取消了不能重新保留两个套餐 就您现在这个套餐不变你流量要改的话只能把流量包改大一点 
您好请讲 你好 嗯想换什么样的套餐是打电话多还是上网多的 打电话多一点嗯一个月大概五百分钟够用吗 
啊这个叫是哪个手机号码呀嗯嗯 先您要设置的话我看一下啊幺暂停祝您愉快嗯嗯对嗯啊八哦哦好的哦哦嗯嗯嗯嗯嗯嗯哦哦嗯嗯嗯嗯嗯嗯嗯嗯嗯昨天恩嗯密码的话呢也是嗯嗯嗯嗯噢就是您手机的六位数密码您试一下登录一下行不行如果不行的话呢上面会有应该是有忘记密码的 不客气还有什么可以帮您 
兴为您服务 您的手机号怎么了 可以啊那这样好了那现在的话我看一下你现在是有您办了一个签约送话费的活动应该有活动期间来活动的话您可以再加您可以再加二十块钱可以再给您一点五g因为您有活动现在改不了的就要等活动结束之后才能改啊 嗯嗯对他有指定套餐那个什么时候 
很高兴为您服务 必有有的家庭计划 你这个里面的话不是你之前的女士您是作为一个后面的话一个更的一个号码我我我是下个月对吗七你好这个作为副号码的你不是主号码女士 呃您是说的话如果你要退出六七用主号码来电的女士 
您好很高兴为您服务 七月份的吗 现在我发给您现在可以啊发您幺三九邮箱 发现不客气请报一下您的姓名 
您好很高兴为您服务 您这个号码我看是十七号的时候有申请办理的因为这个十九号安装的当时有师傅联系过上门安装了吗 就是我一直没有人联系过嗯嗯嗯嗯是您的号码之前有这个本机号码 一直没人联系过是吧嗯那我们直接帮您转到那个东方有线安装部门让他帮您确认一下您这个安装情况嗯嗯好你帮我办吧您请稍等 
您好很高兴为您服务 呃这个的话就是是这样子如果你要增加的话它是要建议你的手机上面的话那个套餐背部等于说你七十块钱两个g要建成七十块钱三个g才能够用就是说然后的话再送你三个g的全国通用流量送到一八年的六月份结束 不是要增加费用就是要改套餐然后如果本月的所有流量要用到月底自动清零而且你原本送的那个本地流量的流量也用不了 唉好的还有什么可以帮您吗来电好的不客气那如果您对我的服务满意请给十分评 
您好很高兴服务 你好 套餐里面流量是全国通用呢都可以嗯 对 
您好很高兴为您服务好扣掉 请讲 嗯是的女士 您手机号码麻烦您报一下 
您好很高兴服务 一百零八是三百分钟通话一个g的流量有的 五百分钟五百兆要一百一十八 一百二十八三百分钟通话两个g的流量 
您好很高兴为您服务 宽带有的 呃有啊这个需要帮您转宽带专席咨询 手机也是说呢 
您好很高兴为您服务 把那个早晚高峰流量对吧你要是在上海用的十块钱一个月您要订我帮您订 昨天晚上七点到早上十点这三个小时还有晚上的五点到晚上八点三个小时在上海用 那您手机密码知道吗 
您好很高兴为您服务 二 有什么套餐我们有很多套餐您需要哪方面的就打电话多还是流量多的是吗 那多少呢五百分钟是一千分钟 
您好兴为您服务喂你好请说 恩对 必须是 对嗯 
服务 先生 就一百三十八元里面有五百分钟通话流量流量一个g的然后您说怎么算法算什么 一百三十八里面是五百分钟通话流量一个g的您现在办理的话它有一些活动可以送流量的就是另外送一g的本地流量还有一个g的国内夜间流量还有三个g的咪咕视频的本地流量一直送到一八年六月份到期 
您好很高兴为您服务 什么四g讲我没听懂先生不好意思 噢他这个的话就是说要你换套餐换成四g自选套餐然后的话里面的流量的话是按照我们的那个就是说现在的那个流量费用啊来那个重新计费的现在你是两个g的流量我那个我们就要升成那个三个g的全国通用流量再送你三个g的全国通用然后的话送到一八年的六月底结束用不完每个月的话都是要自动清零的 唉对的每个月都要清零的不能结转到次月的 
您好很高兴服务 套餐对吧您套餐是五十八块一个月套餐五十八一个月里面有一百分钟通话五百兆流量 对 预存往上换不能往下换就比如说您可以办八十八一百三十八都可以办 
您服务 呃我想办理什么时候 是流量不够用是吗那我现在的话只有流量加油包十块钱一百兆十块钱一百兆对你在上海本地吗女士啊您在上海本地吗对那你在上海本地的话我看到您套餐里面的话不是有流量再赠送给您吗 对那你套餐里面的话是有流量的呀你看看他套餐他不是说套餐里面的话还有那个本地赠送流量在吗如果你在上海本地那么你就可以继续用这个本地流量如果你出了上海本地再来电加流量也不知 
您好很高兴为您服务 超出打电话是一毛九一分钟全国接听免费另外您还叠加一个流量包五十块钱一个g的 还有一个五十块钱五十块钱是您另外加的一个流量可选包叠加包呃叠加的都取消掉五十块钱一个月呀 加一g得一个g 
您好很高兴为您服务 等一下 六百分钟噢那高清通话 就是说那个通话中网络不中断的一个功能然后每月送两百分钟三个月之内用完没有了 
您好很高兴服务 您现在这套餐是十八块钱套餐那如果要是换成三十八元套餐的话就是五百兆流量打电话一毛九一分钟全国接听免费然后再额外赠送给您本地呼叫全国一百分钟通话赠送到二零一八年六月底结束 但是它不是说了吗有赠送您本地呼叫全国一百分钟通话 对 
您好兴为您服务 你说这个月的套餐是吗可以套餐这个套餐这不是飞享套餐这个月套餐下个月是自选的啊这个月套餐这不是飞享套餐也不是飞享套餐 下个月下个月是一零八这个月是上网版的一百五十八的上网版 噢那个套餐的省内 
您好很高兴为您服务 您这个套餐是十八块钱一个月全球通的没有漫游费 那下个月改成五十八的是吧 呃可以的您手机服务密码知道吗 
国 上海移动啊 嗯固话对吧我们这边有绑移动宽带的有那个固话的具体帮您转到专席您 呃就不太清楚我帮您转接专线您问问看你好可能不是可能是这有一个专席管这个业务的您要转过去问一下吗 
为您服务 就是国际漫游的话就有效期不一样而已收费标准都是一样的有长期的一百八十天和三十天三十天的三十天嗯帮您开通一下密码知道吗 好的 嗯嗯好这边帮您开通国际漫游立即生效了三十天取消刚才说去印度尼西亚是吧 
呃您好很高兴为您服务 到数据呃您指的是到数据什么服务热线 那你可以打我们移动市场部的热线你记下电话吧先可以问下有没有这项服务需求可以那个幺三八零零 二幺零零二幺 
您好很高兴为您服务 是手机号码报一下好吗 幺三九 幺七七 
您好很高兴为您服务 流量费的话一天最多三十块封顶的 没有满三十元的话就三元三兆还有打包一起算的三天五天和七天的 对是的 
您好很高兴为您服务 你好 嗯可以您现在月租五十八的一个全球通套餐套餐里面内容是呃套餐两个g流量打电话一毛九一分钟全国接听免费另外套餐外您还有一个送流量的活动活动是另外再送两个g全国流量加上三个g本地咪咕视频流量送到一八年六月底结束所以里面主要是流量四个g全国流量钱对对对对其他业务没有其他没有的主要全部是流量嗯您说 的两g送两g所以暂时四个g嗯您说 
您好很高兴为您服务 感觉短号短信个人的话就是一个基本不不收费的线 您之前公司有没有开通过这种其他短号服务啊就是让员工之间打电话在上海有优惠互打免费 就是这个服务如果这个服务开通的话公司客户经理会帮您开通一个集团短告短信功能就是你可以放呃跟成员之间单位的同事就是发一些短信也可以享受优惠的短号之间 
您好很高兴服务您好很高兴为您服务您好很高兴为您服务 好那首先您改套餐的话都是下月一号生效 那您可以改成另外一种五十八的套餐就打电话的话打一个算一个一毛九一分钟接听全国免费的然后流量的话是一个月给您两个g国内流量呢 唉对是的 
您好兴为您服务 vip呀 这个就是高清通话呢通话都不在网银功能然后这边有优惠的每月送两百分钟送三个月 消费消费没关系的 
您好高兴为您服务 就是您现在咨询宽带活动比较多嘛如果您要改宽带的话打幺零零八六转五号键就行了只要转到这边来了五号键就是直接这个宽带人工了 就是幺零零八六转到五号键吗这个宽带人工零不是人不是这边的人工台然后我这边宽带的人工我再帮您再试试看如果再转不通就直接打好吗 
很高兴为您服务 嗯流量可以的您是要流量要这个月临时用的对吧那种 好这个月的话在上海用还是在外地呀 外地的话那就没有核实了咱们家就按照您之前订那个流量安心包来计算了就是十元一百兆六十块钱按这个来算 
您好兴为您服务 那您手机的服务密码有吗 手机的密码有没有手机什么密码呀手机的服务密码 那请问身份证号码知道吗您报一下 
您好兴您服务您好 目前是四g自选套餐您这边是九十八块钱两百二十分钟通话加一个g流量 嗯大概每个月需要多少兆流量 四g流量 
您好很高兴为您服务 这个月的这个月要开始消费元的流量套餐三十元五百兆不是一百兆这样一个资费 这个业务已经下线现在没有 三十元五百兆四十元七百兆五十元一个g就选那个就是一般的流量详单 
喂 呃 对的流量包 对对三十元十块钱只有一百兆 
您好兴为您服务 将最多弄大概要多少兆每个月 那么另外一种是新的自选套餐八十八块钱通话只有五十分钟流量呢我们可以按照三个g给您可以了 对 
您好兴为您服务您好 三十块钱的话现在出发的国家的一个流量封顶一个限制 噢 登录刚这个就是默认的您是去哪个国家呢我下个新家坡打 
您好很高兴为您服务 嗯嗯 长号您要办公司短号的话我们这边不能直接办的第二公司这边提供公司名称地址联系方式这个大客户专人联系的 您公司之前有办过移动集团业务吗 
您好很高兴为您服务 八十八块钱套餐的话是包含了两百二十分钟七百兆流量 三十八是五佰兆流量打电话呢是打一个算一个的一毛九一分钟全国接听免费就您现在用的套餐 五十多的 
您好很高兴为您服务 办套餐划算一点 邮箱是您现在我的套餐是八块十块的要么就三十八块钱套餐五佰兆流量 宽带啊行行呃现在帮您办理手机密码知道吗 
您好很高兴为您服务你好 幺三四七二五九六 七幺九嗯请问还有什么美美国的 恩好的请问您我呃手机密码知道吗六位数的 
您好很高兴为您服务 嗯嗯好的您现在是三十八元动感地带上网套餐请问要改多少流量多少通话呢 对现在都是四g套餐嘛就看您需要多少流量多少通话分钟数 原来是对八十分钟的那个本地通话请您稍等 
您好很高兴为您服务 嗯您说 嗯嗯 您说一百多一年的那种是吧一百二十年的它是直接小区的您是哪个小区呢 
您好很高兴服务 加流量对吧到月底的话到月底的话您这边您说先生 现在的话只能加一种就是加油包可以帮您开个自动的叫安心包流量用完之后系统自动帮您加十块钱一百兆 啊 
您好很高兴为您服务 噢先生您指的是您的一个流量套餐是什么什么 噢先生您这边的话问的是就是这个月的话给您添加了一个就是流量包是吗类似于这种的 诶那咱们这边的话那个可选包的话是三十元包含有五百兆然后五十元的话是包含有一个g的这种的 
很高兴为您服务那就是一百返好就是看看中呃您好这边听不太清您说什么麻烦您调整一下好吗付宽带的活动宽带是吧移动宽带对吗 好的这我帮您转接到宽带专席您详细了解一下好吗 对我 现在我们有类似于您是咨询宽带嘛就是承诺最低消费然后送宽带的对不对对啊就是要要这个要帮您转接宽带专席啊先生 
呃现在套餐的话您需要什么类型的就说 呃我帮您看一下那个两百二十分钟通话七百兆流量的那要么的话就是比如说八十八块钱三百分钟通话五百兆流量 再少一点那就七十八块钱套餐三百分钟通话三百兆流量 七十八三百分钟通话三百兆流量 
高兴为您服务 好的先生那您现在怎么更改套餐您说 嗯您是说最低还是说流量方面 五十块钱一个月两个g的全国流量打电话两毛钱一分钟 
您好很高兴为您服务 就是 这个 融合通信我看一下啊稍等 
您好很高兴为您服务 呃我想问一下 就这个月临时用的是吧 这个月有二十元一点五g的可以吗 
很高兴为您服务 有的就国内手动加拨幺七九五幺零零国家代码再手机呃那个费用是怎么算的您是到哪个地方 呃你这种方式拨号国内打美国的话是三毛九一分钟的然后充的是哪哪个地方 礼拜和哪里啊 
很高兴为您服务 嗯嗯 嗯嗯五百分钟不够吗上海一千分钟的一千分钟一个g是两百一十八 对 
您好兴您服务您好 夜间流量这个大概是两百三十八块钱 对两百三十八块钱而且的话它那个是不能参加其他活动的按照上面现在已经有一个这个签约返话费的活动怎么或者问题怎么办 换一个那应该的话有另外一种五十八的然后他那个五十八只有流量它里面是有两g流量如果您现在改的话您再送两个g送到明年六月份然后通话时间就没有赠送打一个算一个一毛九 
您好很高兴五 嗯嗯 十六号当天用的话呢六号之前第一天 就是发短信如果是六号放心激活他还呢六号当天也算第一天六七八八号晚上八号的二十四点 
您好很高兴为您服务 呃那是七十八块钱一个月的打电话一毛九一分钟流量是三个g再送三g总共六个g送到一八年的六月三十号 三个g再送三个g总共是六个g送到一八年的六月三十号 一月三十号以后就是三个g了如果您到时候换其他套餐也行 
要身份证的话 嗯对 现在通话少通话多一点是吗大概要多少分钟呢呃 五百分钟是吗如果您五百分钟通话的话流量要不给还在三百兆可以吗五百分钟三百兆一百零八块 
您好很高兴为您服务 噢那您这手机的服务密码有吗 好那根据语音提示输入一下 帮您没有成功那就下个月按照两百二十分钟通话那么再加一百兆这样一个流量那么您本月套餐里面的流量没有用完的也就全部清掉不结转的啊 
您好很高兴为您服务 你可以申请一些流量的那个可选包 嗯那您大概需要还需要加多少兆呢 两百兆左右的看一下啊 
呃您好很高兴为您服务 噢对宽带的话我们目前就是有这种手机承诺消费八十八元以上这种相应的宽带套餐你可以把地址报一下 您就要看您地址覆盖了小姐您可以把地址报一下 安顺路三百我看一下啊上海什么区啊 
您好很高兴为您服务 您需要这个月联系加一点还是什么 您是要这个月要还是什么 这个月要是吧 
您好很高兴为您服务 本地流量我看一下 我看了一下您流量部分是五百兆全国流量另外我看到有我套餐外有五十兆本地还有上个月还剩了一百多兆这个月帮助然后然后您说的是哪个本地流量吗 本地流量一共就五十兆套餐外额外送 
您好兴您服务您好 噢这边还是一个签普通类型一个飞享套餐就它里面是有一百分钟加五百兆流量那么另外的话这边有参加那个签约返话费的一个活动啊要承诺那个五十八块钱 不清楚然后 那么按照目前就之前有接到过什么电话之类的吗 
您好很高兴为您服务 十八元的四g飞享套餐十八块钱一个月十八块钱一个是 今天是免费的是吧对是的 全国接听免费打电话一毛九一分钟 
高兴为您服务 老人的话现在的话如果是最低的话有一个关爱版的套餐八块钱一个月 它里面没有东西 对 
您好很高兴为您服务 你是说你套餐里面的那个全国通用流量吗 还送了两个g的上海本地流量给你的如果您在上海本地直接用就行了如果你不在上海本地那么流量超出就会扣费了 上海本地流量用完的是那个全国通用流量我们送的是上海本地流量先生 
您好很高兴为您服务 您说一g吗 噢宽带已经到期了是吗您之前通过哪个号码办的宽带 档期了是宽带已经取消了是吧 
您好很高兴为您服务喂查询情况 再见充流量是吗啊对 一g啊刚加过一个一个g的流量暂时流量包有效期二十四小时 不是 
您好很高兴为您服务 多方通话是一个电话费的一个月具体内容才我看到您后面我开着是免费安装 那么您可以这样把这个多方通话先退掉然后再开国际漫游就可以带上去因为他两个是互斥 以后还要的话因为您不知道他干嘛的说明天没什么用如果您要用再开不了 
您好很高兴我为您转接 嗯嗯嗯嗯 下我看啊那个有的那个要改吗还是 办有什么声音怎么回事 
您好很高兴为您服务您好 你好 嗯就每个月的麻烦给这个月临时用 大概您需要多少兆流量呢 
讲一百零下月很高兴为您服务 流量套餐您现在是十块钱一百兆的呀 这个怎么改您现在十八块套餐里面本身就有流量一百兆呀然后您再叠加了一个十块钱一百兆 那您就可以改一个您可以换成二十八套餐然后有三百兆流量打电话都打一个算一个一毛九一分钟的 
您好很高兴为您服务 
您好很高兴为您服务 呃是这样 他这五十块钱套餐他也就是给您两个g的一个流量 办是可以帮您办的但是您现在的话您本来就是一个四g流量卡套餐五十块钱 
哪个 的一种流量比较合算 反正一个月现在流量都可以保留一个月的呀像您现在不是十八块里面有一百兆流量当月用不到套餐不变更情况下都扣一个月 呃您是说新买卡号吗还是什么意思 
您好很高兴为您服务 您这边的话您现在是一个二十八块钱套餐啊如果您现在再加流量的话从今天用到月底您大概需要多少兆 不不您大概需要用多少兆流量那我帮您选择一个先加呀 对啊那我问是您从今天用到月底您大概需要用多少兆流量 
您好很高兴为您服务 嗯请说帮您 你通话时间用不掉对吧可以把通话时间降低流量提高 您那个三百分呃流量大概多少呀我们有五百兆的七百兆的一个g的话两个g的大概需要多少流量可以 
您好请讲 五百兆流量一百分钟通话五五百兆流量 六八是一百分钟通话两个g的流量 三 
您好很高兴服务 到月底的话您只能办加油包了可以帮您开个自动的叫安心包的流量用完之后系统自动帮您加十块钱一百兆这样一个功能 您现在流量包的话按天折算一个月只能办一次你已经办过了呀 对是安心包需要帮您加吗 
很高兴为您服务 你好 您好 我看一下业务 
嗯宽带是吗 关的话新装宽带的话有那个承诺消费送宽带了然后还有俄罗斯可能稍微 承诺消费 唉对的就是没话费套餐消费到一定金额 
您好很高兴为您服务 嗯套餐我们目前看了一下上面是一个十八元的飞享套餐每个月一百兆流量打电话一毛九一分钟全国接听免费其他不可能没什么这个宽带业务是吧啊你说 话费噢噢我看到了这个十六个月这个月已经最后一个月了后面就不送了 噢这个有的五十分钟本地通话也是当时改套餐送的这个五十分钟送到一八年六月底结束这个还有还有 
为您服务 优惠吗这个业务是有的不过它最低套餐有要求需要您套餐里面流量呃呃最少要是三个g的自选或者飞享套餐才可以的你这个套餐之前里面流量是两g的那种呢这个是不能参加不能办理那个包的它就这几个套餐有有要求 加流量的话您这个话可以办那个三十块钱三个g的 唉对 
