诶你好 呃请说 哎你好诶我像我这个手机如果是在跨地区一分钟是多少钱呐打 帮我查一下您稍等一下您这张卡现在是在整个大陆打大陆的移动六分大陆打联通电信是两毛 
您好很高兴服务 唉你好小姐就是我刚刚收到短信说我这个月的那个通话的时间已经结束了已经用完了 你时间只有五十分钟如果用完就按照一毛九一分钟收费 噢那么接听电话要钱吗 
您好很高兴为您服务 嗯打就是这个国际长途的话这个资费情况就是之前买个国家是多少钱一分钟是在哪里咯 嗯您是说再网上吗套餐 喂你们打电话然后他们说让我们在那个掌上那个什么移动呢那我看一下没有吗 
您好很高兴为您服务 呃我问一下我刚才在那个支付宝充了呃五百兆的流量全国全国通用的我我都没看到流量信息啊 呃确实没有进来我们这边也没有收到您要咨询一下支付宝客服了他们这边还没有充进来 噢还没出去了那那我已经充了还没充到 您好很高兴服务 现在浙江流量多少钱 到月底的话您大概需要加多少流量一千多兆够吗一千二百多兆 一千二百多兆多少钱 
您好很高兴为您服务就那个刚刚刚才发错了退订那么多业务你帮我催办呀 噢好的请问要办理什么业务 就是那个多少主叫显示 恩只是显示 
很高兴为您服务 喂你好我想咨询一下宽带的费用怎么算 宽带的费用啊一年七百六二十兆的欠了八十元七百兆多少一百兆一年一千零六十现在办一年送两百的话费 呃那你这个在协议楼这边有吗哦 
为您服务您好 公司 您好 就是说我这个卡现在申请个套餐给你多少呢 
您好很高兴为您服务 噢你好我就想问一下就是现在装装宽带是多少钱 呃是上海移动的宽带吗那您可以把这边的地址报一下查下线路有没有覆盖能不能 接呃嘉定区 
很高兴为您服务 喂你好我想那个呃问一下那个菲律宾的那个话费流量是什么样的资费呀 恩好的帮您看一下现在订的通话费用和流量费用是吧通话打回中国大陆接听都是九毛九一分钟然后流量是每天三元包三兆每天最多扣三十块然后它有多天流量包的就是三天七十八块五天一百一十八块然后七天一百五十八块 噢那你这个你你帮我开通一下那个这个国际漫游跟那个流量吗 
为您服务 唉你好 先生 哎请问一下我这个现在这个手机的套餐是多少钱一个月 
您好请讲您好 呃我想那个问一下有一个套餐是五十块钱两个g两g流量的 可以的 那个套餐它是那个什么来电显示我搞不懂是到底是免费还是 
您好很高兴为您服务 喂你好唉你好呃我想查一下我家那个宽带现在是多少钱的零四 这个号码办的宽带嗯但是这个指定小区活动的 嗯那个这个的话呢是一年 
您好很高兴服务 唉小姐你好哎我想问一下我那个手机是那个宽带的话就是说用的是扣费的因为怎么 宽带上不了是吗 呃我二十块钱新的怎么现在又没有钱了呀 
很高兴为您服务 喂你好我想问一下我这个手机现在是那个我我上个月选了一下什么那个呃四g的一个什么什么自选套餐啊 恩对 然后然后我想看一下我那个套餐一共是要每个月月租费是多少钱呢 
吧您好很高兴为您服务 呃我想咨询一下那个宽带的问题不少 嗯嗯 我这个人装宽带然后怎么半年的话你们那资费怎么计算的 
您好很高兴为您服务 诶我那个集团套餐就是我公司里面他们现在不是每个月十块钱然后扣七块付三块别的吗对吧到处是短号对吧啊对 呃什么问题先生 现在就是他的时候他们每个月有送一百兆流量的我我这个怎么没有 
哦 喂 你好先生 唉我想帮你让你帮我查一下我现在这个手机套餐是什么套餐 
您好请讲 我想问一下就是我这个手机有那个流量喂 本机的话是五佰兆流量一个月 一个月五百兆啊按月应该能可以开通吗 
很高兴为您服务 你好我想我想现在有没有好的一百的那个套餐 便宜的套餐呃目前能改套餐最便宜开始是十八块十八二十八三十八之类的最便宜十八块也可以改的您需要修改最便宜吗 七八八 
您好很高兴为您服务 好像我想查一下我我这个手机是每个月月租费多少钱 呃您月租我看一下您是无月租的初始套餐然后另外又加一个五元三十兆流量所以您套餐就是五块钱每个月就五块钱的那个流量套餐 那你查查因为我我在五月份五月一号又停了从那叫什么呃三十块钱到现在短信过来只有五块多钱了 
您好很高兴为您服务 唉你好那个我这边这边想问一下我现在是什么套餐 呃目前您套餐是三十八的四g飞享套餐另外还有个集团业务就这些了 噢就是我这个是动感地带的套餐吗 
啊噢唉你好我今天七月一下喂你好 好 哎我想问一下就是那个套餐现在有哪几种套餐呢 套餐有非常多我发给您看一下吧您这个月改下个月生效我把套餐介绍发给您您看一下好嘛 
您好很高兴为您服务 哎我想一个问题就是用这个现在这个手机打到西班牙的固定电话要多少钱一分钟 改到西班牙是吧 所以 
很高兴为您服务 呃你好我想问一下现在买我我想那个意思可以可以毛一分喂你好您要买买到什么就是我想问一下买流量包的话呃现在有哪几个 呃这个月加的话我看一下您加加四百兆够吗 七百兆四百兆是多少钱啊 
都没有 您好请讲 唉你好我想问一下唉你好但是我看到那个我的手机基金上写的咱们移动有那种欧洲如果是开通五天啊天的这种流量包对我想问就是我一个流量包不够就是七天我是不够的我要多少钱我可以重复开通这个流量包吗 可以啊您这个过去之后再来电再开可以的 
您好很高兴服务 啊喂你好 你好 唉你好呃那个我想问一下我现在现在那个每个月套餐是七十八的是吧 
您好很高兴为您服务 喂你好我想咨询一下就是说 公司里办理那个宽带的话费用是怎么算的呀 家里装宽带吗不是公司公司是吧 
很高兴为您服务 哎我想问一下我这有个套餐叫主叫五叫显示基本费就是是什么费用 那是来电显示这个不收的就是套餐送的里面包含这个费用它最后帮您减免掉的都没有收您 他不是美国这个不是每个月不是一个五十八的那个是十块五毛九的 
您好很高兴服务 你好呃小姐我我参加了一个月租费是几点就是那个公司的集团集团业务就是时间点怎么它短信过来是十八元的 嗯嗯你帮我看一下什么问题呢 就是说我参加了那个集团的业务我们公司里面办的 
您好很高兴服务 你好我想问一下 嗯嗯 呃我这个到外地接听打打电话接听电话是怎么收费的 
您好很高兴服务 哎你好我想问一下你们现在那个移动的套餐幺五八下面有些档是什么当时是幺二八幺零八的 幺三八小的 幺三八是什么那个流量 
为您服务 喂你好我想咨询一下就是说嗯八六微信公众号上面是说那个九月一号起取消了闺内长途漫游费那么我想问一下就是我这个套餐是一百零八的套餐 哎 超出操作规定分钟数以后是一毛九一分钟那么我这个以后打电话超出分钟都是多少钱也没用啊 
您好很高兴为您服务 你好我想咨询一下就是说呃我这边的话企业的话想开通四零零的电话的话你们这边是怎么收费的呀 四零零号码是吧 对企业用的 
您好很高兴为您服务 我以为你说一下唉那我这个多少 什么多少 话费 
您好很高兴为您服务 嗯那个我想问一下就是我们同事还有一个办公室一点啊就是了一根宽带专线了到另外一个办公室都是在上海的然后那个这个费用大概是多少 办专线是吧 这个我们 
您好请讲您好 喂你好 嗯请讲 我问一下我现在这个套餐是多少钱啊 
您好很高兴为您服务 唉先生你好唉先生我问我过去是五十八的套餐那个打电话要一百分钟现在怎么六十八只有五十分钟啊 但是流量多了 哎呀我要电话多我上次打也是搞错了我要电话比较多 
幺您好很高兴为您服务 哎你好我想问一下就是说现在有十八块钱的套餐是吧 对 十八块钱套餐你能帮我介绍一下具体情况吗 
您好很高兴为您服务 喂请问这个流量十块钱是一百八一百 是吧对扣 呃如果我又用不完可以到下个月一区啊 
您好兴为您服务网上银行也是可以办理 唉是这样子的我七月份要去国外旅游我想问一下有什么密码就是说就是优惠的就是到国外流量用那个比较便宜点的吗 自选国家 啊是巴黎岛巴厘岛 
很高兴为您服务 哎我想问一下我现在这个幺八二手机有一个宽带嘛这个宽带呢我想问一下如果现在是一个月多少钱啊呃就这个手机号码办的宽带对吗我看一下啊就是幺八二 宽带的话你办的是一个和家庭然后每个月的宽带资费是八十八 呃现在是八十八如呃什么时候到期啊宽带我看 
您好很高兴为您服务 唉先生你好就是我问一下你们家那个宽带那个我想问现在的宽带是那个这么收费的 是这个手机号码办理的宽带和地址吗 唉对对之前之前好像是参加你们有什么活动送的 
您好很高兴为您服务 喂你好那个我这手机上面有一个那个高清语音通话现在是怎么计算的 呃这个套餐是送您两百分钟就是您要在四g网络下啊打电话出去打那种手机座机都可以的就是那种噢短号就不用幺幺零幺二零这个短号不可以分钟手机座机反正打过去都是在这个在四g网络下就可以在这个两百分钟里面扣然后 它这就是送的是吧还是 
您好很高兴为您服务嗯 喂 啊您好 啊喂你好我想问一下因为我我我我的那个幺零零八六那个呃不就官网上看到你们这个宽带可以怎么算 
为您服务 唉你帮我看一下本机号码的那个套餐套餐那个那个费用是多少的 刚才你每个月是十八元的套餐十八每月有一百兆流量 张八元 
您好兴服务 喂你好我想知道一下噢手机号码停机保号的话一个月交多少钱 保号停机它是停满一个整的自然月收取您五块钱功能费 功能费什么功能就是说这个八块 
您好很高兴服务 唉小姐你好哎我想问一下哈就现在中国移动就是打美国的那个长途呃是什么收费的呀 如果您开通国际长话功能之后使用幺七九五幺加零零国家代码对方手机号码打过去三毛九一分钟但是您开的时候必须余额大于两百元才能开现在系统提示您余额不够开不了的 噢就说我存两百块钱进去是吧让我打电话取消再办再办是吧呃就呃是就是先打那个幺 
您好请讲 喂你好你帮我查一下我那个月租是不是四十八的嗯 月租是四十八的 然后还有什么好像还要减二十块钱的那个什么费用你看是什么费用 
五百好的 您好很高兴为您服务 唉喂你好不要不要手机号对吧里面有一个叫什么就是那个呃有一个三千分钟的一个就是什么一个什么一个通话的这个就是我想问一下呃我每个月上付钱的对吧我使 三千分钟对吧我看一下啊请稍等 
您好请讲 喂你好 嗯你好 我想请问一下那个增值业务费是做什么的 
您好很高兴为您服务 你帮我查一下套餐外的打电话的资费是多少钱一分钟 一毛九一分钟 一毛九 
为您服务 你好我那个刚刚办理办理了一个套餐是在那个你们官网ipp上 恩 办了一个二百三十八元的套餐我想咨询一下就是我这个办理之后的流量一个月是多少钱 
您好很高兴为您服务 喂你好 你好 呃我想问一下就是噢咱们移动这边办宽带是怎么收费的 
您好很高兴为您服务 嗯嗯充了不是对就是四g自选套餐那个 活动吗嗯嗯 老用户可以 
您好很高兴为您服务 呃我想问一下就是我前几天买的那个呃流量吗 嗯嗯 超清零的我付的是二十九块 
您好很高兴服务唉你好你好你好我想问一下就是我需要想开通一个就是说比如呃别人给我打过一次电话然后的话挂完之后然后我这个自动短信给他发发送一个短信就是是你每天开心这种多少钱 嗯没有的现在没有这样的服务的 那为什么其他人有啊 其他人是上海移动号码吗 
高兴为您服务 哎你好我想问一下就是那个我如果要开通好像我那个差不多不充话费一样的要办理什么手续吗 你要开通话可以那么就需要多方通话了 啊对的 
您好很高兴服务 唉你好呃我想问一下我那个手机的费用现在比较高我问一下我现在电话费自己打电话多少钱通话主要的费用在哪里 您现在打本地电话一毛钱一分钟本地接听免费出上海之后打六毛接四毛一分钟 嗯那我知道那你帮我查一下我现在上个月呃的账单最近账单我觉得不对吧但是费用话费一下你看这么高这个话费多还是流量呢 
您好很高兴为您服务您好 唉你好 唉您好 我现在套餐包月套餐是七十八元对吧 
高兴服务您好请讲 你给我查一下我这个月的用的那个费用是怎么算的你看看 费用对吧自动这详单明细我们看不出来的先生但是您的固定费是一百五十八一个月五百分钟通话两个g的流量 我知道我我我怎么加了一个流量加那个三十块钱怎么现在还是扣我的以外 
再加一点您好很高兴为您服务 唉喂你好唉你好我想问一下这个一号这个流量超过了到时候怎么算的 本地流量啊就是说流量那个问题是吗哎唉先生那很抱歉我这边是查询不到流量呢您可以拨打这个幺零零八六幺幺呀它是直接挂机之后它是流量直接下发到你那个 不是不是不是我我的意思是说是就想问一下您这个流量超出部分是怎么去计算费用 
很高兴为您服务您好很高兴为您服务 对 帮您 你帮我这个流量用完了 
您好很高兴服务哎哎那女士我就想问一下我老客户号打过来电话我我接听是免费的吗 全国接听都是免费 嗯嗯全国开了二周一 您接听是免费的 
您好很高兴服务 唉我想问问那个台湾地区那个长途电话 台湾您已经办过了呀国际漫游打开之后全球都可以去 那么它的资费是怎么算的用 
您好很高兴服务 呃您好帮我查一下幺三七七 幺三七七 四三八二 
您好高兴为您服务您好 呃您好我现在那个套餐是 短信的路由器吗呃您说什么费用 流量的 
您好很高兴为您服务 唉你好如果我在上海这边开通一百兆流量需要多少钱 我们可选包的话十块钱一百兆 十块钱一百兆 
您好很高兴为您服务 唉你好我就是我想说这台手机就刚我打过来过了然后说那个现在办流量的话是刚刚好像三十几块然后是七百多兆是吧 噢就当月的流量是吧 唉对当月的因为您上次刚充过二十 
您好很高兴为您服务 哎你好我想问一下那个宽带一年多少钱 嗯宽带我们现在最低的是二十兆的我看您这个号码已经参加了一个两百兆的个人消费送宽带的活动的 对我知道了您这边是我现在想我现在要单独在哪一个 
您好很高兴服务 在那个韩国三天的那个包流量是多少钱啊 六十八 六十八是吧 
好很高兴为您服务 喂你好 昨天晚上 唉我刚才电话进来过了后来打了一半怎么没有了他他他他那个这个我也不知道那我我我问一下我这个宽带现在我今年我想呃因为昨天我收到查一下短消息叫我交费的那么我不知道今年我这个宽带交多少钱你你那边的话 
拨 喂你好你好 好 刚才你们一零幺零零八六给我给我打电话喂 
您好兴为您服务您好 你好那个我想改那个一百分钟的套餐多少钱呢 一百一百分钟的通话时间是吗 对 
您好高兴为您服务您好 喂你好你看我呃我想问一下呃呃我开通的如果我开通国际漫游到澳门去打电话一个分钟是多少钱 开通澳门国际漫游 对 
您好很高兴为您服务 哎你好我想问一下我这个月租费多少钱一最低话费说 没有就您现在是十块钱的神州行大众卡再加上一块钱的ip国内长途优惠包 噢那就是意思呢对给您现在不要长途还有说我跟你说 
您好请讲 呃我问一下我这个月就是套餐费多少钱一个月的 套餐对吧这个月套餐的话您这边是九十八块一个月先生九十八一个月 包含什么 
您好很高兴服务 喂你好我好像是另外一个手机退了 嗯 昨天我 
您好很高兴为您服务 你好我想问一下我那个我现在这个或者有一个保商住两用的现在用你们中国移动的宽带覆盖所以我想问一下价格 噢好那你把这边的地址报一下我查一下确认和有没有资源覆盖和对应的价格上海市 普陀区 
也就 您好很高兴为您服务 唉你帮我查一下我这个那个我想问下我们集团那个话费的话是多少钱一分钟的 您这个套餐吗 
您好很高兴为您服务 唉你好你好 嗯您好请说 哎我那就我昨天嘛有一个就是弄了一个视频定向那个那个是不要钱的是吧 
很高兴为您服务 唉我有个问题我的手机啊流量刚刚申请的是两个g的对吧今天早上还没用了打开就是一点九八八八三最低是什么意思啊怎么没有两个gb的 哪个手机号码您能报一下吧幺三五二四八幺幺三八七二四八幺幺三八七是吧密码知道吗 密码我报身份证号码可以吗 
您好很高兴为您服务 呃我想请问一下如果我这个手机啊呃发信息套呃美国去嗯一条信息要多少钱 一块钱 块钱是吧 
您好很高兴为您服务 喂你好你帮我帮我现在查一下这个号码是用他这个通话分钟数是多少钱一分钟啊 对一毛九一分钟一毛九一分钟是吧那现在流量还有多少流量你总共是一百兆目前还剩多少的话请您发短信四个六发到幺零零八六查询一下 噢好好 
您好很高兴服务 唉你好我问一下就是香港的那个算的 噢您那边听不太清楚女士香港是吗 我说你们我说在香港的那个上网的费用是怎么算的 
恩您好很高兴为您服务 喂你好我想问一下我现在有个家庭副号码在重庆打接电话多少钱 您是上海的号码去外地是吧 呃上海的号码到我一个号码 
您好很高兴为您服务 你好麻烦你帮我查一下我这个集团集团包的话每个月是五块钱对吧 集团呃您说是公司短号服务对吧 对的 
您好很高兴服务 你看看我的那个幺三五零的号码为什么要说我那个什么魔盒的什么魔百盒多少钱啊 稍等我给您查一下您这个魔百盒的话是赠送给您联系在账单上面会显示收费但是我们会每个月会送您二十块钱话费帮您底这个费用呢 那你今天我来了但是怎么还是一百五十块钱 
您好很高兴服务 啊我想问一下啊这个现在每个月的四g流量的事情是不是有赠送啊 吧嗯那对您套餐的话有送本地流量 送多少呢 
您好很高兴为您服务 你好我我想咨询一下那个宽带就是我或者是那个就要安装那个宽带了消费满多少钱 最低消费八十八送五十兆您什么地方要装宽带我帮您查一下资源情况 上海市青浦区嗯华新镇就本身 
您好很高兴为您服务 请问你那个录音咕视频流量是有的是明天是增加我们的电话 就看咪咕视频就是手机上面安装咪咕视频这个软件在上海看这个软件里的视频才能用的 报备的是不是我跟别人通话 
很高兴为您服务 哎你好我想查一下一个幺三九幺六五九四九五他那个神洲套餐一个月是多少钱的 我打一下号码幺三九幺六五多少 九四九五五 
您好很高兴为您服务 外三m六就刚才我就是刚刚呃包括的有就是在问过就是要到国外吗他说要三十块钱它发个短信给我三十块钱我 你说流量是吧 唉就是流量呀 
您好兴为您服务 唉你好是这样的就是我想咨询一下那个国际漫游是怎么收费的 呃您去哪个国家呀 去泰国 
您好很高兴为您服务 唉你好我问一下那个移动的宽带一年是多少钱 二十兆的话呢是七百六一年五十兆的九百六一百兆的一千零六十呃噢 就是不客气我们家之前有那个什么那个路由器和那个网线然后我续费的话我不知道怎么去了我也不知道他他之前用的那个号码刚才跟他说那个号码不对我是现在怎么如果要是续费的话还是怎么回事 
您好很高兴为您服务 呃你好我想问一下就是说下个月就呃我这手机好可以申请那个本来不是一个月三g的是吧 对对的流量对 呃流量是三个g的 
您好很高兴为您服务 唉你好我现在宽带是怎么扣费的 宽带是请问是哪个手机号码办理的移动宽带就这个手机号码本机号码我看一下请感谢目前宽带办的是一个和家庭宽带它每个月是八十八的月租宽带费用扣八十八 我以前是空号 
您好很高兴为您服务 喂你好我咨询一下办理宽带的话是显示多少钱呢嗯嗯 有宽带的话有两种活动一种是承诺消费满一百零八送二十兆宽带的还有是包年的裸价宽带七百六一年两年八百八就是一次性支付的 呃 
您好很高兴为您服务 这样我您好我收到一条短信就是说你们说我一个宽带如果不需要的话每天还是多少呃 没按天扣费一天靠近两呃扣您三块五 为什么嗯宽带到期的话如果您没有 
您好很高兴为您服务 唉你好 恩 我的套餐不是现在是七十八块钱的吗然后噢我上次一百二十八块钱七十八你们那边人说不能换但是我最近最近现在手机流量就是通电话流量用的比较大还我办个套餐 
您好很高兴为您服务 喂你好是这样的那个嗯现在不是取消那个漫游费吗恩对嗯那个我现在再打就是我现在是上海的号码吗我在上海打外地比方说就是其他省呢那个话费原来有一个一块钱的那个叫什么叫开通的那个是吧唉对现在是不是没有用出来 我帮您看一下您这是八块钱的套餐稍等四再见这个套餐的话您套餐里面有一个一块钱的幺七九五幺的这个是套餐本身包含的您如果是打的话对吧现在的话就是国内主叫如果您不加就三毛九一分钟直播三毛九一分钟加的话就是加幺七九五幺打是两毛五两两毛钱一分钟的可以帮您把额外加的那个定向的可以取消掉 我想知道了那就是说那一块钱的其实是没有用处的是吧 
您好很高兴为您服务 喂先生我想我要我要到日本去以后有那个宽带呃这个漫游国际宽带多少钱我想弄个出国的宽带噢那个我要问我儿子不是宽带我二十 去几天 去十天 
您好请问用户编号 唉你好我问一下我这手机打打那个区电话多少钱怎么计费的 比如说只从国内打到欧洲那边还是怎么样 对的 
您好很高兴为您服务 哎你好 你好 哎我想把我这个手机卡号就是整个业务啊 
您好很高兴为您服务呃我想本机的话就是说想添加一个g的流量是多少钱 您说这个临时加一个g流量 对 是加我看一下临时加可以办这个三十块一千兆加油包对最近的这个 
您好很高兴为您服务 哎你好我想问一下就是我们公司有有人那个手机吗他订了一个是融合通信手机互拨优惠功能什么包月租费 那个十块钱的 它这个的话是呃一个月是是不是就是说什么打多少打出去是几毛的 
您好很高兴为您服务 哎我想问块钱以前不是累计满意了吗 嗯你先不到 在外地打电话怎么算的 
您好很高兴为您服务 唉你好 您好 哦我我问一下啊今年你这个电子券是怎么收费的 
您好兴为您服务 喂你好我想问一下现在这个宽带是怎么是怎么多少一条需要多少钱呀 宽带对吧关的话看您装的是如果是装口袋宽带的话一年的话是七百六二十兆的然后如果是那个五十兆的话一年九百六 哎的这个怎么这么贵啊我是原来注册就他那边二十多块钱四十八呀到这个这个没 
上 您好很高兴为您服务 你好就是我想我问我想问一下我这个腾讯视频我那个三三十g的那个流量呃是不是免费的吗 请问视频的话它是三十个g目前二十元是免收功能费的优惠到年底明天开的时候现在是不收的 
呃您好很高兴为您服务 哎你好我想问一下就是公司的这个移动宽带你们是怎么收费的 公司呃您可以把这边的地址报一下我查一下资源和对应的价格 嗯牡丹江路幺二幺幺号 
您好兴您服务您好 噢那个我想开那个流量包有多少钱 就想这个月加一点流量包是吗 嗯 
很高兴为您服务 喂您好小姐我前面那个下载一个和微信然后我想问一下这个东西是收费怎么收怎么收 盒飞信是吧您稍等一下 噢因为我这个以前最少的时候最近是免费的然后现在这个的话是不是要收费 
您好兴您 嗯喂你好我想问一下就是比如说从这个月可以打那个长途我打市话的那个话费是一样的吗 您现在套餐的话就是这个情况 那幺那个楼套餐以外的不是这个情况是吧 
您好很高兴为您服务 呃我要问一下这个集团的那个短号是是怎样收费的 就是您目前手机申请的公司账号对吗先 噢 
您好很高兴为您服务 啊喂你好我就是刚刚改那个套餐我假如是在上海范围内用的话是在贵州用的那个打电话怎么算呢 呃一样的您下个月开始打出去都是一毛九一分钟就是支持在外地也是一毛九一分钟 哦是这样的是吧 
服务 您好 喂你好问你看就是我刚才收到短信说是指定那个客户端人每个月赠送三分当地的流量那个 他让我开了一个十块流量 
您好很高兴服务 喂你好我请问一下您几个问题好吧先重新提交您一下就是以前就是我大哥办的十六元神州行畅听版就是每月十六元畅听版这个是就是是清电话是不要钱的打电话是多少钱一分钟你知道吧我我 之前畅听卡十六块一个月的话它估计现在目前的话是打国内电话都是一毛三一分钟全国接听免费 可以就是打打外地长途也是这个价格对吧 
为您服务 唉你好我是因为我这个号码参加你们移动的一档其他的那个那个套餐的那个呃呃就是那个地方集团用我自己就是说集团内通话两两百五集团外通话三千那个因为这个号码上到外地那我想问一下我如果在外地打我如果现在人到外地了网上还打打那个情况跟群内的是从这里面扣了还是另外再付费啊 你你在外地打的话就是不管你打群内还是去问都是在两百五十分钟里面扣超出都是一毛钱一分钟 啊就是现在两百五十分钟扣那么这三天是只限于本地的是吧 
